# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-10-17
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Grenada,86,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.1334732831,18.5912303892,22.2024957475,20.3953539135,21.614047055,25.329873834,27.6596729784,30.1356704256,32.0555071151,33.7510286695,34.6406615024,35.9347052954,37.6381020892,39.1494766141,40.8212393629,43.6084101773,45.0244486119,47.1279078434,48.2919085029,49.3577375384,50.6390166651,51.7158031048,53.2947658093,54.7193799761,56.1011632462,55.1587525262,55.5405425233,72.4834904934,74.0374912566,74.315571622,74.2561832175,75.7642168187,77.6339175364,81.2474439226,83.1329713939,89.6556828636,89.6870588217,90.077546401,90.2798164159,93.8246766872,96.5670485019,97.3147679591,100,102.6440716892,104.2107968429,103.477380881,106.920624823,106.5983890066,109.5742770247,112.2197570638,115.6202795195
Guatemala,89,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.2362173019,16.4677120274,18.6281419962,20.7689346971,24.1860192643,25.5148514158,27.7088486881,30.4849369369,33.0822733512,34.7363109177,37.0062407222,38.5430598384,45.7709986331,34.5337994752,27.9718241045,29.8061429039,30.7508907935,27.1295851636,32.1794112943,34.0706034017,35.7948151315,39.1853938875,42.1465243171,44.0895396961,47.6351620266,49.5816104411,44.9643052726,45.6994782697,48.5724757793,51.9494009848,53.44971107,56.6575049434,62.3002950089,65.6810120591,69.7197654903,77.4450547152,74.278911406,79.1042545303,87.5477733801,89.8999819477,92.6520762942,96.8377070703,100,103.4488229314,108.8668205188,107.7405527095,109.0085637337,111.7782931369,114.5999896995,121.5153577105,127.8565967987
Guinea,90,GDP Deflator,22024,"Value US$, 2015 prices",6179,46.0700947082,50.2158018405,54.8670967547,57.8866451001,61.4833546153,65.8079897314,71.2677871737,77.7054611927,85.0580644787,90.3131792286,93.8505542715,97.236405787,100.3114537987,102.3316276615,104.8620944015,108.5610224166,106.4718338651,111.9087083009,115.3506706975,120.338760093,113.9590844933,114.8079356432,124.4994359779,123.8891707236,115.0101542472,100.3832586109,93.0221425836,81.2423386703,74.7785879947,71.1589240133,82.1426172438,84.7159884111,66.4634898527,69.2486159465,96.504285409,102.7391311377,100.2162778948,97.5579842018,91.4528765075,97.1991128675,102.5515219238,103.6402255876,100,88.282564981,96.0469443291,103.7077489487,111.325529938,111.4311951935,118.8728983386,149.9105064162,
Guinea-Bissau,175,GDP Deflator,22024,"Value US$, 2015 prices",6179,98.0130127506,103.0079013397,109.8436193046,94.2216329633,87.2536324925,89.0882706255,95.5793736095,107.3824521194,117.5750004429,92.3866677014,96.0052568756,99.4688437135,86.2937093329,96.8539552793,99.2489695879,87.8340467702,101.1002869248,104.8848040337,108.4317580133,110.9028205394,113.5315940079,115.9559745816,118.3874562615,76.449072015,55.5164963782,60.8629928485,58.0690563923,51.9890391913,53.4088705765,58.1088243868,67.5353050666,73.2695194132,77.6393122742,76.5391351076,87.1642413295,104.9258704655,97.0619967768,95.2810798453,114.0406848286,104.5083588756,106.9892680154,106.7496711881,100,105.9266898413,114.526723378,116.6938393645,106.8073531498,107.6360578064,114.7394799728,109.451284133,117.1678309674
Guyana,91,GDP Deflator,22024,"Value US$, 2015 prices",6179,37.1922045472,48.6839247737,51.8617628608,44.5149887501,45.2586633263,51.9473194294,55.356783171,61.8818106724,58.5416016008,57.244025898,61.7978666011,59.5266582196,60.5207116039,68.6988309093,45.0887683715,56.2874369807,54.4425989728,58.4943723614,48.5407971186,48.2917716324,55.687656563,59.9793810154,65.130318707,68.5137227103,68.4846281655,66.7352196914,62.754357872,65.2703593119,63.7883962526,64.3629516647,66.5327682456,68.2903145141,72.9305071373,76.9137817328,82.3413196125,89.639000597,90.5317730367,94.2731875698,96.3638796494,100.7512958201,99.7052063568,97.1072211995,100,100.8981759265,103.0261264015,99.4652254258,102.0257928237,75.1970109397,92.05444921,103.1566290352,84.4362072214
Haiti,93,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.1565241438,16.2098174261,19.3186118952,22.9816066965,24.641736348,24.1726206471,24.9286530779,29.7270025708,31.3188523902,33.8186110954,36.8996604366,41.1547959753,45.264889719,50.6636878181,44.685697032,43.5900226266,46.9990717325,52.6369629181,49.9871570589,37.2084525527,33.6593946593,44.9663724601,51.9066174074,54.9335581223,58.3798187829,66.2035299683,70.1380871712,62.3195809717,61.2838490546,56.1095646577,46.0012394037,60.1944030226,64.2620674247,68.7696445465,81.0210075919,84.6050129685,89.2498731038,97.2199626085,99.6049882533,104.1142596947,109.0120394801,106.7118879459,100,92.5925332705,102.9898774595,104.3673014054,94.9563793251,115.486876926,135.3956212995,135.5969890095,160.6832582308
Honduras,95,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.1548417978,26.5768807029,28.2737616146,30.686132915,34.4296811859,36.1723035661,40.3277749313,45.6557456699,48.9267497715,51.0952485492,54.6536597435,56.4968826043,59.4621042556,61.7767794259,63.5252656139,67.6430119809,72.4287124655,42.6966735389,41.6173263866,43.9085419857,42.3786204497,42.0372004838,46.6003745081,46.3566520736,51.0263420006,55.3357599,58.1357575558,61.0606991124,63.2911600105,62.6530166503,62.7781129343,63.6683829871,66.0316936833,69.3325043852,73.9264984003,79.6489883299,85.7844942625,89.7958648798,96.6939700283,97.1502834738,94.3652207418,97.7852168813,100,99.6376558903,101.2433764111,101.4197776999,102.9945754935,107.4461473872,114.1549225458,122.2077077043,130.069569252
Hungary,97,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.7043755024,17.2885938893,18.5630118547,20.7900920232,21.7522190847,24.3137475828,27.6507584971,31.937253637,31.8385838792,31.5284670562,28.4079255063,26.8295473826,27.2374512362,30.8999506687,32.6383832177,34.9737495409,35.1946173172,41.622820984,44.1423861247,50.7490468175,52.8813481133,55.2405205015,58.574990095,58.8040947462,57.7919425507,57.2806632749,55.992234003,51.5659993841,56.40064146,67.7261189679,82.0958678154,95.4503134153,99.5104299839,97.850554112,118.2156967435,132.1846821235,117.1585920371,116.8892494502,123.2261861816,113.2450363473,117.1726571363,116.8471234868,100,100.5319893324,107.2850428525,114.2430302316,111.2878527773,111.7468923571,120.8544640284,112.5729282402,128.7722228606
Iceland,99,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.0887101393,30.0134661959,27.6903602979,31.0098034621,37.6964942339,40.4404224058,43.8109993176,49.0951456321,48.6411651203,43.7113463123,38.5333040511,38.3229091032,38.6505487507,48.6259672118,61.9850153545,68.6300693456,63.587418081,71.6740418128,76.7317130778,81.3790938518,70.5413838689,69.9551918195,77.9025739519,77.6630809845,74.8450193618,78.3139762525,79.5111693617,76.1034948142,66.7561264391,75.1196763067,90.2040701528,101.2165591596,116.2620057514,113.3274556199,129.5441387868,105.8004524697,83.3907703734,89.7151944947,97.5089615639,93.5028984616,97.7587740541,106.5260375954,100,111.6625099561,127.4483030878,129.0381667322,119.0609930291,112.1220408019,127.3352716279,130.1926108448,134.078912997
India,100,GDP Deflator,22024,"Value US$, 2015 prices",6179,40.4452578756,45.0922513595,42.8965148778,42.496835878,46.0321156567,50.3063337947,58.698921932,67.6422156302,68.0780485281,67.3895232845,68.490013157800007,65.6960276944,64.6934018045,67.7594952527,72.0758318815,72.6531505331,67.5742632333,69.3230660974,60.6909703864,58.0290900281,54.1864846383,57.9219066226,61.1191959748,60.170942008,62.5149870066,59.4280928669,58.6964633358,58.2826782988,57.2949721781,57.6832140047,62.5214072437,67.948864468,73.74862502,77.814387193300007,91.1849695255,94.6326468827,91.0410052243,106.5203969359,113.4790647819,106.9728971518,103.5870321405,102.7734508734,100,98.5623679995,105.7375863441,104.5831036114,104.0234944732,103.5502907877,112.6680148071,114.6659951891,115.4690727226
Indonesia,101,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.1519921843,32.6322097,36.7013022129,42.0089336826,47.4728354658,49.4450994926,46.4853288445,59.6593990702,70.1651967046,70.4546008945,58.5388910385,56.1599159598,54.6393657534,47.3066880727,42.7594742338,47.2680739206,49.5140988161,51.2323343777,52.6819881503,53.3308045792,56.4760994206,58.7934706591,62.0789367829,64.7668523467,58.6980153732,29.8911688267,43.5008725859,44.4801824284,41.7269657916,48.6939096965,55.762015053,58.0806820378,61.1640690315,73.9358466932,82.4248039655,91.7823479056,92.7681098144,114.7846587155,127.855152866,123.9464145362,116.7371457928,108.5263588864,100,103.0630728995,106.9047949505,104.3128372842,106.6489685599,103.0553651089,111.33464875600001,117.5369936386,119.571580379
Iran (Islamic Republic of),102,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.8189254515,22.2812599957,25.2426489079,27.9630584537,33.8931221213,37.6493593502,49.5956783583,66.9361231167,76.1996519743,76.6558551949,85.6628391041,96.7530302751,43.7359732439,46.7852817876,55.807744495,62.6331760053,58.1699871224,54.1984933905,52.4490016401,52.9886732944,58.4591563725,57.0428434111,55.7003094637,56.5360176206,51.5967103833,48.9605113887,49.5437093526,45.0048879294,48.0340099676,54.9189174555,52.3843972262,62.079025636,71.6855590127,80.285327436,97.5299929522,114.651682189,114.6260904115,127.781329383,152.7268136235,158.4086465536,143.2575097749,111.6136978024,100,102.664274866,107.9738967041,69.242372774,70.4046520556,71.3345326954,74.6048344076,79.858025482,
Iraq,103,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.422076178,15.7198747706,17.1759457859,18.1212044518,19.2471413301,20.6009526795,22.3101224811,24.3254130009,26.6271188117,28.2722134382,29.379575875,30.4395044207,31.402137056,32.0345451621,32.8266986039,33.9846346132,35.3169506183,36.6389805344,37.8780234923,35.6112202347,17.1193798022,14.3552637066,15.1446621383,17.7501525803,15.9194290906,15.0564892916,22.3436111472,25.1060848131,25.6716997945,27.1919559886,38.5719290043,39.6073369211,53.1133781702,65.2252366875,87.7582528455,112.847709331,113.5710002074,114.93590936,143.3131258203,147.6222722043,147.6272125063,143.4297212273,100,87.7927043056,100.4846023113,118.9023080387,114.7625256721,101.9408093524,115.1987832543,136.9346007487,131.2305405872
Ireland,104,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.1264836785,18.3494810706,20.8595972931,20.5058941293,22.5476017029,27.3948646097,33.2389582664,38.2794219693,35.2130263571,35.7659350155,34.6696072388,32.1689183164,33.0120856633,44.7585200755,50.5147416992,53.4614521361,52.4894867389,60.8075978978,60.2381662666,65.4704001038,59.7562228409,61.5523561645,67.9846827746,69.398909847,68.3409625096,68.3991127251,67.823059926,62.6839481072,65.0592610581,71.9732535707,89.6879449816,99.1801831803,102.3864649967,106.8150697147,117.9341676813,125.5830650361,113.5908526294,105.1654866719,111.8729765754,105.5810920355,110.3409425012,110.4579828738,100,100.3194603983,103.7351798665,109.6580639072,107.4372366569,108.2651132039,112.6434870074,106.7479748542,114.5412221876
Israel,105,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.4171608611,24.7920021709,23.78728185,24.9830147866,26.8345699608,25.1023789802,30.4674682922,34.0436510906,34.2809539648,36.6942496277,39.5884600172,36.7937995524,33.3607553097,39.6909529565,44.505456145,52.892677923,52.3838217187,57.7248043147,61.3446043857,63.7105647722,61.4980594693,65.0490319634,73.1895087065,75.4083783112,75.450898373,73.1793267676,71.3013474543,73.7989071201,72.804783215,67.7126254439,70.0751246937,71.3192413395,71.9584333073,73.5380833223,80.4368255511,93.3125411369,88.9006775665,94.6421797627,100.3475575223,96.2188240063,104.5024790888,106.1556744464,100,101.5875157396,108.4330621014,109.4150379225,112.3100861703,117.4239001107,127.727937176,128.6114210051,123.8755599648
Italy,106,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.3285048936,19.7570368409,23.0236796795,21.2108593052,23.7045268112,28.0834708272,33.1173288467,38.8156613912,34.7381578175,34.3183334732,35.1734756531,33.6788920905,33.8326353588,46.5780205323,56.7961324513,60.3146768384,60.763097053,75.7903381487,78.7422783081,82.729141433,67.3064308053,68.0146889584,70.6422214404,77.9407505097,72.4244926072,72.7502179172,70.5663103044,62.1177583788,62.163197958,67.5191779053,83.5192789656,94.3384622154,96.3841902948,99.2940120971,111.0173901811,121.6696046904,117.3244394597,112.3426462336,119.811477365,112.4518927837,117.5382122665,118.5216763941,100,100.8685284524,103.7623863133,109.6305181682,104.8981172652,108.7173421958,114.0150202009,104.3922925753,114.0312378088
Jamaica,109,GDP Deflator,22024,"Value US$, 2015 prices",6179,21.7844172168,28.1557859273,34.0142717151,37.7032484841,42.3160392401,34.2508186205,32.0976974036,37.4989221486,40.6523575894,44.399977865,47.6998127744,31.5517003338,29.2786202088,34.783784742,38.5988540736,43.8550012017,47.1348304782,46.7159417172,41.3957783194,33.5879332461,42.4367986676,42.1581362147,50.3380098841,56.4087640102,64.7218360082,68.5455043469,68.6457503856,69.0796894622,69.6425752115,73.1200670668,68.4384220117,72.8761833119,79.8208877779,82.3070771331,87.0480454072,93.9984638625,86.8791146552,96.1657134947,103.2839651152,106.526518537,102.2533311486,98.7997251314,100,97.8054393469,101.8747179039,106.2087741639,105.9383922715,102.5880656095,104.0776807675,116.5109511291,121.9875408508
Japan,110,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.1294423012,27.1167174037,28.6022652393,30.9171827783,36.4506508744,48.6498278703,48.0042963073,48.9180480976,51.766440227,46.6345042045,49.3677247633,50.0928150268,50.5085765711,72.6463169066,84.507927064,95.9756929606,91.02946313,88.9964780265,98.4606480958,106.4683390011,121.9538544258,135.5205635811,146.4896388976,126.1026884537,113.9468697917,105.2887217309,119.4994408573,124.6216151801,109.3090357814,104.4711576808,111.1743841007,117.7887014587,114.2433548051,107.3364521938,105.2632472749,118.8292736733,130.5137035744,136.5062242286,147.7079781915,146.6216005049,119.4473825088,111.8896693065,100,111.728194772,108.2875532018,109.9965441524,112.1301701145,115.5582531402,112.1651443209,93.8531285873,91.2187397458
Jordan,112,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.4353643025,18.9932499311,25.0613368056,28.3299999637,32.1918832171,37.1180213883,37.2144030835,43.2893371625,39.3962969174,39.1599658627,41.8681142961,40.9725713532,44.3806956586,50.8000480443,52.402220403,47.8824367155,36.6024812567,35.7420933828,36.6905644379,40.7000401058,41.0548620449,43.5058068225,44.2253778368,44.5841084943,45.1342258792,47.8440520461,47.6633947314,47.4671018997,47.8365433001,48.2771253201,49.3121669122,50.8383194724,51.8589869497,57.3830213562,60.2809989551,72.1979205733,74.4455479653,80.4588543173,85.2143837367,89.1400525624,94.6164822612,97.8763262742,100,101.3620065814,103.1698483448,105.5149467545,106.4058689189,105.9002973947,107.2514090249,110.0472855031,114.2319164897
Kazakhstan,108,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,33.3177656562,34.1075098481,34.8358496993,35.5663228867,36.2302081571,37.5264112054,38.1956003357,28.349984169,27.9830286635,29.8458928693,30.2436245192,34.6210767209,44.2136456984,53.3546189378,68.3424856697,81.2394595599,100.10406311,85.4668872202,102.3122037842,122.2394837431,125.9878413542,135.2796175541,121.466703658,100,73.6456632178,83.7670728717,86.5134362083,83.8274420634,80.9690230002,89.4548436848,99.1630811853,106.7449799038
Kenya,114,GDP Deflator,22024,"Value US$, 2015 prices",6179,29.9278898414,34.0204867451,37.4434791473,38.3621793584,45.4189778706,49.3395298405,54.5424476018,60.1617143454,54.6768603204,50.7900378032,46.5865527133,47.4027785217,45.0279745762,49.5625427679,51.5134764908,51.8458154178,48.4778663057,47.5905720836,44.236566034,44.0785893575,30.4931653081,37.8084467133,46.6423719285,45.8285390125,49.7561633119,51.7680141744,46.2964703146,45.3664724964,44.7335028141,45.052800775,49.6186552604,50.9810261517,56.0422726109,63.2976987216,73.3071697633,82.1480602515,82.0534747506,81.4184579373,79.9490758975,92.7067505123,97.0105971226,102.2576625649,100,102.3459427594,108.0991409613,115.0218268425,119.0811776693,119.7388516388,121.2931167342,119.605051569,
Kiribati,83,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.0979372095,28.7925760954,26.3326171779,26.8370458911,26.5165462406,30.5390575207,32.9160379596,31.6640159813,33.6546161557,30.9988822475,30.3162030008,32.8372787124,26.160669831,26.00782783,29.6016453274,35.5124089835,36.188131743,35.6435457089,44.903394116,51.5924939039,49.5025145612,55.3641111871,55.3320230217,64.5892974869,62.2901054248,56.0918853865,59.3930759178,54.2438564039,49.7457309239,56.0901445072,68.7914938202,76.0391171114,79.361409003,78.1641359112,92.2738625414,99.9546645226,93.0970641763,110.4168831384,126.2269626292,126.0202413789,117.7428553579,114.7431764379,100,105.3152477271,111.2958153677,110.2373515379,100.707015811,103.4175371518,122.7323414976,119.3142449364,123.9960901412
Kuwait,118,GDP Deflator,22024,"Value US$, 2015 prices",6179,9.2777087076,25.6528801845,27.0212415497,27.6749250994,31.020650081,31.6800574845,44.4053605778,63.8743965843,69.3329292265,67.157167048,60.1612888015,59.4437542796,61.3610008254,47.1854985289,54.5065533459,56.0524481256,52.3240022518,53.8817275129,54.4646749295,53.7446565196,48.4485645439,46.2803185973,48.764741398300004,56.1537830869,52.7997837282,43.5426553555,51.4744017308,61.5673807948,56.8280431032,60.2953342303,64.5171218774,72.6594186529,89.2989951936,104.3985907026,111.179222872,139.4779482121,107.9227126844,120.3994076119,146.578545007,155.3234706636,153.6648713144,142.7944465974,100,92.7653252196,107.3915170609,120.0544661238,118.9646846658,101.5386289145,130.1732735155,152.6316971437,134.5003259466
Kyrgyzstan,113,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,52.1832408483,53.4201608688,54.5609076486,55.7049957203,63.6939731198,56.0654933009,50.9560665862,37.4481130238,38.9390327275,41.2096426784,43.3350100112,48.4524206916,52.1198155877,58.0654483262,64.8774781584,80.1944284259,99.9978833954,88.6854049148,91.0871823857,111.1309313384,118.5399061603,118.6840508977,116.1627255355,100,97.78065226,105.5486238255,109.2291444352,111.9990148179,107.2422124591,113.4724891021,132.5919512257,142.2618081177
Lao Peoples Democratic Republic,120,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.1438460724,14.3266206413,15.6536399317,16.5151202241,17.5412652003,18.7750881096,20.3327740145,22.1694491268,24.2671545132,25.7664442326,26.7756610219,27.7416479908,28.6189623959,29.195320106,29.9172649062,30.972572927,32.1868056266,33.3916638943,38.0330239876,41.3275121444,44.0609595354,47.4277545293,50.8285394814,50.1247747277,43.697070689,30.9222694557,32.6159144741,36.7352539312,35.1437668012,34.3169460812,37.0110718323,40.798149168,43.692014809,53.9622846685,57.8411306203,67.3055554888,66.1606959054,73.8785333018,83.3036610788,88.3132908932,95.7966843715,98.9062383206,100,102.6272788002,103.6966779733,103.7188985727,101.5983851965,100.3459338528,96.7607301355,74.6312007534,68.7498894745
Latvia,119,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,41.0258268093,41.9982782268,42.8951194167,43.8021887011,47.177080607,47.3604419308,48.8945297083,50.0197098283,50.0064586457,49.4129911842,52.7363543739,59.910121635,67.8504342879,72.1779142148,81.7760793924,107.0907141389,127.7808350865,109.7972867876,104.2609554788,117.5416718121,111.6467273771,117.3158173139,119.4878743491,100,100.5982831115,105.7667508521,114.8711400513,113.5252866163,118.2280929928,127.0441790168,127.382650215,143.8479922415
Lebanon,121,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.1927819489,16.550650994,22.1328176008,22.5531089243,23.0335466067,26.4734484726,27.9443300883,32.006891033,30.4258979756,32.827811886,28.34951372,13.7822471414,9.5458525932,12.6385790384,8.4051259382,18.6707327389,26.6122336527,21.7556993796,23.2418960631,29.2797182954,37.7435837502,41.3737101008,47.7215601478,53.7788167635,62.9612953269,65.9024514095,66.5896303826,64.4299716777,63.4669626012,67.2944369351,68.9884032991,69.3526576186,68.615988796,69.2203155988,71.3889352872,76.7668664601,84.6619863173,85.1518462621,87.6766671539,94.2401879403,96.6701250957,96.7718980716,100,100.8712952004,103.6437789205,109.3674929279,111.2032990148,112.6720342926,117.8374363931,126.1347883869,
Lesotho,122,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.2561476752,33.6042913891,38.0914683715,32.2750236874,35.9204475967,41.3780221752,50.5215306721,68.3461429501,68.7388697138,60.895372708,68.0115581534,58.3634262454,42.735788366,46.8129055846,59.6538763924,61.9479511121,60.4644895109,66.2863437053,70.8913900494,81.394399011,78.0780153625,77.3677644037,82.7703396713,75.5058851174,75.9766475637,70.0501004741,68.0353187709,62.2645265211,54.7139457688,50.5994068984,71.323271474,88.7931293585,95.8520151975,95.9564673889,92.8736729117,92.4477494583,92.2434901722,112.4618772859,124.081406525,112.1357576118,105.1543297544,106.6804147346,100,86.485068204,97.3351426071,109.5085455582,103.9204695754,96.3896172979,111.0210048047,104.3493506941,98.4590519766
Liberia,123,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.8760028053,29.4321839914,36.8006364676,36.385924074,40.2972523598,41.7465669475,45.9009400112,50.3706735904,60.282289015,61.4342156753,63.1744888222,62.6472185655,63.0484634386,62.7066394083,64.7069496163,66.9013847965,67.0702275927,66.9579964093,70.6705807781,69.919198254,74.866751731,78.8679010092,84.0027440919,88.5939604072,72.8422552652,68.2876155291,67.6211690175,55.0461540952,52.8933192395,54.8813894984,60.5313786873,71.790786693,74.7879982765,76.0798383451,64.3949524635,69.1110099498,67.254778066,70.1138719789,77.1383797297,78.1390462047,83.4051141348,84.0737729451,100,103.8161960373,101.5045160657,99.6237103845,95.9031708979,94.8621934652,104.2968301183,113.466198904,119.709442825
Libya,124,GDP Deflator,22024,"Value US$, 2015 prices",6179,25.1670953482,36.0843519175,33.7652197348,35.6705059865,38.4859795829,36.7673196112,46.5525856464,62.3155360838,67.5232178427,64.5181059191,64.0372284268,61.3722640546,58.5191311996,53.7168762943,58.6323485737,61.5237034649,60.754923629,67.3014669823,64.4076837076,70.1252375763,65.9283978301,60.3536403597,56.7495661294,61.4392719472,61.9601545988,57.8609174402,64.6205256035,72.2115346992,63.6097227888,41.4401061102,43.9217556509,53.3683400947,66.0611119193,76.261801461,81.2731098931,103.7538694438,76.1095252304,89.8324428924,115.5906196918,118.8632854672,118.0276079189,116.7730148752,100,104.0026713471,105.6194692748,111.7321653508,113.6249222883,108.974440204,70.7329082264,90.2378684938,80.174511816
Lithuania,126,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,35.047809181,35.8785612796,36.644720583,37.4131239972,44.5180738458,49.6148097248,51.2776188304,50.6331144409,51.2906048479,51.125546244,55.7944436959,66.4795143372,75.1429938875,80.5067960843,86.6100349798,102.5317319545,120.4396841749,110.5171951888,107.9998192213,119.5206816934,113.4094997937,118.6288339149,119.6506823115,100,101.3092697068,107.8547020604,116.7268378172,113.7168241958,118.2200466403,130.4314125583,135.0996624477,151.9980886563
Luxembourg,256,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4797046761,51.3745322093,54.8230231899,67.1821453651,76.2154872864,80.0107239044,85.920885995,95.5155277311,108.9832927594,104.255918868,104.0156252748,112.9421908267,107.7986760782,113.9315355142,117.0290506688,100,98.6324542925,102.8890694329,109.8298745728,105.0499529775,111.7920353958,121.1360675339,113.8281060014,121.2424563714
Madagascar,129,GDP Deflator,22024,"Value US$, 2015 prices",6179,28.8108317505,32.2429591199,37.912212225,37.3788387878,39.479127494,45.8847901635,54.2095267654,62.7593665518,61.096755881199996,61.0462667471,60.3145170608,49.6340923924,48.4587949163,66.0421627856,51.3973908192,47.3195183027,46.4979093851,55.5879815844,51.5005139326,57.0420264398,62.2693764674,55.0341159231,57.4311592069,71.0820929974,60.8418946642,61.729930917,58.6899838175,58.3901099755,64.3524656421,71.5207646627,81.0972337402,61.4223520819,67.7973013918,70.6619854385,88.5523163786,104.4027398086,97.4934964353,100.5793807207,114.5801428637,111.4922940844,116.9346998004,114.0615573934,100,100.6237568757,107.6644077201,108.9536465878,106.9640481702,106.6257386804,112.4094030639,111.2760678303,112.7169097097
Malawi,130,GDP Deflator,22024,"Value US$, 2015 prices",6179,54.9781387119,63.1837298052,66.9216329972,68.8677901648,79.3920584993,86.2717124834,89.6007567973,99.5622407362,111.6306206662,104.0038884735,104.0458835371,98.0430023628,87.9894392905,90.3395572318,95.2904551515,102.837025208,118.7038320044,120.770812849,129.4298067544,126.2294897783,125.3070775313,83.739158318,89.0244794529,97.619459943,99.3028120334,100.4205135008,99.021917993,95.7019305016,98.965638646,108.6527809587,94.3654494804,96.9654668615,98.746098712,103.1394321576,104.3424942615,116.3566481418,124.9756744953,131.4532592097,144.1801617727,103.6881436825,90.2304853546,95.7844287185,100,80.4064174473,91.3532315136,96.7007093232,102.3288194631,108.1137841775,109.860170268,109.3291008032,
Malaysia,131,GDP Deflator,22024,"Value US$, 2015 prices",6179,29.901856217,34.2098839339,33.3410396013,35.3985737906,39.0627725975,45.597427153700004,54.0754723284,58.0987559235,55.4722728622,56.1135364616,59.8122139422,62.0799529046,57.6830288146,50.7164713519,55.8387470817,56.2525251015,56.7459355399,58.992494955,60.10302754,66.4516279874,68.3839662786,69.7178720867,75.7087094938,78.1347331974,72.3122381274,56.2425806928,58.1098157099,63.2555659004,62.2549426082,64.2028270426,66.3208352149,70.3062416273,76.7980707589,82.4440947079,92.2691496147,104.9612644049,93.3897916284,109.6125666645,121.6277496915,121.6986323495,119.507973536,117.893915239,100,95.7082552671,95.8110809235,102.7485827464,100.1580115359,97.9433460332,105.0434956639,105.2757400276,104.5881304693
Maldives,132,GDP Deflator,22024,"Value US$, 2015 prices",6179,31.8931070324,38.1953373164,26.0192981279,23.6141477374,19.7794259263,20.1494107263,28.784676815,26.7538493284,25.3109059581,33.1638086722,29.794085553,27.0437550674,26.3853704047,26.9105325586,24.6030934636,27.003787933,27.7959628848,27.1313833073,28.6428418929,31.4202018631,33.4986622345,34.6869081196,39.4757133549,41.3147125718,43.0088458304,42.5191228,43.690345335,44.5777117566,46.4543955706,44.5860212335,45.1530672347,49.756856212,53.1476519885,58.2191705166,64.4631846411,71.9184566441,80.8452803826,83.5094380539,82.4484291651,83.7907215078,89.4328341147,93.0910912128,100,100.2053353659,102.2298542488,105.5587171863,104.235742255,100.7329292475,103.5427141065,106.753015513,112.3409158482
Mali,133,GDP Deflator,22024,"Value US$, 2015 prices",6179,79.2579841869,75.5363364382,100.7408607727,105.0036635741,114.9001735909,135.1444848778,154.7846919731,188.6130959764,166.7787232515,137.8143467053,127.7266326411,124.6778714976,125.4360909148,157.622644762,190.9709988154,197.0464705086,183.8320946014,217.2884581342,208.667880883,218.6511791793,206.496745447,140.8890306679,130.410253304,120.3761142892,98.5278619236,105.4918422714,97.8548230946,80.2713603479,82.1213523707,85.407288587,91.4321554871,112.7747212779,117.2047376268,115.0911137846,125.4566340348,137.0915924843,128.0934784802,121.1840763729,136.6846363128,117.8308022003,117.21344678050001,118.12416068,100,98.3532608354,100.9547401552,105.0436741293,100.0457480109,100.4434288575,107.1885948528,97.4815505914,103.2514643927
