Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",1999,710287,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",2000,671100,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",2001,611739,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",2002,599962,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",2003,588971,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",2004,557877,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,882,"Milk, whole fresh cow",2005,540669,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",1996,19000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",1997,19000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",1998,19000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",1999,19000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",2000,19000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",2001,19359,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",2002,18500,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",2003,17000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",2004,21400,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,982,"Milk, whole fresh sheep",2005,22100,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,1020,"Milk, whole fresh goat",1996,38048,,Official data
QL,Livestock Primary,11,Austria,5318,Milk Animals,1020,"Milk, whole fresh goat",1997,40000,F,FAO estimate
QL,Livestock Primary,11,Austria,5318,Milk Animals,1020,"Milk, whole fresh goat",1998,42220,Im,FAO data based on imputation methodology
QL,Livestock Primary,11,Austria,5318,Milk Animals,1020,"Milk, whole fresh goat",1999,41898,Im,FAO data based on imputation methodology
