Input drivers,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
10000,,,,,,

transportation,international ship,refined liquids,1990,NMVOC,0.796919347,0.796919347,0.796919347,0.796919347,0.796919347,0.690182372,0.688776523,0.700843071,0.687065486,0.708383691,0.689112862,0.711859203,0.796919347,0.686509755
urban processes,urban processes,landfills,1990,NMVOC,0.123306204,0.011548295,0.109001946,0.000467014,0.005770252,1.01914E-05,0.169827756,0.054943329,0.078563541,0.154927176,0,0.094269506,0,0
industry,industrial processes,solvents,1990,NMVOC,5.045510971,0.367344987,3.999134582,1.509018452,0.187450245,0.534475265,5.073460872,0.327777905,0.678928179,1.230469597,0.73362915,0.898453862,0.144973215,0.435911354
industry,industrial processes,other industrial processes,1990,NMVOC,1.282394917,0.125549432,0.635260912,0.0398681,0.027505815,0.315854814,0.464298846,0.00139689,0.002072063,0.18032594,0.072930729,0.637659316,0.035275428,0.074987415

per-capita GDP at mid-point of control curve,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
10030,,,,,,,,,,,,,,,,,,
,,,,,gdp-mid-control,,,,,,,,,,,,,
supplysector,subsector,technology,period,generic-ghg,USA,Canada,Western Europe,Japan,Australia_NZ,Former Soviet Union,China,Middle East,Africa,Latin America,Southeast Asia,Eastern Europe,Korea,India
regional natural gas,regional natural gas,regional natural gas,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
regional crude oil,regional crude oil,regional crude oil,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
regional shale oil,regional shale oil,regional shale oil,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids industrial,biomass liquids,biomass liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids industrial,shale oil refining,shale oil refining,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids industrial,coal to liquids,coal to liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids industrial,gas to liquids,gas to liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids enduse,biomass liquids,biomass liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids enduse,shale oil refining,shale oil refining,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids enduse,coal to liquids,coal to liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
refined liquids enduse,gas to liquids,gas to liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,coal,Coal (existing),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,coal,Coal (conv pul),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,coal,Coal (IGCC),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,coal,Coal (IGCC)_CCS,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,gas,Gas (existing),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,gas,Gas (peak load conv),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,gas,Gas (CC),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,gas,Gas (CC)_CCS,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,oil,Oil (existing),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,oil,Oil (peak load conv),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,oil,Oil (IGCC),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,oil,Oil (IGCC)_CCS,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,biomass,Biomass (existing),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,biomass,Biomass (conv),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,biomass,Biomass (IGCC),1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
electricity,biomass,Biomass (IGCC)_CCS,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
H2 Central Production,coal chemical,coal chemical,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
H2 Central Production,coal chemical,coal chemical CCS,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
H2 Central Production,biomass to H2,biomass to H2,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
H2 Central Production,biomass to H2,biomass to H2 CCS,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
building,gas,gas,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
building,coal,coal,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
building,biomass,biomass,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
building,refined liquids,refined liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
building,trad biomass,trad biomass,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
industry,energy-use,biomass,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
industry,energy-use,gas,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
industry,energy-use,coal,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
industry,energy-use,refined liquids,1990,NMVOC,34.6,26.7,16.6,30.6,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.3,10.0
