# File: FAO_CL_kha_RESOURCESTAT.csv
# Title: FAO cropland area by country, year
# Units: tons
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Senegal,195,Arable land,6621,Area (1000 Ha),11,2933,2933,3033,3033,3132,3132,3232,3401,3187,3148,3229,3229,3279,3329,3328,3326,3124,3123,3122,3121,3120,3118,3116,3114,3110,3107,3104,3098,3094,3092,2973,3034,3032,3044,2942,2960,2964,2958,3008,3050,3110,3100,2982,3037,3176,2986,2985,3650,3850,3850,3850
Serbia,272,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318,3299,3302,3298,3293,3294
Serbia and Montenegro,186,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720,3721,3729,3731,3708,3707,3696,3402,3406,3402,3397,3390,3391,3505,,,,,,
Seychelles,196,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sierra Leone,197,Arable land,6621,Area (1000 Ha),11,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,486,486,486,486,486,486,485,485,485,484,484,484,490,672,886,940,1128,1295,1487,1011,1084,1090,1100,1100
Singapore,200,Arable land,6621,Area (1000 Ha),11,3,4,4,4,4,4,4,3,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.7,0.66,0.65,0.7,0.6,0.6,0.64,0.63
Slovakia,199,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562,1561,1557,1553,1550,1547,1539,1528,1442,1410,1413,1393,1391,1378,1377,1382,1382,1392,1391.2
Slovenia,198,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,196,196,191,173,172,171,173,173,168,173,176,176,178,175,180,175,170.3,168.5
Solomon Islands,25,Arable land,6621,Area (1000 Ha),11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,13,13,13,13,13,10,10,11,11,11,11,11,11,12,12,12,13,14,14,15,15,16,16,16,16,16,17,18,18,18
Somalia,201,Arable land,6621,Area (1000 Ha),11,891,896,901,906,911,916,921,926,931,936,941,946,951,955,960,965,969,974,979,984,989,994,999,1004,1009,1014,1018,1021,1021,1022,1022,1023,1024,1030,1035,1039,1043,1043,1043,1043,1045,1200,1250,1350,1350,1140,1000,1100,1100,1100,1100
South Africa,202,Arable land,6621,Area (1000 Ha),11,12000,12050,12100,12150,12200,12230,12250,12290,12330,12370,12410,12450,12490,12530,12570,12612,12570,12530,12480,12440,12400,12355,12355,12355,12355,12600,12550,12600,12700,12800,12900,13163,13426,13450,13500,13650,13700,13700,13760,13812,13685,13700,13600,13300,13175,12600,12600,12800,12660,12533,12033
South Sudan,277,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,203,Arable land,6621,Area (1000 Ha),11,16246,16296,16205,15919,15966,15509,15740,15692,16082,15690,16339,16288,16054,15918,15821,15657,15630,15640,15578,15558,15569,15565,15592,15651,15564,15565,15584,15577,15512,15335,15258,15201,14982,14806,14045,14450,14285,13684,13463,13400,13064,12909,13017,13025,12913,12720,12586,12488,12497,12528,12512.25
Sri Lanka,38,Arable land,6621,Area (1000 Ha),11,595,577,792,790,793,792,792,798,804,810,816,822,828,834,850,900,950,1000,900,900,900,857,869,872,876,887,895,898,901,900,903,905,880,883,886,887,888,889,905,915,916,936,950,900,1100,1050,1000,1200,1100,1200,1200
Sudan,276,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17056
Sudan (former),206,Arable land,6621,Area (1000 Ha),11,10775,10875,10975,11072,11172,11270,11370,11467,11567,11665,11763,11861,11958,12015,12115,12210,12308,12346,12345,12360,12390,12450,12500,12550,12600,12650,12700,12740,12750,12800,12850,12900,14618,15000,16157,16672,16600,16500,16380,16233,16376,16519,18052,18019,18750,18750,19247,19321,18796,18858,
Suriname,207,Arable land,6621,Area (1000 Ha),11,28,29,29,32,32,31,30,30,30,30,33,33,35,35,35,35,36,36,37,40,43,46,48,50,52,54,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,45,55,53,49,49,46,47,58,55,59
Swaziland,209,Arable land,6621,Area (1000 Ha),11,124,134,129,132,140,149,153,153,149,149,149,168,168,155,167,161,149,188,184,183,134,133,133,169,154,154,164,177,192,180,183,179,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,175,175,175
Sweden,210,Arable land,6621,Area (1000 Ha),11,3549,3484,3293,3255,3161,3109,3096,3027,3051,3049,3047,3027,3014,3015,3002,2999,2990,2996,2981,2975,2956,2946,2937,2929,2918,2904,2886,2868,2849,2841,2787,2765,2777,2777,2764,2809,2796,2781,2744,2703,2691,2677,2666,2656,2694,2651,2639,2626,2634,2625,2610
Switzerland,211,Arable land,6621,Area (1000 Ha),11,410,410,410,392,388,385,380,375,370,367,367,367,366,368,376,376,376,376,376,391,391,391,391,391,391,391,391,391,391,411,412,410,410,410,423,423,418,415,415,413,412,409,406,408.6,408.7,407.4,406.9,406.7,406.6,405.1,404.4
Syrian Arab Republic,212,Arable land,6621,Area (1000 Ha),11,6146,6200,6300,6410,6342,5873,5876,5577,5625,5651,5647,5711,5550,5682,5125,5260,5083,5149,5230,5230,5275,5288,5082,5104,5038,5013,4980,4812,4798,4885,4804,4766,4771,4812,4799,4739,4771,4709,4701,4542,4635,4593,4625,4757,4675,4670,4736,4699,4670,4687,4611
Tajikistan,208,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,869,850,844,811,811,784,784,784,783,781,782,778,757,737,746,741,742,839,850
Thailand,216,Arable land,6621,Area (1000 Ha),11,10400,10600,10800,11000,11200,11400,11600,11800,12000,12300,12431,13150,13900,14624,14900,15164,15773,16108,16315,16515,16855,17199,17293,17401,17693,17810,17930,17728,17581,17494,17510,17238,17085,16860,16839,16563,16242,15932,15867,15654,15578,15389,15200,15200,15200,15200,15200,15250,15695.36,15760,15760
The former Yugoslav Republic of Macedonia,154,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,609,609,606,609,600,587,588,555,568,499,471,461,448,439,431,424,420,414,414
Timor-Leste,176,Arable land,6621,Area (1000 Ha),11,70,70,70,70,70,70,72,72,73,78,78,80,85,85,85,88,90,96,100,100,100,100,100,100,100,100,100,100,100,110,120,120,125,130,130,130,127,125,120,120,145,145,150,170,170,170,160,175,165,155,150
Togo,217,Arable land,6621,Area (1000 Ha),11,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1900,1950,1950,1950,1950,1950,2000,2000,2000,2020,2050,2050,2100,2100,2100,2200,2200,2200,2300,2330,2410,2510,2500,2350,2375,2350,2325,2100,2100,2310,2340,2410,2490,2510
Tokelau,218,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,219,Arable land,6621,Area (1000 Ha),11,12,14,14,14,15,15,15,15,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16
Trinidad and Tobago,220,Arable land,6621,Area (1000 Ha),11,57,57,57,57,57,57,57,57,57,57,60,60,69,70,65,65,65,65,65,60,52,45,38,38,35,35,35,36,36,36,40,40,40,40,40,40,35,35,35,35,30,30,30,26,25,25,25,25,25,25,25
Tunisia,222,Arable land,6621,Area (1000 Ha),11,3100,3100,3100,3180,3180,3180,3180,3180,3186,3193,3200,3230,3290,3340,3410,3480,3527,3413,3406,3191,3170,3160,3140,3120,3070,3030,2980,2936,2910,2909,2908,2908,2987,2830,2842,2845,2845,2879,2909,2864,2774,2771,2790,2791,2730,2763,2733,2835,2707,2823,2839
Turkey,223,Arable land,6621,Area (1000 Ha),11,23013,23131,23895,23824,23841,24000,23836,24092,25231,24793,24978,25573,25543,25161,24908,24862,25063,25123,25778,25354,25483,24199,23696,24502,24595,24558,24964,24786,24880,24647,24666,24514,24481,24705,24654,24514,24297,24439,24279,23826,23801,23994,23372,23871,23830,22981,21979,21555,21351,21384,20539
Turkmenistan,213,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1449,1599,1622,1629,1630,1650,1620,1620,1600,1650,1700,1700,1850,1900,1900,1900,1900,1900,1900
Turks and Caicos Islands,224,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tuvalu,227,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,226,Arable land,6621,Area (1000 Ha),11,3150,3200,3269,3785,3768,3776,3772,3780,3780,3780,3800,3850,3900,3950,4025,4072,4023,4080,4080,4080,4120,4180,4600,4800,4900,5000,5000,5000,5000,5000,5020,5040,5040,5060,5060,5060,5060,5080,5100,5300,5400,5600,5850,5950,5950,6100,6250,6450,6600,6750,6750
Ukraine,230,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33362,33334,33291,33286,33189,33081,32858,32670,32564,32537,32544,32480,32482,32452,32446,32434,32474,32478,32477,32499
United Arab Emirates,225,Arable land,6621,Area (1000 Ha),11,5,5,5,5,5,6,6,6,6,7,7,7,8,9,11,11,12,12,12,16,19,18,23,24,26,29,29,29,29,35,35,38,40,42,43,46,45,36,43,60,71,75,64,63,68,50.6,44.6,51.6,49.9,50.6,50.6
United Kingdom,229,Arable land,6621,Area (1000 Ha),11,7175,7236,7275,7354,7339,7324,7309,7277,7163,7102,7132,7129,7075,7067,6869,6894,6921,6936,6829,6918,6907,6913,6899,6922,6990,6940,6935,6886,6702,6620,6567,6554,6091,5911,5936,6098,6368,6253,5917,5876,5651,5786,5659,5819,5729,6094,6085,6005,6049,5970,6062
United Republic of Tanzania,215,Arable land,6621,Area (1000 Ha),11,5200,5050,6100,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,8000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9003,8800,8900,8900,8900,9000,8908,8725,8700,8600,8530,8600,8540,9500,9700,9700,10000,11325.7,11500,11600,11600
United States of America,231,Arable land,6621,Area (1000 Ha),11,180630,177095,179574,177966,177000,175705,174487,181000,189244,188735,188140,187545,187050,186472,186472,186472,186552,188755,188755,188755,188755,187765,187765,187765,187765,187765,185742,185742,185726,185676,185676,184080,182748,181939,181839,179006,177592,176782,175368,175368,175400,172977,171634,167056,165115,160441.3,161880,163063.5,160539.6,159833,160162.5
United States Virgin Islands,240,Arable land,6621,Area (1000 Ha),11,4,4,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1
Uruguay,234,Arable land,6621,Area (1000 Ha),11,1330,1340,1340,1350,1350,1360,1360,1370,1370,1380,1380,1380,1380,1385,1390,1403,1403,1403,1403,1403,1380,1350,1330,1300,1280,1260,1260,1260,1260,1260,1260,1280,1280,1280,1290,1320,1320,1350,1350,1373,1370,1300,1300,1300,1300,1292,1340,1661,1881,1695,1807
USSR,228,Arable land,6621,Area (1000 Ha),11,235400,235800,233800,232400,231800,229100,228700,228200,228500,227800,227600,227500,227200,227800,227300,227400,227500,226900,226300,226417,226600,226700,226800,227000,227156,227399,227520,227000,225400,224400,224400,,,,,,,,,,,,,,,,,,,,
Uzbekistan,235,Arable land,6621,Area (1000 Ha),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474,4470,4468,4475,4475,4475,4475,4475,4475,4485,4484,4500,4500,4400,4400,4350,4320,4300,4300,4300
Vanuatu,155,Arable land,6621,Area (1000 Ha),11,10,10,10,10,13,13,13,13,13,15,15,15,15,15,16,16,17,17,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Venezuela (Bolivarian Republic of),236,Arable land,6621,Area (1000 Ha),11,2900,2900,2903,2907,2911,2913,2922,2919,2924,2931,2937,2904,2900,2906,2907,2912,2964,2955,2949,2957,2804,2811,2710,2709,2917,3085,3097,3097,2845,2832,2844,2601,2599,2587,2581,2584,2593,2593,2593,2595,2598,2500,2600,2650,2650,2650,2650,2700,2600,2600,2600
Viet Nam,237,Arable land,6621,Area (1000 Ha),11,5550,5550,5550,5550,5550,5550,5570,5590,5600,5630,5630,5650,5680,5700,5700,5900,5980,5999,5970,5940,5910,5880,5850,5820,5616,5570,5527,5460,5400,5339,5368,5506,5516,5464,5403,5554,5668,5763,6000,6200,6649,6600,6581,6469.5,6358,6348,6309.6,6282.5,6300,6437,6500
Wallis and Futuna Islands,243,Arable land,6621,Area (1000 Ha),11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Western Sahara,205,Arable land,6621,Area (1000 Ha),11,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4
Yemen,249,Arable land,6621,Area (1000 Ha),11,1262,1273,1285,1295,1305,1310,1317,1322,1327,1332,1340,1345,1350,1355,1363,1363,1363,1365,1366,1366,1368,1368,1368,1368,1372,1372,1376,1376,1378,1523,1528,1378,1622,1627,1633,1647,1607,1564,1547,1545,1466,1415,1252,1325,1287,1374,1365,1245,1171,1291,1161
Yugoslav SFR,248,Arable land,6621,Area (1000 Ha),11,7691,7670,7660,7650,7610,7570,7570,7550,7539,7497,7465,7424,7381,7355,7321,7291,7229,7204,7172,7153,7126,7100,7074,7048,7046,7047,7039,7037,7027,7020,6910,,,,,,,,,,,,,,,,,,,,
Zambia,251,Arable land,6621,Area (1000 Ha),11,2549,2552,2576,2601,2604,2658,2672,2705,2734,2763,2892,3060,2912,2940,2925,3048,2881,2722,2306,2332,2271,2213,2325,2316,2408,2468,2568,2691,3028,2891,2755,2779,2780,2850,2649,2875,2808,2695,2895,2816,2722,2582,2874,2862,2727,3013,2949,3052,3350,3700,3400
Zimbabwe,181,Arable land,6621,Area (1000 Ha),11,1885,1935,1985,2035,2065,2135,2185,2235,2285,2335,2385,2415,2415,2465,2465,2465,2465,2465,2465,2505,2543,2581,2619,2657,2695,2733,2776,2814,2852,2890,2930,2970,3010,3050,3090,3175,3380,3380,3530,3580,3580,3630,3630,3780,3880,4030,4030,4230,4100,4100,4100
