# File: FAO_For_Imp_m3_FORESTAT.csv
# Title: NA
# Units: NA
countries,country codes,item,item codes,element,element codes,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tunisia,222,Roundwood + (Total),1861,Import Quantity (m3),61,21600,14700,22900,23000,37000,24200,3000,20900,32900,27500,32900,14900,36600,76800,32200,37200,44900,37400,37400,33900,36200,27500,25200,25200,47800,47800,15800,9800,71700,55900,49827,11900,60800,45000,42200,39900,44000,34100,18400,17300,15400,15400,81476,81476,81476,81476,17508,15602,14830,11158
Turkey,223,Roundwood + (Total),1861,Import Quantity (m3),61,111600,36200,21900,113100,50400,51700,75900,53000,73500,17500,1200,75000,34900,60500,41500,43800,20700,200,8800,300,500,900,4400,12700,67000,1010100,938400,481100,857342,988908,995306,2607973,1315200,784600,1249000,1049000,1346000,1430000,1883000,937000,1061000,1401000,2052888,2303600,2255000,2082000,1349000,987000,1416000,1315000
Turkmenistan,213,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,160,400,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,224,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,181,258,89,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
Tuvalu,227,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,35,,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Uganda,226,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,300,,100,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,923,362,362,46,7241,640,401,1950,9423
Ukraine,230,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,470600,315400,160200,164086,57757,57757,111950,89098,116172,135537,170218,173273,133455,133455,133455,19041,22738
United Arab Emirates,225,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,8729,2966,9200,18400,18400,30900,30900,16900,23700,35300,35000,37000,109900,159578,159578,159578,280488,311854,123417,177784,157674
United Kingdom,229,Roundwood + (Total),1861,Import Quantity (m3),61,1675200,1492200,1610900,1598100,1269500,950700,898200,972000,926200,714000,580400,782000,653200,485400,422700,370300,378800,400400,349100,291200,286000,264200,222000,176000,143700,150600,260900,271500,253325,249906,317950,254093,318000,489000,848000,587000,468000,247500,258900,357301,490420,703461,631905,661661,419379,682743,507313,308615,344683,613201
United Republic of Tanzania,215,Roundwood + (Total),1861,Import Quantity (m3),61,4700,5400,400,900,,800,7600,9600,21700,55100,4000,5000,3000,,,,,,,,,,,,,0,,,,,,72,72,111,111,111,136,3032,2522,2522,130,84,6486,6486,1658,4804,247,247,1225,4939
United States of America,231,Roundwood + (Total),1861,Import Quantity (m3),61,4056800,3850300,2585600,2588400,2720900,2532400,2621500,2299800,2578800,2323200,2337800,1766200,2002900,1627600,1724200,1918300,1863700,1806500,1940600,1690200,1503700,1690600,1702000,1299800,1299300,1820000,1427600,1090000,246348,218867,456720,905948,1275800,976000,704000,750000,1475700,1969800,2571000,2562246,2851699,2720658,2587816,3753855,3091528,2354438,1551587,801053,899969,844093
United States Virgin Islands,240,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,234,Roundwood + (Total),1861,Import Quantity (m3),61,26400,27000,23700,37000,24300,36500,17900,11400,10300,21300,7700,13100,18100,18700,8300,12600,3700,6100,6500,2300,1000,400,300,400,200,200,200,300,670,1204,613,1555,1376,2492,1664,1659,1600,1500,2400,2100,1000,2000,2000,8000,8000,7000,6000,5000,5000,9000
USSR,228,Roundwood + (Total),1861,Import Quantity (m3),61,153200,3700,79500,36800,20800,50200,53900,95900,94100,114100,165200,225100,270000,286200,234800,264200,224500,207900,254800,315600,233000,218000,214000,247200,198000,203200,216800,195000,5154,32177,,,,,,,,,,,,,,,,,,,,
Uzbekistan,235,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,1059,1100,1400,1400,0,0,72487,64817,51011,233600,233600,206954,312935,444238,480357,305298,274381,274381
Vanuatu,155,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4,,0,0,54,54,23,82,64,64,0,140,1551,1361,1433,123,142,307,61,61
Venezuela (Bolivarian Republic of),236,Roundwood + (Total),1861,Import Quantity (m3),61,30200,12500,3800,2100,1300,200,100,2000,1100,900,800,1300,1600,1600,33900,18700,29600,24000,23400,95700,113600,107000,32000,11800,11800,11800,,200,1073,995,30692,11566,956,47300,5200,3300,400,300,300,300,0,0,0,0,0,0,379,370,572,572
Viet Nam,237,Roundwood + (Total),1861,Import Quantity (m3),61,1700,19600,14400,18700,19200,11200,18100,31700,22200,22200,22200,22200,22200,22200,22200,27100,25900,18100,41100,41100,41100,34000,34000,,,,,,,,11,31,31,167,1000,887,5999,8100,8100,36100,54300,54300,124230,124230,541000,744000,787000,699897,898319,1261073
Wallis and Futuna Islands,243,Roundwood + (Total),1861,Import Quantity (m3),61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
Yemen,249,Roundwood + (Total),1861,Import Quantity (m3),61,2500,700,600,600,600,,200,,,1000,,,,700,1800,2000,,200,,5200,5200,5200,5200,5200,5200,5200,5200,5200,500,252,81,285,82,82,82,224,285,600,600,0,0,0,10236,10236,10236,10236,11236,11236,11236,11236
Yugoslav SFR,248,Roundwood + (Total),1861,Import Quantity (m3),61,1400,4000,14700,35900,240500,327600,325600,302600,726700,826800,843400,1147700,1692000,1427500,746810,1153899,1534400,1422900,1758700,1702000,1543300,1163100,885700,1297300,831900,885800,868900,1067400,1059746,16400,,,,,,,,,,,,,,,,,,,,
Zambia,251,Roundwood + (Total),1861,Import Quantity (m3),61,,,3000,2500,1800,1400,9800,9800,2500,9000,7500,500,10200,900,1200,2100,700,9700,1800,8600,8600,8600,8600,8600,8600,8600,8600,8600,,146,,,0,102,102,102,338,319,132,1216,1216,1216,439,439,439,439,3866,414,628,395
Zimbabwe,181,Roundwood + (Total),1861,Import Quantity (m3),61,11300,7300,6200,7200,7200,200,,,,,,,,,2800,2300,1900,1900,2100,3200,2800,4700,4700,4700,3000,3000,,,3435,31178,25833,,0,651,575,0,0,0,0,0,0,0,1091,1091,1091,1091,2003,296,2336,492
