INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
7020,,,,,,,,,,,fract-harvested,,,,,,
,,,,,,Mt/Mt,,kg/m2,GJ/kg,,price,,,,,,
India,OilCrop,OilCropAEZ7,OilCropAEZ7,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ8,OilCropAEZ8,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ9,OilCropAEZ9,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ10,OilCropAEZ10,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ11,OilCropAEZ11,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ12,OilCropAEZ12,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ13,OilCropAEZ13,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ14,OilCropAEZ14,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ15,OilCropAEZ15,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ16,OilCropAEZ16,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ17,OilCropAEZ17,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OilCrop,OilCropAEZ18,OilCropAEZ18,BASE YEARS,biomass,1,0.37,0.13,0.0137,0.0644,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ1,OtherGrainAEZ1,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ2,OtherGrainAEZ2,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ3,OtherGrainAEZ3,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ4,OtherGrainAEZ4,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ5,OtherGrainAEZ5,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ6,OtherGrainAEZ6,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ7,OtherGrainAEZ7,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ8,OtherGrainAEZ8,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ9,OtherGrainAEZ9,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ10,OtherGrainAEZ10,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ11,OtherGrainAEZ11,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ12,OtherGrainAEZ12,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ13,OtherGrainAEZ13,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ14,OtherGrainAEZ14,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ15,OtherGrainAEZ15,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ16,OtherGrainAEZ16,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ17,OtherGrainAEZ17,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,OtherGrain,OtherGrainAEZ18,OtherGrainAEZ18,BASE YEARS,biomass,1,0.45,0.08,0.0148,0.1115,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ1,PalmFruitAEZ1,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ2,PalmFruitAEZ2,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ3,PalmFruitAEZ3,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ4,PalmFruitAEZ4,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ5,PalmFruitAEZ5,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ6,PalmFruitAEZ6,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ7,PalmFruitAEZ7,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ8,PalmFruitAEZ8,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ9,PalmFruitAEZ9,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ10,PalmFruitAEZ10,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ11,PalmFruitAEZ11,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ12,PalmFruitAEZ12,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ13,PalmFruitAEZ13,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ14,PalmFruitAEZ14,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ15,PalmFruitAEZ15,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ16,PalmFruitAEZ16,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ17,PalmFruitAEZ17,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,PalmFruit,PalmFruitAEZ18,PalmFruitAEZ18,BASE YEARS,biomass,1,0.66,0.06,0.0173,0.8000,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ1,RiceAEZ1,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ2,RiceAEZ2,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ3,RiceAEZ3,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ4,RiceAEZ4,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ5,RiceAEZ5,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ6,RiceAEZ6,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ7,RiceAEZ7,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ8,RiceAEZ8,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ9,RiceAEZ9,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ10,RiceAEZ10,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ11,RiceAEZ11,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ12,RiceAEZ12,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ13,RiceAEZ13,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ14,RiceAEZ14,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ15,RiceAEZ15,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ16,RiceAEZ16,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ17,RiceAEZ17,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Rice,RiceAEZ18,RiceAEZ18,BASE YEARS,biomass,1,0.40,0.10,0.0136,0.0900,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ1,Root_TuberAEZ1,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ2,Root_TuberAEZ2,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ3,Root_TuberAEZ3,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ4,Root_TuberAEZ4,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ5,Root_TuberAEZ5,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ6,Root_TuberAEZ6,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ7,Root_TuberAEZ7,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ8,Root_TuberAEZ8,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ9,Root_TuberAEZ9,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ10,Root_TuberAEZ10,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ11,Root_TuberAEZ11,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ12,Root_TuberAEZ12,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ13,Root_TuberAEZ13,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ14,Root_TuberAEZ14,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ15,Root_TuberAEZ15,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ16,Root_TuberAEZ16,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ17,Root_TuberAEZ17,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,Root_Tuber,Root_TuberAEZ18,Root_TuberAEZ18,BASE YEARS,biomass,1,0.48,0.07,0.0069,0.6650,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ1,SugarCropAEZ1,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ2,SugarCropAEZ2,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ3,SugarCropAEZ3,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ4,SugarCropAEZ4,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ5,SugarCropAEZ5,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ6,SugarCropAEZ6,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ7,SugarCropAEZ7,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ8,SugarCropAEZ8,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ9,SugarCropAEZ9,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ10,SugarCropAEZ10,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ11,SugarCropAEZ11,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ12,SugarCropAEZ12,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ13,SugarCropAEZ13,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ14,SugarCropAEZ14,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ15,SugarCropAEZ15,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ16,SugarCropAEZ16,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ17,SugarCropAEZ17,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,SugarCrop,SugarCropAEZ18,SugarCropAEZ18,BASE YEARS,biomass,1,0.70,0.47,0.0166,0.3000,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ1,WheatAEZ1,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ2,WheatAEZ2,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ3,WheatAEZ3,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ4,WheatAEZ4,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ5,WheatAEZ5,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ6,WheatAEZ6,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ7,WheatAEZ7,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ8,WheatAEZ8,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ9,WheatAEZ9,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ10,WheatAEZ10,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ11,WheatAEZ11,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ12,WheatAEZ12,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ13,WheatAEZ13,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ14,WheatAEZ14,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ15,WheatAEZ15,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ16,WheatAEZ16,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ17,WheatAEZ17,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
India,Wheat,WheatAEZ18,WheatAEZ18,BASE YEARS,biomass,1,0.39,0.30,0.0162,0.1100,0,0.2000,0.8000,1.0000,,,14
,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
7021,,,,,,,,,,,fract-harvested,,,,,,
,,,,,,Mt/Mt,,kg/m2,GJ/kg,,price,,,,,,
region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,period,residue-biomass-production,mass-conversion,harvest-index,eros-ctrl,mass-to-energy,water-content,0,1.2,1.5,10,,,GCAM_region_ID
USA,Corn,CornAEZ1,CornAEZ1,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ2,CornAEZ2,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ3,CornAEZ3,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ4,CornAEZ4,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ5,CornAEZ5,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ6,CornAEZ6,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ7,CornAEZ7,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ8,CornAEZ8,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ9,CornAEZ9,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ10,CornAEZ10,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ11,CornAEZ11,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ12,CornAEZ12,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ13,CornAEZ13,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ14,CornAEZ14,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ15,CornAEZ15,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ16,CornAEZ16,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ17,CornAEZ17,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,Corn,CornAEZ18,CornAEZ18,FUTURE YEARS,biomass,1,0.53,0.28,0.0169,0.1300,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ1,MiscCropAEZ1,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ2,MiscCropAEZ2,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ3,MiscCropAEZ3,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ4,MiscCropAEZ4,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ5,MiscCropAEZ5,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ6,MiscCropAEZ6,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ7,MiscCropAEZ7,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ8,MiscCropAEZ8,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ9,MiscCropAEZ9,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ10,MiscCropAEZ10,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ11,MiscCropAEZ11,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ12,MiscCropAEZ12,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ13,MiscCropAEZ13,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ14,MiscCropAEZ14,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ15,MiscCropAEZ15,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ16,MiscCropAEZ16,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ17,MiscCropAEZ17,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,MiscCrop,MiscCropAEZ18,MiscCropAEZ18,FUTURE YEARS,biomass,1,0.70,0.32,0.0113,0.7719,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ1,OilCropAEZ1,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ2,OilCropAEZ2,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ3,OilCropAEZ3,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ4,OilCropAEZ4,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ5,OilCropAEZ5,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ6,OilCropAEZ6,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ7,OilCropAEZ7,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ8,OilCropAEZ8,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ9,OilCropAEZ9,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ10,OilCropAEZ10,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
USA,OilCrop,OilCropAEZ11,OilCropAEZ11,FUTURE YEARS,biomass,1,0.41,0.17,0.0083,0.0806,0,0.20,0.80,1,,,1
