INPUT_TABLE
Variable ID
OutputDriver

region,supplysector,subsector,technology,year,generic.ghg
Southeast Asia,Beef,Pastoral,FodderHerb_Residue,1975,CH4_AGR
Southeast Asia,Beef,Pastoral,Pasture_FodderGrass,1975,CH4_AGR
Southeast Asia,Beef,Pastoral,FeedCrops,1975,CH4_AGR
Southeast Asia,Beef,Pastoral,Scavenging_Other,1975,CH4_AGR
Southeast Asia,Dairy,Mixed,FodderHerb_Residue,1975,CH4_AGR
Southeast Asia,Dairy,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Southeast Asia,Dairy,Mixed,FeedCrops,1975,CH4_AGR
Southeast Asia,Dairy,Mixed,Scavenging_Other,1975,CH4_AGR
Southeast Asia,Dairy,Pastoral,FodderHerb_Residue,1975,CH4_AGR
Southeast Asia,Dairy,Pastoral,Pasture_FodderGrass,1975,CH4_AGR
Southeast Asia,Dairy,Pastoral,FeedCrops,1975,CH4_AGR
Southeast Asia,Dairy,Pastoral,Scavenging_Other,1975,CH4_AGR
Southeast Asia,Pork,Mixed,FodderHerb_Residue,1975,CH4_AGR
Southeast Asia,Pork,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Southeast Asia,Pork,Mixed,FeedCrops,1975,CH4_AGR
Southeast Asia,Pork,Mixed,Scavenging_Other,1975,CH4_AGR
Southeast Asia,Poultry,Mixed,FodderHerb_Residue,1975,CH4_AGR
Southeast Asia,Poultry,Mixed,Pasture_FodderGrass,1975,CH4_AGR
Southeast Asia,Poultry,Mixed,FeedCrops,1975,CH4_AGR
Southeast Asia,Poultry,Mixed,Scavenging_Other,1975,CH4_AGR
Southeast Asia,SheepGoat,Mixed,FodderHerb_Residue,1975,CH4_AGR
