# File: IFA2002_Fert_ktN,,,,,,
# Author: Geoff Morrison,,,,,,
# Description: IFA N-Fertilizer Application Rates (kg N/ha),,,,,,
# Original source: IFA (2002) and FAO (2006),,,,,,
# ----------,,,,,,
COUNTRY,YEAR,CROP,AREA_thousHa,N_kt,P2O5_kt,K2O_kt
TANZANIA,1997,Maize,1564,13,6,1
TANZANIA,1997,Millet,354,1,0,0
TANZANIA,1997,"Potato, sweet",310,0,0,0
TANZANIA,1997,Pulses,712,1,1,0
TANZANIA,1997,Rice,439,4,2,0
TANZANIA,1997,Sorghum,623,1,1,1
TANZANIA,1997,Tea,19,0,0,0
TANZANIA,1997,Tobacco,64,2,4,5
TANZANIA,1997,Vegetables,177,2,2,2
THAILAND,2001,Cassava,1135,19,9,6
THAILAND,2001,Cocoa,1,0,0,0
THAILAND,2001,Coconut,333,2,1,1
THAILAND,2001,Coffee,65,2,1,2
THAILAND,2001,Fruits,662,51,28,40
THAILAND,2001,Groundnut,95,1,2,4
THAILAND,2001,Maize,1300,58,33,44
THAILAND,2001,Oil Palm,204,21,7,34
THAILAND,2001,Pepper,3,0,0,0
THAILAND,2001,Rice,10048,561,298,103
THAILAND,2001,Soybean,241,2,4,0
THAILAND,2001,Sugar cane,923,61,20,18
THAILAND,2001,Tea,19,1,1,0
THAILAND,2001,Tobacco,52,3,1,1
THAILAND,2001,Vegetables,331,33,11,24
TOGO,1997,Cassava,99,0,0,0
TOGO,1997,Coffee,15,0,0,0
TOGO,1997,Cotton,181,6,5,3
TOGO,1997,Groundnut,58,0,1,0
TOGO,1997,Maize,423,3,1,1
TOGO,1997,Millet,94,0,1,0
TOGO,1997,Oil Palm,2,0,0,0
TOGO,1997,Rice,52,1,1,0
TOGO,1997,Sorghum,206,1,1,0
TOGO,1997,Tobacco,4,0,0,0
TOGO,1997,Vegetables,26,2,1,1
TURKEY,1999,Barley,3306,177,93,0
TURKEY,1999,Cereals,380,25,10,1
TURKEY,1999,Citrus fruits,100,20,6,3
TURKEY,1999,Cotton,718,91,28,3
TURKEY,1999,Grape,705,30,14,7
TURKEY,1999,Hazelnut,535,50,10,2
TURKEY,1999,Maize,676,87,22,3
TURKEY,1999,Olive,623,25,8,3
TURKEY,1999,Potato,211,50,15,6
TURKEY,1999,Pulses,1301,34,24,4
TURKEY,1999,Soybean,23,1,0,0
TURKEY,1999,Sugar beet,424,46,27,15
TURKEY,1999,Sunflower,591,55,22,3
TURKEY,1999,Tea,77,17,3,6
TURKEY,1999,Tobacco,289,1,0,2
TURKEY,1999,Vegetables,824,94,41,11
TURKEY,1999,Wheat,9457,611,281,5
UK,1999,Barley,1065,126,47,59
UK,1999,Fodder (other),60,0,0,0
UK,1999,Hay,5500,578,99,143
UK,1999,Maize,110,6,5,5
UK,1999,Rapeseed,400,74,18,19
UK,1999,Tobacco,50,2,1,2
UK,1999,Fruits,38,2,1,2
UK,1999,Potato,170,26,28,41
UK,1999,Pulses,205,1,6,7
UK,1999,Rye,120,12,6,7
UK,1999,"Set-aside, industrial crops",72,12,3,3
UK,1999,Sugar beet,173,17,9,21
UK,1999,Sunflower,90,5,2,2
UK,1999,Vegetables,125,16,8,14
UK,1999,wheat,2100,384,84,95
URUGUAY,1998,Barley,73,4,5,0
URUGUAY,1998,Citrus fruits,30,2,2,0
URUGUAY,1998,Dry beans,5,0,0,0
URUGUAY,1998,Fruits,21,1,1,0
URUGUAY,1998,Grape,10,1,0,0
URUGUAY,1998,hay,650,7,29,0
URUGUAY,1998,Maize,60,1,2,0
URUGUAY,1998,Oat,45,2,1,0
URUGUAY,1998,Potato,9,1,1,0
URUGUAY,1998,Pulses,6,0,0,0
URUGUAY,1998,Rice,180,14,14,4
URUGUAY,1998,Sorghum,27,2,2,0
URUGUAY,1998,Soybean,9,0,0,0
URUGUAY,1998,Sugar cane,3,1,0,0
URUGUAY,1998,Sunflower,81,4,4,1
URUGUAY,1998,Vegetables,22,2,2,0
URUGUAY,1998,Wheat,193,12,16,4
USA,1998,Apple,189,9,3,6
USA,1998,Fruits,9,1,0,0
USA,1998,Artichoke,4,0,0,0
USA,1998,Asparagus,30,3,1,2
USA,1998,Avocado,27,4,1,1
USA,1998,Barley,2373,142,59,24
USA,1998,Cabbage,89,13,9,18
USA,1998,Carrot,55,11,7,6
USA,1998,Cauliflower,18,4,2,1
USA,1998,Cherry,23,2,0,1
USA,1998,Cotton,4324,467,156,147
USA,1998,Cranberry,15,1,1,1
USA,1998,Cucumber,65,8,6,8
USA,1998,Date,2,0,0,0
USA,1998,Dry beans,776,61,12,14
USA,1998,Eggplant,1,0,0,0
USA,1998,Fig,7,0,0,0
USA,1998,Garlic,15,1,1,2
USA,1998,Grape,347,22,7,17
USA,1998,Grapefruit,70,9,3,11
USA,1998,Bean,21,1,0,0
USA,1998,Groundnut,594,14,24,38
USA,1998,Kiwi,2,0,0,0
USA,1998,Lemon,27,4,0,0
USA,1998,Lentil,64,5,4,3
USA,1998,Lettuce,115,23,15,6
USA,1998,Maize,31205,4681,1966,2247
USA,1998,Peach,79,9,1,4
USA,1998,Oat,1115,56,22,11
USA,1998,Olive,14,1,0,0
USA,1998,Onion,69,14,10,7
USA,1998,Orange,335,57,8,54
USA,1998,Peach,71,6,1,4
USA,1998,Pear,27,3,0,1
USA,1998,Pineapple,9,1,1,1
USA,1998,Pistachio,28,3,2,3
USA,1998,Plum,52,4,0,1
USA,1998,Potato,562,117,112,76
USA,1998,"Potato, sweet",34,5,6,4
USA,1998,Rapeseed,437,62,50,35
USA,1998,Raspberry,5,1,0,0
USA,1998,Rice,1318,188,32,32
USA,1998,Rye,169,7,2,2
USA,1998,Safflower,115,11,9,7
USA,1998,Sorghum,3125,281,75,25
USA,1998,Soybean,28507,599,513,948
USA,1998,Spinach,14,2,1,1
USA,1998,Strawberry,18,3,2,2
USA,1998,Sugar beet,587,71,24,35
USA,1998,Sugar cane,383,38,15,84
USA,1998,Sunflower,1413,35,14,14
USA,1998,Tangerine,24,4,1,4
USA,1998,Tobacco,290,29,33,61
USA,1998,Tomato,171,43,30,46
USA,1998,Watermelon,69,9,12,8
USA,1998,Wheat,8100,583,259,73
USA,1998,Wheat,23878,1504,573,96
UZBEKISTAN,1998,Cereals,0,0,0,0
UZBEKISTAN,1999,Cereals,0,0,0,0
UZBEKISTAN,2000,Cereals,0,0,0,0
UZBEKISTAN,1998,Cotton,0,0,0,0
UZBEKISTAN,1999,Cotton,0,0,0,0
UZBEKISTAN,2000,Cotton,0,0,0,0
VENEZUELA,1997,Banana,52,3,2,6
VENEZUELA,1997,Citrus fruits,36,3,1,1
VENEZUELA,1997,Cocoa,62,2,1,0
VENEZUELA,1997,Coffee,179,22,4,3
VENEZUELA,1997,Cotton,48,3,2,1
VENEZUELA,1997,Dry beans,42,2,1,0
VENEZUELA,1997,Maize,424,34,10,8
VENEZUELA,1997,Oil Palm,28,1,1,2
VENEZUELA,1997,Hay,12000,30,5,10
VENEZUELA,1997,Plantain,61,2,1,1
VENEZUELA,1997,Potato,18,1,1,0
VENEZUELA,1997,Pulses,48,1,3,1
VENEZUELA,1997,Rice,173,23,8,6
VENEZUELA,1997,Sesame,45,2,3,2
VENEZUELA,1997,Sorghum,232,19,6,7
VENEZUELA,1997,Soybean,2,0,0,0
VENEZUELA,1997,Sugar cane,104,11,8,7
VENEZUELA,1997,Sunflower,8,0,0,0
VENEZUELA,1997,Tobacco,9,1,0,0
VENEZUELA,1997,Tomato,13,2,1,0
VENEZUELA,1997,Vegetables,64,5,4,3
VENEZUELA,1997,Wheat,1,0,0,0
VIETNAM,1999,Cassava,227,10,7,1
VIETNAM,1999,Coconut,164,2,1,0
VIETNAM,1999,Coffee,360,60,26,54
VIETNAM,1999,Fruits,402,31,11,9
VIETNAM,1999,Groundnut,248,9,8,3
VIETNAM,1999,Maize,687,65,35,27
VIETNAM,1999,Onion,62,4,2,0
VIETNAM,1999,Pepper,18,3,1,2
VIETNAM,1999,Potato,28,2,1,1
VIETNAM,1999,Rice,7648,792,276,225
VIETNAM,1999,Soybean,129,5,4,1
VIETNAM,1999,Sugar cane,351,31,13,12
VIETNAM,1999,Tea,69,4,2,0
VIETNAM,1999,Tobacco,33,3,2,1
VIETNAM,1999,Vegetables,420,53,23,25
ZAMBIA,1996,Maize,649,10,3,2
ZAMBIA,1996,Millet,79,1,0,0
ZAMBIA,1996,Soybean,17,0,0,0
ZIMBABWE,1998,Cotton,313,7,1,1
ZIMBABWE,1998,Maize,1224,114,16,16
ZIMBABWE,1998,Sugar cane,61,0,0,0
ZIMBABWE,1998,Tobacco,92,3,3,5
ZIMBABWE,1998,Wheat,58,11,2,2
