# File: FAO_For_Exp_m3_FORESTAT.csv
# Title: FAO forests export qunatity by country.year
# Units: Export Quantity in m3
# Source: FAOSTAT (domain:FO FAO.udpate:2021-03-01)
# Date of last update: 2021-04-15
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Saint Kitts and Nevis,188,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Saint Lucia,189,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Saint Pierre and Miquelon,190,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6442,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,191,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,408,408,408,43,49,49,49,49,49,49,0,0,0,0,0
Samoa,244,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,103,87,107,107,107,6361,6361,6361,6361,6361,656,204,204,179,179,179,179,179,179,179,179,6,197,34,253,0
San Marino,192,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sao Tome and Principe,193,Roundwood,1861,Export Quantity (m3),5916,,,,,,,200,200,,,,,,,,,,,,,,,,,,,0,,,146,,18,,0,0,0,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,0,0,0,0,0
Saudi Arabia,194,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,160,10,895,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,8800,2258,1744,7015,594,1026,205,266,330,49
Senegal,195,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,271,271,271,0,0,0,0,0,0,0,0,0,0,0,115,76,1147,1147,253,5886,14008,2455,2197,374,170,7069
Serbia,272,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,72000,48700,29500,42600,43900,56000,57223,53000,45000,118000,105000,108000,78000
Serbia and Montenegro,186,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67422,51074,52173,19100,37700,95100,52700,39700,23100,50400,56000,41000,38000,57000,,,,,,,,,,,,,,
Seychelles,196,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,1006,329,42,42,205,0,0,0,0,4,0
Sierra Leone,197,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,,29,47,29,88,88,88,106,106,178,443,1392,1392,572,1286,1725,13033,15057,16057,7057,53457,28999,237,131268,45514,143849,296140
Singapore,200,Roundwood,1861,Export Quantity (m3),5916,,,,40500,29800,65000,20300,18300,35400,22300,4800,2400,5100,14900,3900,3500,42200,37900,42600,42600,22400,47400,55000,26500,20100,25000,16100,40400,37400,84410,95038,174882,54062,52840,20100,8100,8400,19600,10017,6900,16658,39150,30859,19436,28860,3249,3236,1953,2172,2903,620,5410,9187,10299,5533,5581,40796,22604,17357
Slovakia,199,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322051,1110000,919000,756000,1079000,735000,1232000,1612000,1828000,1286000,1189000,1210000,1815000,1233000,1533000,2289330,2685692,2563703,2683596,2395624,3121855,3391500,2642817,2448955,2015623,2099580,1750092
Slovenia,198,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355163,206000,224000,159800,182000,301000,324900,325475,303980,321200,361510,280455,244132,422584,545678,705730,724368,766944,844016,1142434,1323545,1549739,2384832,2682657,3083548,2703746,2695003,1935501
Solomon Islands,25,Roundwood,1861,Export Quantity (m3),5916,400,100,4100,24900,19500,32400,79800,125700,205600,226800,255300,238300,254200,211200,208000,263800,251200,261600,262800,262800,319800,333300,337500,283500,370500,349300,280300,286800,261000,321901,294898,514932,350325,592542,749000,833000,650000,604000,622000,536000,534000,550000,714000,1043000,1118000,1073000,1446000,1523000,1277745,1594000,1962000,2100000,2155000,2449000,1931076,1656027,3056142,3180019,2584328
Somalia,201,Roundwood,1861,Export Quantity (m3),5916,1900,1900,1900,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,4459,4459,4459,4459,3678,4823,4823,4933,4894,221,221,601,625,1241,1241,1272,939,1101,0,0,0
South Africa,202,Roundwood,1861,Export Quantity (m3),5916,14000,13000,8000,6500,11000,8700,17600,16000,11200,16000,16000,10900,9200,8900,9800,33400,50500,95300,78600,42100,46500,29400,55100,42200,23100,35905,46605,43465,25793,16104,70586,57306,371523,409454,210500,384800,246400,207400,301000,301000,138269,385813,303788,370881,252980,191337,191337,229223,219941,242024,249802,292756,201905,306966,451202,460245,834156,803018,722312
South Sudan,277,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,40,190,150,12068,15251,5719
Spain,203,Roundwood,1861,Export Quantity (m3),5916,4800,2900,2400,6300,12100,6400,20400,63400,39600,124100,103900,29600,31300,39600,90400,45800,24800,22800,51900,132400,150600,165000,150000,66700,46800,58500,198800,183800,195800,114177,49520,80418,69000,330700,536700,250900,532300,584000,387000,369001,508000,256000,281000,269000,322000,412000,535586,1167434,867679,1391238,2043763,1749086,2586193,2765480,2054323,2113497,1436996,1603166,2216759
Sri Lanka,38,Roundwood,1861,Export Quantity (m3),5916,300,400,200,200,200,600,800,300,300,300,200,100,100,100,600,800,200,200,200,200,,,,,,,0,,,3840,644,1372,643,323,378,378,2486,2486,2486,2486,2486,386,3226,15394,15394,2909,4163,3084,627,2230,2808,1926,722,474,301,578,67,254,8
Sudan,276,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6099,6099,6099,35314,20718,34750,10715,10715
Sudan (former),206,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,290,290,290,0,0,0,85,85,189,7778,2282,2282,376,679,2391,5661,9798,200,,,,,,,,
Suriname,207,Roundwood,1861,Export Quantity (m3),5916,18900,21500,20400,17000,24400,28500,21100,20000,21900,24700,16900,16500,17300,22600,21200,12400,13700,18100,24400,25600,33500,24300,22000,17000,14400,6500,3700,10700,5000,828,499,2305,3519,8000,8500,27000,30700,21000,17000,10000,8000,25900,3200,6200,9470,18601,12602,28920,29960,49140,92207,109612,96593,148648,208027,266942,482919,533931,525567
Sweden,210,Roundwood,1861,Export Quantity (m3),5916,961200,1122200,1415300,1716600,2178500,2114400,2651300,2792900,3188900,4276400,3709800,2664900,2978500,2171100,1977800,1527400,924100,858700,841600,891000,809000,613400,627100,957000,916100,772300,842400,872500,857500,803814,812130,653920,843000,1068000,1738000,1628000,1404000,1454500,1335000,1461813,1340450,1785189,1533438,1558155,3126887,3045170,3886000,2453082,1208654,1256041,892225,819813,775374,644470,632833,599909,981217,791058,886535
Switzerland,211,Roundwood,1861,Export Quantity (m3),5916,89700,108600,158300,201600,200700,228900,305100,436200,297600,318800,368300,481700,554200,592000,648000,701700,818226,673200,746300,873700,762000,614000,622000,799000,681000,665000,797000,735000,803000,1128143,1194523,1143003,1074148,1074000,1022000,993000,1160000,1021000,1239000,3754410,3192930,2005013,1784000,1784914,1454807,1703783,2027498,1178902,850622,820302,943768,815839,749997,772535,649341,568053,578108,760797,649317
Syrian Arab Republic,212,Roundwood,1861,Export Quantity (m3),5916,1500,1600,2300,2000,1800,1900,1200,1300,200,,,,,100,1900,1100,,300,700,400,400,,,,,,0,,,22,,17,,0,0,0,25,25,0,0,800,853,4013,16281,16281,18483,7919,11932,11932,4524,2217,15212,189,287,125,125,2,0,0
Tajikistan,208,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0
Thailand,216,Roundwood,1861,Export Quantity (m3),5916,13100,9600,22400,19400,27900,36900,30600,28700,27500,29700,64100,76100,86700,86700,500,49000,31800,17200,700,700,7100,6300,,,,,0,,,46601,38970,24135,1531,650,26200,0,0,12000,300,200,200,17612,10287,6528,26917,16500,15832,19163,12782,8802,15971,23287,28134,46332,14591,6233,2128,9241,10633
Timor-Leste,176,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,1055,496,514,514,728,1058,984,429,365,354,28,313,18,0,28
Togo,217,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,166,,1200,3000,600,68000,16000,11000,28000,28000,17000,18341,16794,49123,60407,70328,100422,77708,117843,101167,94435,77682,115765,117974,50151,49241,24907,30432
Tokelau,218,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Tonga,219,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3806,44,,,0,0,0,0,116,116,116,116,116,1785,6626,6626,2061,3967,1185,276,457,1931,4131,4131,1158,115,0,0,0,4
Trinidad and Tobago,220,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152,2729,4749,1100,700,700,0,0,0,0,0,0,500,500,26,77,118,39,5550,2964,4915,7699,4485,3066,429,318,824,107,2578,40
Tunisia,222,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,300,,,,,,,,,,,,0,,,2328,,2900,,61,0,0,0,0,0,0,0,0,0,354,354,354,354,744,272,220,113,85,234,234,69,96,1,250,245
Turkey,223,Roundwood,1861,Export Quantity (m3),5916,7600,15300,22000,11000,12900,14800,10600,8300,10800,20100,34900,34100,29400,12100,19300,11300,8900,5100,3700,4800,36900,42400,45900,119800,91400,48600,23600,35000,17900,11543,1826,3701,6125,8200,56000,22400,20000,93000,5000,4000,8000,9002,68567,36509,9693,2781,11000,4860,13017,7412,3800,6300,3633,437,1505,9800,24000,53200,68244
Turkmenistan,213,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,224,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0,0,0,0,0,0,70,0,0
Tuvalu,227,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Uganda,226,Roundwood,1861,Export Quantity (m3),5916,100,300,300,,300,100,,,500,700,400,300,300,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,870,3911,3911,1240,4111,10256,7349,1318,10302,4622,1458,10713,10569,12627,8210,2138,395
Ukraine,230,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,1100,1100,28000,356000,479000,507927,704969,704969,1091195,1763766,2136815,2977198,2670147,2699509,3396444,3396444,3396444,3670600,4151865,4140300,4518460,5229900,5028300,3888100,1495100,1046300,1046374
United Arab Emirates,225,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,0,0,0,0,0,0,0,800,800,800,3084,3084,3084,3084,4690,6340,14228,12492,15134,15794,31835,10347,8239,21131,14574,18877
United Kingdom,229,Roundwood,1861,Export Quantity (m3),5916,21700,29500,24300,16500,15500,16500,14600,13900,22600,23100,16800,14400,37800,20600,41900,85600,85600,41200,50300,150500,658700,557100,446200,387100,394000,349000,471600,513500,413500,161103,211047,201652,38000,46400,55400,54400,70000,356300,166200,270400,190288,157169,439641,757694,895478,789604,922902,832525,409941,621761,724464,1023054,1016348,709044,850135,731840,387246,318985,277354
United Republic of Tanzania,215,Roundwood,1861,Export Quantity (m3),5916,10100,14000,11600,5500,5600,5700,3600,3800,9200,11300,18000,2500,3100,3300,1100,,400,300,1600,900,200,200,600,600,600,200,200,200,200,18636,7621,17001,7000,7000,10047,7847,5622,2332,24326,12160,12160,10085,44550,76530,76530,58318,23838,5603,18957,12890,9738,14281,3500,4944,29498,16592,6093,14908,20837
United States of America,231,Roundwood,1861,Export Quantity (m3),5916,2636100,2660100,4542700,5161300,5625300,6670200,9280800,11885400,11076800,12778700,10718700,14638100,14870200,13268400,13385300,15919700,15294300,16331700,18635208,15800900,12593800,15523200,16828100,16726900,18381308,17488800,19509396,22647096,22495200,21666105,20700384,17341266,13107391,12355000,12945000,12077000,10991000,12544900,11916100,12156600,11610198,11298498,10442146,10515348,9937704,9772701,10064967,10420066,9849584,11839907,14320972,12769700,15128067,14294222,11931500,12335590,12526601,12635232,8165971
Uruguay,234,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75910,53438,168443,168450,102867,480974,514974,691100,843100,371500,839630,917000,1097000,1372773,1614042,1775000,1995000,1873000,537000,263000,471000,364000,129677,149739,158000,123888,137039,888939,2209222,1941568
USSR,228,Roundwood,1861,Export Quantity (m3),5916,5481500,7266900,7794400,8923000,10577700,12109500,11984900,12351400,13230100,14957200,14301900,14345500,17909300,17643300,16170700,17331000,17355800,16799700,14853000,13487600,13335900,12785600,14640600,15134500,14938400,17470000,18615600,19493600,17879600,10707565,10623643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,235,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1160,420,416,1902,1902,2313,4205,4124,4124,4124,4124,2197,1503,54,54,553,421,363,427,427
Vanuatu,155,Roundwood,1861,Export Quantity (m3),5916,100,100,100,100,,,,,,,,,,,,,,,4900,4900,4900,4900,4200,4200,22100,9700,25200,4409,5158,5740,,,3655,3655,3655,3655,234,349,1729,752,752,1746,20526,4935,4950,689,1028,692,851,700,3028,4872,7150,2201,1404,6322,8432,1575,1924
Venezuela (Bolivarian Republic of),236,Roundwood,1861,Export Quantity (m3),5916,300,700,100,100,2500,2000,100,,,,,,,,,,,,,,,,,,,,0,,,16448,31,1426,1650,806,27900,47500,8900,3000,5000,4900,5600,4018,12583,19963,6260,940,0,5,0,88,1,0,102,0,0,0,1027,8032,14387
Viet Nam,237,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,36700,9300,30400,82600,120700,437911,344611,58552,42744,12490,49102,50181,26454,15507,35100,35100,8900,14500,15400,19064,19064,146125,220656,71562,119430,148383,238500,152541,165635,293250,107568,74560,95538,92678,46266
Wallis and Futuna Islands,243,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Western Sahara,205,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Yemen,249,Roundwood,1861,Export Quantity (m3),5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,0,0,0,0,0,0,0,0,0,0,9,0,13,1,50,0,70,0,0,0,0
Yugoslav SFR,248,Roundwood,1861,Export Quantity (m3),5916,869000,826000,1108800,1055200,831800,580800,493100,569200,707300,759300,743300,817900,935900,954000,775100,880670,1190770,793000,925100,945700,547000,421400,535700,659000,339300,425500,592000,710300,1157200,924935,224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,251,Roundwood,1861,Export Quantity (m3),5916,,,,200,500,,,,,800,,,,,,,,,,,,,,,,,,,,44,30,6483,,0,522,522,522,1888,743,773,600,600,600,778,778,778,778,5296,7999,3926,988,1093,1727,75478,215613,301250,95533,48615,40170
Zimbabwe,181,Roundwood,1861,Export Quantity (m3),5916,100,100,100,1700,34500,32600,,,,,,,,,,1800,2400,1400,700,600,2700,27600,10000,10200,10200,4700,26700,2400,2400,4786,860,19772,21646,21646,15101,716,150,150,150,0,0,0,0,4548,4548,4548,4548,2533,970,2237,735,3598,5515,3648,1329,560,8550,7373,44328
