# File: EIA_net_gen_renewables.csv,,,,,,,,,,,,,,,,,,,
# Title: EIA Net Generation for All Sectors,,,,,,,,,,,,,,,,,,,
# Units: thousand MWh,,,,,,,,,,,,,,,,,,,
# Comments: Data downloaded Wed May 02 2018 11:40:07 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=0082u&geo=00fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2017&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=),,,,,,,,,,,,,,,,,
description,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Arkansas : all utility-scale solar,,ELEC.GEN.SUN-AR-99.A,,,,,,,,,,,,,,,,,
Arkansas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,26,29
Arkansas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Louisiana,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Louisiana : all fuels (utility-scale),,ELEC.GEN.ALL-LA-99.A,,,,,,,,,,,,,,,,,
Louisiana : other renewables,,ELEC.GEN.AOR-LA-99.A,,,,,,,,,,,,,,,,,
Louisiana : wind,thousand megawatthours,ELEC.GEN.WND-LA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Louisiana : all utility-scale solar,,ELEC.GEN.SUN-LA-99.A,,,,,,,,,,,,,,,,,
Louisiana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-LA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Louisiana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-LA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Louisiana : all solar,,ELEC.GEN.TSN-LA-99.A,,,,,,,,,,,,,,,,,
Louisiana : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-LA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,104,153,191,208
Louisiana : all utility-scale solar,,ELEC.GEN.SUN-LA-99.A,,,,,,,,,,,,,,,,,
Louisiana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-LA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Louisiana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-LA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oklahoma,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Oklahoma : all fuels (utility-scale),,ELEC.GEN.ALL-OK-99.A,,,,,,,,,,,,,,,,,
Oklahoma : other renewables,,ELEC.GEN.AOR-OK-99.A,,,,,,,,,,,,,,,,,
Oklahoma : wind,thousand megawatthours,ELEC.GEN.WND-OK-99.A,--,--,54,573,848,1712,1849,2358,2698,3808,5605,8158,11162,11937,14031,20069,24404
Oklahoma : all utility-scale solar,,ELEC.GEN.SUN-OK-99.A,,,,,,,,,,,,,,,,,
Oklahoma : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,5,39
Oklahoma : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oklahoma : all solar,,ELEC.GEN.TSN-OK-99.A,,,,,,,,,,,,,,,,,
Oklahoma : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-OK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,3,4,6
Oklahoma : all utility-scale solar,,ELEC.GEN.SUN-OK-99.A,,,,,,,,,,,,,,,,,
Oklahoma : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,5,39
Oklahoma : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Texas : all fuels (utility-scale),,ELEC.GEN.ALL-TX-99.A,,,,,,,,,,,,,,,,,
Texas : other renewables,,ELEC.GEN.AOR-TX-99.A,,,,,,,,,,,,,,,,,
Texas : wind,thousand megawatthours,ELEC.GEN.WND-TX-99.A,1188,2656,2570,3138,4237,6671,9006,16225,20026,26251,30548,32214,35874,40005,44833,57531,67092
Texas : all utility-scale solar,,ELEC.GEN.SUN-TX-99.A,,,,,,,,,,,,,,,,,
Texas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-TX-99.A,--,--,--,--,--,--,--,--,--,8,29,115,163,282,401,731,2119
Texas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-TX-99.A,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,--,--
Texas : all solar,,ELEC.GEN.TSN-TX-99.A,,,,,,,,,,,,,,,,,
Texas : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-TX-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,164,223,391,695
Texas : all utility-scale solar,,ELEC.GEN.SUN-TX-99.A,,,,,,,,,,,,,,,,,
Texas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-TX-99.A,--,--,--,--,--,--,--,--,--,8,29,115,163,282,401,731,2119
Texas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-TX-99.A,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,--,--
Mountain,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Arizona,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Arizona : all fuels (utility-scale),,ELEC.GEN.ALL-AZ-99.A,,,,,,,,,,,,,,,,,
Arizona : other renewables,,ELEC.GEN.AOR-AZ-99.A,,,,,,,,,,,,,,,,,
Arizona : wind,thousand megawatthours,ELEC.GEN.WND-AZ-99.A,--,--,--,--,--,--,--,--,30,135,256,532,450,468,452,542,588
Arizona : all utility-scale solar,,ELEC.GEN.SUN-AZ-99.A,,,,,,,,,,,,,,,,,
Arizona : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AZ-99.A,--,--,0,4,14,13,8,14,14,13,81,955,2022,2538,2738,3122,4013
Arizona : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AZ-99.A,--,--,--,--,--,0,1,1,1,3,2,0,89,604,719,644,724
Arizona : all solar,,ELEC.GEN.TSN-AZ-99.A,,,,,,,,,,,,,,,,,
Arizona : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-AZ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1101,1370,1603,1761
Arizona : all utility-scale solar,,ELEC.GEN.SUN-AZ-99.A,,,,,,,,,,,,,,,,,
Arizona : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AZ-99.A,--,--,0,4,14,13,8,14,14,13,81,955,2022,2538,2738,3122,4013
Arizona : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AZ-99.A,--,--,--,--,--,0,1,1,1,3,2,0,89,604,719,644,724
Colorado,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Colorado : all fuels (utility-scale),,ELEC.GEN.ALL-CO-99.A,,,,,,,,,,,,,,,,,
Colorado : other renewables,,ELEC.GEN.AOR-CO-99.A,,,,,,,,,,,,,,,,,
Colorado : wind,thousand megawatthours,ELEC.GEN.WND-CO-99.A,49,139,147,220,776,866,1292,3221,3164,3452,5200,5969,7204,7369,7475,9421,9567
Colorado : all utility-scale solar,,ELEC.GEN.SUN-CO-99.A,,,,,,,,,,,,,,,,,
Colorado : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CO-99.A,--,--,--,--,--,--,2,18,26,42,105,165,248,253,251,538,935
Colorado : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Colorado : all solar,,ELEC.GEN.TSN-CO-99.A,,,,,,,,,,,,,,,,,
Colorado : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,353,391,461,528
Colorado : all utility-scale solar,,ELEC.GEN.SUN-CO-99.A,,,,,,,,,,,,,,,,,
Colorado : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CO-99.A,--,--,--,--,--,--,2,18,26,42,105,165,248,253,251,538,935
Colorado : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CO-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Idaho : all fuels (utility-scale),,ELEC.GEN.ALL-ID-99.A,,,,,,,,,,,,,,,,,
Idaho : other renewables,,ELEC.GEN.AOR-ID-99.A,,,,,,,,,,,,,,,,,
Idaho : wind,thousand megawatthours,ELEC.GEN.WND-ID-99.A,--,--,--,--,--,170,172,207,313,441,1307,1891,2460,2806,2270,2578,2453
Idaho : all utility-scale solar,,ELEC.GEN.SUN-ID-99.A,,,,,,,,,,,,,,,,,
Idaho : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,494
Idaho : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho : all solar,,ELEC.GEN.TSN-ID-99.A,,,,,,,,,,,,,,,,,
Idaho : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,6,10,16
Idaho : all utility-scale solar,,ELEC.GEN.SUN-ID-99.A,,,,,,,,,,,,,,,,,
Idaho : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,494
Idaho : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ID-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Montana : all fuels (utility-scale),,ELEC.GEN.ALL-MT-99.A,,,,,,,,,,,,,,,,,
Montana : other renewables,,ELEC.GEN.AOR-MT-99.A,,,,,,,,,,,,,,,,,
Montana : wind,thousand megawatthours,ELEC.GEN.WND-MT-99.A,--,--,--,--,--,436,496,593,821,930,1265,1262,1755,1974,1965,2140,2150
Montana : all utility-scale solar,,ELEC.GEN.SUN-MT-99.A,,,,,,,,,,,,,,,,,
Montana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21
Montana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana : all solar,,ELEC.GEN.TSN-MT-99.A,,,,,,,,,,,,,,,,,
Montana : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,11,8,11,15
Montana : all utility-scale solar,,ELEC.GEN.SUN-MT-99.A,,,,,,,,,,,,,,,,,
Montana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21
Montana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Nevada : all fuels (utility-scale),,ELEC.GEN.ALL-NV-99.A,,,,,,,,,,,,,,,,,
Nevada : other renewables,,ELEC.GEN.AOR-NV-99.A,,,,,,,,,,,,,,,,,
Nevada : wind,thousand megawatthours,ELEC.GEN.WND-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,129,251,300,310,344,361
Nevada : all utility-scale solar,,ELEC.GEN.SUN-NV-99.A,,,,,,,,,,,,,,,,,
Nevada : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NV-99.A,--,--,--,--,--,--,3,33,54,84,163,344,633,897,1548,2880,3675
Nevada : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NV-99.A,--,--,--,--,--,--,41,123,121,133,128,129,113,116,109,244,160
Nevada : all solar,,ELEC.GEN.TSN-NV-99.A,,,,,,,,,,,,,,,,,
Nevada : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NV-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,104,186,372,406
Nevada : all utility-scale solar,,ELEC.GEN.SUN-NV-99.A,,,,,,,,,,,,,,,,,
Nevada : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NV-99.A,--,--,--,--,--,--,3,33,54,84,163,344,633,897,1548,2880,3675
Nevada : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NV-99.A,--,--,--,--,--,--,41,123,121,133,128,129,113,116,109,244,160
New Mexico,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
New Mexico : all fuels (utility-scale),,ELEC.GEN.ALL-NM-99.A,,,,,,,,,,,,,,,,,
New Mexico : other renewables,,ELEC.GEN.AOR-NM-99.A,,,,,,,,,,,,,,,,,
New Mexico : wind,thousand megawatthours,ELEC.GEN.WND-NM-99.A,--,--,183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4542
New Mexico : all utility-scale solar,,ELEC.GEN.SUN-NM-99.A,,,,,,,,,,,,,,,,,
New Mexico : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NM-99.A,--,--,--,--,--,--,--,--,--,9,128,334,388,515,615,752,1110
New Mexico : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico : all solar,,ELEC.GEN.TSN-NM-99.A,,,,,,,,,,,,,,,,,
New Mexico : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,120,142,157,203
New Mexico : all utility-scale solar,,ELEC.GEN.SUN-NM-99.A,,,,,,,,,,,,,,,,,
New Mexico : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NM-99.A,--,--,--,--,--,--,--,--,--,9,128,334,388,515,615,752,1110
New Mexico : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NM-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Utah : all fuels (utility-scale),,ELEC.GEN.ALL-UT-99.A,,,,,,,,,,,,,,,,,
Utah : other renewables,,ELEC.GEN.AOR-UT-99.A,,,,,,,,,,,,,,,,,
Utah : wind,thousand megawatthours,ELEC.GEN.WND-UT-99.A,--,--,--,--,--,--,--,24,160,448,573,704,540,660,626,822,935
Utah : all utility-scale solar,,ELEC.GEN.SUN-UT-99.A,,,,,,,,,,,,,,,,,
Utah : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,2,2,2,32,1054,1974
Utah : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah : all solar,,ELEC.GEN.TSN-UT-99.A,,,,,,,,,,,,,,,,,
Utah : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,37,67,150,288
Utah : all utility-scale solar,,ELEC.GEN.SUN-UT-99.A,,,,,,,,,,,,,,,,,
Utah : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,2,2,2,32,1054,1974
Utah : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-UT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Wyoming : all fuels (utility-scale),,ELEC.GEN.ALL-WY-99.A,,,,,,,,,,,,,,,,,
Wyoming : other renewables,,ELEC.GEN.AOR-WY-99.A,,,,,,,,,,,,,,,,,
Wyoming : wind,thousand megawatthours,ELEC.GEN.WND-WY-99.A,365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4398
Wyoming : all utility-scale solar,,ELEC.GEN.SUN-WY-99.A,,,,,,,,,,,,,,,,,
Wyoming : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : all solar,,ELEC.GEN.TSN-WY-99.A,,,,,,,,,,,,,,,,,
Wyoming : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,3,3,5
Wyoming : all utility-scale solar,,ELEC.GEN.SUN-WY-99.A,,,,,,,,,,,,,,,,,
Wyoming : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Contiguous,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
California,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
California : all fuels (utility-scale),,ELEC.GEN.ALL-CA-99.A,,,,,,,,,,,,,,,,,
California : other renewables,,ELEC.GEN.AOR-CA-99.A,,,,,,,,,,,,,,,,,
California : wind,thousand megawatthours,ELEC.GEN.WND-CA-99.A,3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,13971
California : all utility-scale solar,,ELEC.GEN.SUN-CA-99.A,,,,,,,,,,,,,,,,,
California : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CA-99.A,--,--,2,2,2,2,3,6,34,116,242,743,3205,8336,12522,16386,20736
California : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CA-99.A,--,--,532,569,535,493,554,665,613,654,647,640,609,1595,2293,2421,2364
California : all solar,,ELEC.GEN.TSN-CA-99.A,,,,,,,,,,,,,,,,,
California : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4674,6014,8230,10633
California : all utility-scale solar,,ELEC.GEN.SUN-CA-99.A,,,,,,,,,,,,,,,,,
California : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CA-99.A,--,--,2,2,2,2,3,6,34,116,242,743,3205,8336,12522,16386,20736
California : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CA-99.A,--,--,532,569,535,493,554,665,613,654,647,640,609,1595,2293,2421,2364
Oregon,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Oregon : all fuels (utility-scale),,ELEC.GEN.ALL-OR-99.A,,,,,,,,,,,,,,,,,
Oregon : other renewables,,ELEC.GEN.AOR-OR-99.A,,,,,,,,,,,,,,,,,
Oregon : wind,thousand megawatthours,ELEC.GEN.WND-OR-99.A,89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6506
Oregon : all utility-scale solar,,ELEC.GEN.SUN-OR-99.A,,,,,,,,,,,,,,,,,
Oregon : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OR-99.A,--,--,--,--,--,--,--,--,--,--,0,6,20,24,24,41,241
Oregon : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--
Oregon : all solar,,ELEC.GEN.TSN-OR-99.A,,,,,,,,,,,,,,,,,
Oregon : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,80,92,151,179
Oregon : all utility-scale solar,,ELEC.GEN.SUN-OR-99.A,,,,,,,,,,,,,,,,,
Oregon : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OR-99.A,--,--,--,--,--,--,--,--,--,--,0,6,20,24,24,41,241
Oregon : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--
Washington,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Washington : all fuels (utility-scale),,ELEC.GEN.ALL-WA-99.A,,,,,,,,,,,,,,,,,
Washington : other renewables,,ELEC.GEN.AOR-WA-99.A,,,,,,,,,,,,,,,,,
Washington : wind,thousand megawatthours,ELEC.GEN.WND-WA-99.A,--,417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,7481
Washington : all utility-scale solar,,ELEC.GEN.SUN-WA-99.A,,,,,,,,,,,,,,,,,
Washington : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WA-99.A,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,0
Washington : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Washington : all solar,,ELEC.GEN.TSN-WA-99.A,,,,,,,,,,,,,,,,,
Washington : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,36,55,89,116
Washington : all utility-scale solar,,ELEC.GEN.SUN-WA-99.A,,,,,,,,,,,,,,,,,
Washington : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WA-99.A,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,0
Washington : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Noncontiguous,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Alaska,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Alaska : all fuels (utility-scale),,ELEC.GEN.ALL-AK-99.A,,,,,,,,,,,,,,,,,
Alaska : other renewables,,ELEC.GEN.AOR-AK-99.A,,,,,,,,,,,,,,,,,
Alaska : wind,thousand megawatthours,ELEC.GEN.WND-AK-99.A,1,--,--,--,1,1,1,0,7,13,12,37,145,152,160,169,164
Alaska : all utility-scale solar,,ELEC.GEN.SUN-AK-99.A,,,,,,,,,,,,,,,,,
Alaska : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alaska : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alaska : all solar,,ELEC.GEN.TSN-AK-99.A,,,,,,,,,,,,,,,,,
Alaska : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-AK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,2
Alaska : all utility-scale solar,,ELEC.GEN.SUN-AK-99.A,,,,,,,,,,,,,,,,,
Alaska : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-AK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alaska : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-AK-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hawaii,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Hawaii : all fuels (utility-scale),,ELEC.GEN.ALL-HI-99.A,,,,,,,,,,,,,,,,,
Hawaii : other renewables,,ELEC.GEN.AOR-HI-99.A,,,,,,,,,,,,,,,,,
Hawaii : wind,thousand megawatthours,ELEC.GEN.WND-HI-99.A,2,2,2,7,7,80,238,240,251,261,341,378,503,579,613,639,643
Hawaii : all utility-scale solar,,ELEC.GEN.SUN-HI-99.A,,,,,,,,,,,,,,,,,
Hawaii : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-HI-99.A,--,--,--,--,--,--,--,0,1,2,4,5,19,39,54,89,194
Hawaii : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-HI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hawaii : all solar,,ELEC.GEN.TSN-HI-99.A,,,,,,,,,,,,,,,,,
Hawaii : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-HI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,551,632,760,971
Hawaii : all utility-scale solar,,ELEC.GEN.SUN-HI-99.A,,,,,,,,,,,,,,,,,
Hawaii : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-HI-99.A,--,--,--,--,--,--,--,0,1,2,4,5,19,39,54,89,194
Hawaii : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-HI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-- 
