# File: steel_prod.csv
# Title: Crude steel production by country and sector
# Units: Thousand tonnes
# Description: National steel production
# Source: World Steel Association
# Column types: cinnnc
# ----------
iso,year,BLASTFUR,EAF with scrap,EAF with DRI,unit_prod
rus,1986,43600,2370,5050,thousand tons
sau,1986,0,617,1950,thousand tons
sgp,1986,0,125,395,thousand tons
slv,1986,0.431,8.38,26.5,thousand tons
svk,1986,2970,138,108,thousand tons
svn,1986,0,251,197,thousand tons
swe,1986,2790,962,756,thousand tons
syr,1986,0,14.5,45.9,thousand tons
tha,1986,0,434,1380,thousand tons
tto,1986,0,153,485,thousand tons
tun,1986,147,12.2,38.7,thousand tons
tur,1986,4510,2510,5330,thousand tons
twn,1986,8600,1430,4540,thousand tons
ukr,1986,26500,272,577,thousand tons
ury,1986,0,7.86,24.9,thousand tons
usa,1986,46500,30900,10300,thousand tons
uzb,1986,98.3,60.6,192,thousand tons
ven,1986,0.345,793,2510,thousand tons
vnm,1986,0,63.3,200,thousand tons
zaf,1986,4030,787,2490,thousand tons
alb,1987,0,1.4,2.97,thousand tons
are,1987,0,18.9,59.8,thousand tons
arg,1987,1950,472,1500,thousand tons
aus,1987,5270,231,733,thousand tons
aut,1987,4520,266,209,thousand tons
bel,1987,7790,1340,1050,thousand tons
bgr,1987,1240,295,232,thousand tons
bih,1987,46.8,6.58,14,thousand tons
blr,1987,0,420,893,thousand tons
bra,1987,19300,1210,3820,thousand tons
can,1987,8410,4580,1530,thousand tons
che,1987,0,490,385,thousand tons
chl,1987,993,45.5,144,thousand tons
chn,1987,94700,16800,883,thousand tons
col,1987,245,79.9,253,thousand tons
cub,1987,0,70.5,223,thousand tons
cze,1987,4980,256,201,thousand tons
deu,1987,28900,6530,5130,thousand tons
dnk,1987,0,392,308,thousand tons
dom,1987,0.0875,8.17,25.9,thousand tons
dza,1987,658,18.9,59.8,thousand tons
ecu,1987,0,12.2,38.6,thousand tons
egy,1987,1030,348,1100,thousand tons
esp,1987,3690,5710,4490,thousand tons
est,1987,0.875,0,0,thousand tons
fin,1987,2740,473,371,thousand tons
fra,1987,10900,4140,3250,thousand tons
gbr,1987,10100,1700,1330,thousand tons
gha,1987,0,5.25,16.6,thousand tons
grc,1987,0,533,419,thousand tons
gtm,1987,0.437,35,111,thousand tons
hrv,1987,0,19.9,42.2,thousand tons
hun,1987,1430,114,89.7,thousand tons
idn,1987,0,598,1890,thousand tons
ind,1987,15100,2030,6440,thousand tons
irl,1987,0,176,139,thousand tons
irn,1987,1930,923,2920,thousand tons
isr,1987,0,58.8,186,thousand tons
ita,1987,9340,7880,6190,thousand tons
jor,1987,0,6.3,19.9,thousand tons
jpn,1987,66300,9390,17400,thousand tons
kaz,1987,4170,0,0,thousand tons
ken,1987,0,4.2,13.3,thousand tons
kor,1987,21600,8070,8070,thousand tons
lby,1987,0,221,701,thousand tons
lka,1987,0,6.3,19.9,thousand tons
lux,1987,0,1260,990,thousand tons
lva,1987,434,0.98,0.77,thousand tons
mar,1987,4.37,0,0,thousand tons
mda,1987,0,254,540,thousand tons
mex,1987,4580,2180,6910,thousand tons
mkd,1987,0.0875,45,95.7,thousand tons
mmr,1987,0,5.25,16.6,thousand tons
mys,1987,0,766,2430,thousand tons
nld,1987,4820,77.9,61.2,thousand tons
nor,1987,0,333,261,thousand tons
nzl,1987,483,31.4,99.5,thousand tons
pak,1987,744,21,66.5,thousand tons
per,1987,251,97.5,309,thousand tons
phl,1987,0,89.4,283,thousand tons
pol,1987,6300,1610,1270,thousand tons
prk,1987,1310,0,0,thousand tons
prt,1987,359,332,261,thousand tons
pry,1987,67.4,0,0,thousand tons
qat,1987,0,153,485,thousand tons
rom,1987,2930,649,510,thousand tons
rus,1987,44200,2410,5120,thousand tons
sau,1987,0,626,1980,thousand tons
sgp,1987,0,127,401,thousand tons
slv,1987,0.437,8.5,26.9,thousand tons
svk,1987,3020,140,110,thousand tons
svn,1987,0,254,200,thousand tons
swe,1987,2830,976,767,thousand tons
syr,1987,0,14.7,46.5,thousand tons
tha,1987,0,441,1400,thousand tons
tto,1987,0,156,493,thousand tons
tun,1987,149,12.4,39.2,thousand tons
tur,1987,4570,2550,5410,thousand tons
twn,1987,8720,1450,4600,thousand tons
ukr,1987,26900,276,586,thousand tons
ury,1987,0,7.98,25.3,thousand tons
usa,1987,47200,31400,10500,thousand tons
uzb,1987,99.7,61.5,195,thousand tons
ven,1987,0.35,805,2550,thousand tons
vnm,1987,0,64.2,203,thousand tons
zaf,1987,4090,799,2530,thousand tons
alb,1988,0,1.42,3.02,thousand tons
are,1988,0,19.2,60.7,thousand tons
arg,1988,1970,479,1520,thousand tons
aus,1988,5350,235,743,thousand tons
aut,1988,4580,270,212,thousand tons
bel,1988,7910,1350,1060,thousand tons
bgr,1988,1260,299,235,thousand tons
bih,1988,47.5,6.67,14.2,thousand tons
blr,1988,0,427,906,thousand tons
bra,1988,19600,1220,3870,thousand tons
can,1988,8530,4650,1550,thousand tons
che,1988,0,497,390,thousand tons
chl,1988,1010,46.1,146,thousand tons
chn,1988,96100,17000,896,thousand tons
col,1988,248,81,257,thousand tons
cub,1988,0,71.6,227,thousand tons
cze,1988,5050,260,204,thousand tons
deu,1988,29300,6620,5200,thousand tons
dnk,1988,0,398,313,thousand tons
dom,1988,0.0887,8.29,26.2,thousand tons
dza,1988,667,19.2,60.7,thousand tons
ecu,1988,0,12.4,39.1,thousand tons
egy,1988,1050,354,1120,thousand tons
esp,1988,3740,5790,4550,thousand tons
est,1988,0.887,0,0,thousand tons
fin,1988,2780,480,377,thousand tons
fra,1988,11100,4200,3300,thousand tons
gbr,1988,10300,1720,1350,thousand tons
gha,1988,0,5.32,16.9,thousand tons
grc,1988,0,541,425,thousand tons
gtm,1988,0.444,35.5,112,thousand tons
hrv,1988,0,20.2,42.8,thousand tons
hun,1988,1450,116,91,thousand tons
idn,1988,0,607,1920,thousand tons
ind,1988,15300,2060,6540,thousand tons
irl,1988,0,179,141,thousand tons
irn,1988,1950,937,2970,thousand tons
isr,1988,0,59.6,189,thousand tons
ita,1988,9470,7990,6280,thousand tons
jor,1988,0,6.39,20.2,thousand tons
jpn,1988,67300,9520,17700,thousand tons
kaz,1988,4230,0,0,thousand tons
ken,1988,0,4.26,13.5,thousand tons
kor,1988,21900,8180,8180,thousand tons
lby,1988,0,225,712,thousand tons
lka,1988,0,6.39,20.2,thousand tons
lux,1988,0,1280,1000,thousand tons
lva,1988,440,0.994,0.781,thousand tons
mar,1988,4.44,0,0,thousand tons
mda,1988,0,258,548,thousand tons
mex,1988,4650,2210,7010,thousand tons
mkd,1988,0.0887,45.7,97.1,thousand tons
mmr,1988,0,5.32,16.9,thousand tons
mys,1988,0,777,2460,thousand tons
nld,1988,4890,79,62.1,thousand tons
nor,1988,0,337,265,thousand tons
nzl,1988,490,31.9,101,thousand tons
pak,1988,754,21.3,67.4,thousand tons
per,1988,255,98.9,313,thousand tons
phl,1988,0,90.7,287,thousand tons
pol,1988,6400,1640,1280,thousand tons
prk,1988,1330,0,0,thousand tons
prt,1988,364,337,265,thousand tons
pry,1988,68.3,0,0,thousand tons
qat,1988,0,155,492,thousand tons
rom,1988,2970,659,518,thousand tons
rus,1988,44800,2450,5200,thousand tons
sau,1988,0,635,2010,thousand tons
sgp,1988,0,128,407,thousand tons
slv,1988,0.444,8.63,27.3,thousand tons
svk,1988,3060,142,112,thousand tons
svn,1988,0,258,203,thousand tons
swe,1988,2870,990,778,thousand tons
syr,1988,0,14.9,47.2,thousand tons
tha,1988,0,447,1420,thousand tons
tto,1988,0,158,500,thousand tons
tun,1988,151,12.6,39.8,thousand tons
tur,1988,4640,2580,5490,thousand tons
twn,1988,8850,1470,4670,thousand tons
ukr,1988,27300,280,594,thousand tons
ury,1988,0,8.09,25.6,thousand tons
usa,1988,47900,31800,10600,thousand tons
uzb,1988,101,62.4,198,thousand tons
ven,1988,0.355,817,2590,thousand tons
vnm,1988,0,65.2,206,thousand tons
zaf,1988,4150,811,2570,thousand tons
alb,1989,0,1.44,3.06,thousand tons
are,1989,0,19.4,61.6,thousand tons
arg,1989,2000,486,1540,thousand tons
aus,1989,5430,238,754,thousand tons
aut,1989,4650,274,215,thousand tons
bel,1989,8020,1370,1080,thousand tons
bgr,1989,1280,303,238,thousand tons
bih,1989,48.2,6.77,14.4,thousand tons
blr,1989,0,433,919,thousand tons
bra,1989,19900,1240,3930,thousand tons
can,1989,8650,4720,1570,thousand tons
che,1989,0,504,396,thousand tons
chl,1989,1020,46.8,148,thousand tons
chn,1989,97500,17300,909,thousand tons
col,1989,252,82.2,260,thousand tons
cub,1989,0,72.6,230,thousand tons
cze,1989,5120,264,207,thousand tons
deu,1989,29800,6720,5280,thousand tons
dnk,1989,0,404,317,thousand tons
dom,1989,0.09,8.4,26.6,thousand tons
dza,1989,677,19.4,61.6,thousand tons
ecu,1989,0,12.5,39.7,thousand tons
egy,1989,1060,359,1140,thousand tons
esp,1989,3800,5880,4620,thousand tons
est,1989,0.9,0,0,thousand tons
fin,1989,2820,486,382,thousand tons
fra,1989,11300,4260,3340,thousand tons
gbr,1989,10400,1750,1370,thousand tons
gha,1989,0,5.4,17.1,thousand tons
grc,1989,0,548,431,thousand tons
gtm,1989,0.45,36,114,thousand tons
hrv,1989,0,20.5,43.5,thousand tons
hun,1989,1470,117,92.3,thousand tons
idn,1989,0,615,1950,thousand tons
ind,1989,15500,2090,6630,thousand tons
irl,1989,0,181,143,thousand tons
irn,1989,1980,950,3010,thousand tons
isr,1989,0,60.5,192,thousand tons
ita,1989,9610,8110,6370,thousand tons
jor,1989,0,6.48,20.5,thousand tons
jpn,1989,68200,9660,17900,thousand tons
kaz,1989,4290,0,0,thousand tons
ken,1989,0,4.32,13.7,thousand tons
kor,1989,22200,8300,8300,thousand tons
lby,1989,0,228,722,thousand tons
lka,1989,0,6.48,20.5,thousand tons
lux,1989,0,1300,1020,thousand tons
lva,1989,446,1.01,0.792,thousand tons
mar,1989,4.5,0,0,thousand tons
mda,1989,0,262,556,thousand tons
mex,1989,4710,2250,7110,thousand tons
mkd,1989,0.09,46.3,98.5,thousand tons
mmr,1989,0,5.4,17.1,thousand tons
mys,1989,0,789,2500,thousand tons
nld,1989,4960,80.2,63,thousand tons
nor,1989,0,342,269,thousand tons
nzl,1989,497,32.3,102,thousand tons
pak,1989,765,21.6,68.4,thousand tons
per,1989,258,100,318,thousand tons
phl,1989,0,92,291,thousand tons
pol,1989,6490,1660,1300,thousand tons
prk,1989,1350,0,0,thousand tons
prt,1989,369,342,269,thousand tons
pry,1989,69.3,0,0,thousand tons
qat,1989,0,157,499,thousand tons
rom,1989,3010,668,525,thousand tons
rus,1989,45500,2480,5270,thousand tons
sau,1989,0,644,2040,thousand tons
sgp,1989,0,130,413,thousand tons
slv,1989,0.45,8.75,27.7,thousand tons
svk,1989,3100,144,113,thousand tons
svn,1989,0,262,206,thousand tons
swe,1989,2910,1000,789,thousand tons
syr,1989,0,15.1,47.9,thousand tons
tha,1989,0,454,1440,thousand tons
tto,1989,0,160,507,thousand tons
tun,1989,153,12.7,40.4,thousand tons
tur,1989,4710,2620,5570,thousand tons
twn,1989,8980,1500,4740,thousand tons
ukr,1989,27700,284,603,thousand tons
ury,1989,0,8.21,26,thousand tons
usa,1989,48600,32300,10800,thousand tons
uzb,1989,103,63.3,200,thousand tons
ven,1989,0.36,828,2620,thousand tons
vnm,1989,0,66.1,209,thousand tons
zaf,1989,4210,822,2600,thousand tons
alb,1990,0,1.46,3.1,thousand tons
are,1990,0,19.7,62.4,thousand tons
arg,1990,2030,493,1560,thousand tons
aus,1990,5500,241,765,thousand tons
aut,1990,4710,278,218,thousand tons
bel,1990,8130,1390,1090,thousand tons
bgr,1990,1300,308,242,thousand tons
bih,1990,48.8,6.86,14.6,thousand tons
blr,1990,0,439,932,thousand tons
bra,1990,20200,1260,3990,thousand tons
can,1990,8770,4780,1590,thousand tons
che,1990,0,511,402,thousand tons
chl,1990,1040,47.4,150,thousand tons
chn,1990,98900,17500,922,thousand tons
col,1990,255,83.3,264,thousand tons
cub,1990,0,73.6,233,thousand tons
cze,1990,5200,267,210,thousand tons
deu,1990,30200,6810,5350,thousand tons
dnk,1990,0,409,322,thousand tons
dom,1990,0.0913,8.52,27,thousand tons
dza,1990,686,19.7,62.4,thousand tons
ecu,1990,0,12.7,40.2,thousand tons
egy,1990,1080,364,1150,thousand tons
esp,1990,3850,5960,4680,thousand tons
est,1990,0.913,0,0,thousand tons
fin,1990,2860,493,388,thousand tons
fra,1990,11400,4320,3390,thousand tons
gbr,1990,10500,1770,1390,thousand tons
gha,1990,0,5.48,17.3,thousand tons
grc,1990,0,556,437,thousand tons
gtm,1990,0.456,36.5,116,thousand tons
hrv,1990,0,20.7,44.1,thousand tons
hun,1990,1500,119,93.6,thousand tons
idn,1990,0,624,1980,thousand tons
ind,1990,15700,2120,6720,thousand tons
irl,1990,0,184,145,thousand tons
irn,1990,2010,964,3050,thousand tons
isr,1990,0,61.3,194,thousand tons
ita,1990,9750,8220,6460,thousand tons
jor,1990,0,6.57,20.8,thousand tons
jpn,1990,69200,9800,18200,thousand tons
kaz,1990,4350,0,0,thousand tons
ken,1990,0,4.38,13.9,thousand tons
kor,1990,22500,8420,8420,thousand tons
lby,1990,0,231,732,thousand tons
lka,1990,0,6.57,20.8,thousand tons
lux,1990,0,1310,1030,thousand tons
lva,1990,453,1.02,0.803,thousand tons
mar,1990,4.56,0,0,thousand tons
mda,1990,0,265,564,thousand tons
mex,1990,4780,2280,7210,thousand tons
mkd,1990,0.0913,47,99.9,thousand tons
mmr,1990,0,5.48,17.3,thousand tons
mys,1990,0,800,2530,thousand tons
nld,1990,5030,81.3,63.9,thousand tons
nor,1990,0,347,273,thousand tons
nzl,1990,504,32.8,104,thousand tons
pak,1990,776,21.9,69.4,thousand tons
per,1990,262,102,322,thousand tons
phl,1990,0,93.3,296,thousand tons
pol,1990,6580,1680,1320,thousand tons
prk,1990,1370,0,0,thousand tons
prt,1990,374,347,272,thousand tons
pry,1990,70.3,0,0,thousand tons
qat,1990,0,160,506,thousand tons
rom,1990,3050,678,532,thousand tons
rus,1990,46100,2520,5340,thousand tons
sau,1990,0,653,2070,thousand tons
sgp,1990,0,132,418,thousand tons
slv,1990,0.456,8.87,28.1,thousand tons
svk,1990,3150,146,115,thousand tons
svn,1990,0,265,208,thousand tons
swe,1990,2950,1020,800,thousand tons
syr,1990,0,15.3,48.6,thousand tons
tha,1990,0,460,1460,thousand tons
tto,1990,0,162,514,thousand tons
tun,1990,155,12.9,40.9,thousand tons
tur,1990,4770,2660,5650,thousand tons
twn,1990,9100,1520,4800,thousand tons
ukr,1990,28100,288,611,thousand tons
ury,1990,0,8.33,26.4,thousand tons
usa,1990,49300,32800,10900,thousand tons
uzb,1990,104,64.2,203,thousand tons
ven,1990,0.365,840,2660,thousand tons
vnm,1990,0,67,212,thousand tons
zaf,1990,4270,834,2640,thousand tons
alb,1991,0,1.45,3.09,thousand tons
are,1991,0,19.6,62.1,thousand tons
arg,1991,2020,490,1550,thousand tons
aus,1991,5470,240,761,thousand tons
aut,1991,4690,276,217,thousand tons
bel,1991,8090,1390,1090,thousand tons
bgr,1991,1290,306,241,thousand tons
bih,1991,48.6,6.83,14.5,thousand tons
blr,1991,0,437,928,thousand tons
bra,1991,20100,1250,3970,thousand tons
can,1991,8730,4760,1590,thousand tons
che,1991,0,509,400,thousand tons
chl,1991,1030,47.2,149,thousand tons
chn,1991,98400,17400,917,thousand tons
col,1991,254,82.9,263,thousand tons
cub,1991,0,73.3,232,thousand tons
cze,1991,5170,266,209,thousand tons
deu,1991,30000,6780,5330,thousand tons
dnk,1991,0,407,320,thousand tons
dom,1991,0.0908,8.48,26.9,thousand tons
dza,1991,683,19.6,62.1,thousand tons
ecu,1991,0,12.6,40,thousand tons
egy,1991,1070,362,1150,thousand tons
esp,1991,3830,5930,4660,thousand tons
est,1991,0.908,0,0,thousand tons
fin,1991,2840,491,386,thousand tons
fra,1991,11400,4300,3370,thousand tons
gbr,1991,10500,1760,1390,thousand tons
gha,1991,0,5.45,17.3,thousand tons
grc,1991,0,553,435,thousand tons
gtm,1991,0.454,36.3,115,thousand tons
hrv,1991,0,20.6,43.9,thousand tons
hun,1991,1490,119,93.1,thousand tons
idn,1991,0,621,1970,thousand tons
ind,1991,15700,2110,6690,thousand tons
irl,1991,0,183,144,thousand tons
irn,1991,2000,959,3040,thousand tons
isr,1991,0,61,193,thousand tons
ita,1991,9700,8180,6430,thousand tons
jor,1991,0,6.54,20.7,thousand tons
jpn,1991,68800,9750,18100,thousand tons
kaz,1991,4330,0,0,thousand tons
ken,1991,0,4.36,13.8,thousand tons
kor,1991,22400,8380,8380,thousand tons
lby,1991,0,230,728,thousand tons
lka,1991,0,6.54,20.7,thousand tons
lux,1991,0,1310,1030,thousand tons
lva,1991,451,1.02,0.799,thousand tons
mar,1991,4.54,0,0,thousand tons
mda,1991,0,264,561,thousand tons
mex,1991,4760,2270,7180,thousand tons
mkd,1991,0.0908,46.8,99.4,thousand tons
mmr,1991,0,5.45,17.3,thousand tons
mys,1991,0,796,2520,thousand tons
nld,1991,5000,80.9,63.6,thousand tons
nor,1991,0,345,271,thousand tons
nzl,1991,502,32.6,103,thousand tons
pak,1991,772,21.8,69,thousand tons
per,1991,261,101,320,thousand tons
phl,1991,0,92.9,294,thousand tons
pol,1991,6550,1670,1320,thousand tons
prk,1991,1360,0,0,thousand tons
prt,1991,372,345,271,thousand tons
pry,1991,69.9,0,0,thousand tons
qat,1991,0,159,503,thousand tons
rom,1991,3040,674,530,thousand tons
rus,1991,45900,2500,5320,thousand tons
sau,1991,0,650,2060,thousand tons
sgp,1991,0,131,416,thousand tons
slv,1991,0.454,8.83,28,thousand tons
svk,1991,3130,145,114,thousand tons
svn,1991,0,264,207,thousand tons
swe,1991,2940,1010,796,thousand tons
syr,1991,0,15.3,48.3,thousand tons
tha,1991,0,458,1450,thousand tons
tto,1991,0,162,512,thousand tons
tun,1991,154,12.9,40.7,thousand tons
tur,1991,4750,2640,5620,thousand tons
twn,1991,9060,1510,4780,thousand tons
ukr,1991,28000,286,608,thousand tons
ury,1991,0,8.28,26.2,thousand tons
usa,1991,49000,32600,10900,thousand tons
uzb,1991,104,63.9,202,thousand tons
ven,1991,0.363,836,2650,thousand tons
vnm,1991,0,66.7,211,thousand tons
zaf,1991,4250,830,2630,thousand tons
alb,1992,0,1.45,3.07,thousand tons
are,1992,0,19.5,61.8,thousand tons
arg,1992,2010,488,1550,thousand tons
aus,1992,5450,239,757,thousand tons
aut,1992,4670,275,216,thousand tons
bel,1992,8050,1380,1080,thousand tons
bgr,1992,1280,305,239,thousand tons
bih,1992,48.4,6.8,14.4,thousand tons
blr,1992,0,434,923,thousand tons
bra,1992,20000,1250,3950,thousand tons
can,1992,8690,4740,1580,thousand tons
che,1992,0,506,398,thousand tons
chl,1992,1030,47,149,thousand tons
chn,1992,97900,17300,913,thousand tons
col,1992,253,82.5,261,thousand tons
cub,1992,0,72.9,231,thousand tons
cze,1992,5150,265,208,thousand tons
deu,1992,29900,6740,5300,thousand tons
dnk,1992,0,405,319,thousand tons
dom,1992,0.0904,8.44,26.7,thousand tons
dza,1992,680,19.5,61.8,thousand tons
ecu,1992,0,12.6,39.8,thousand tons
egy,1992,1060,360,1140,thousand tons
esp,1992,3810,5900,4640,thousand tons
est,1992,0.904,0,0,thousand tons
fin,1992,2830,488,384,thousand tons
fra,1992,11300,4270,3360,thousand tons
gbr,1992,10400,1760,1380,thousand tons
gha,1992,0,5.42,17.2,thousand tons
grc,1992,0,551,433,thousand tons
gtm,1992,0.452,36.1,114,thousand tons
hrv,1992,0,20.5,43.6,thousand tons
hun,1992,1480,118,92.7,thousand tons
idn,1992,0,618,1960,thousand tons
ind,1992,15600,2100,6660,thousand tons
irl,1992,0,182,143,thousand tons
irn,1992,1990,954,3020,thousand tons
isr,1992,0,60.7,192,thousand tons
ita,1992,9650,8140,6400,thousand tons
jor,1992,0,6.51,20.6,thousand tons
jpn,1992,68500,9700,18000,thousand tons
kaz,1992,4310,0,0,thousand tons
ken,1992,0,4.34,13.7,thousand tons
kor,1992,22300,8330,8330,thousand tons
lby,1992,0,229,725,thousand tons
lka,1992,0,6.51,20.6,thousand tons
lux,1992,0,1300,1020,thousand tons
lva,1992,448,1.01,0.795,thousand tons
mar,1992,4.52,0,0,thousand tons
mda,1992,0,263,558,thousand tons
mex,1992,4730,2260,7140,thousand tons
mkd,1992,0.0904,46.5,98.9,thousand tons
mmr,1992,0,5.42,17.2,thousand tons
mys,1992,0,792,2510,thousand tons
nld,1992,4980,80.5,63.2,thousand tons
nor,1992,0,344,270,thousand tons
nzl,1992,499,32.5,103,thousand tons
pak,1992,768,21.7,68.7,thousand tons
per,1992,259,101,319,thousand tons
phl,1992,0,92.4,293,thousand tons
pol,1992,6520,1670,1310,thousand tons
prk,1992,1360,0,0,thousand tons
prt,1992,371,343,270,thousand tons
pry,1992,69.6,0,0,thousand tons
qat,1992,0,158,501,thousand tons
rom,1992,3020,671,527,thousand tons
rus,1992,45700,2490,5290,thousand tons
sau,1992,0,647,2050,thousand tons
sgp,1992,0,131,414,thousand tons
slv,1992,0.452,8.79,27.8,thousand tons
svk,1992,3120,145,114,thousand tons
svn,1992,0,263,206,thousand tons
swe,1992,2920,1010,792,thousand tons
syr,1992,0,15.2,48.1,thousand tons
tha,1992,0,456,1440,thousand tons
tto,1992,0,161,509,thousand tons
tun,1992,154,12.8,40.5,thousand tons
tur,1992,4730,2630,5590,thousand tons
twn,1992,9010,1500,4760,thousand tons
ukr,1992,27800,285,605,thousand tons
ury,1992,0,8.24,26.1,thousand tons
usa,1992,48800,32400,10800,thousand tons
uzb,1992,103,63.6,201,thousand tons
ven,1992,0.362,832,2630,thousand tons
vnm,1992,0,66.4,210,thousand tons
zaf,1992,4230,826,2610,thousand tons
alb,1993,0,1.44,3.06,thousand tons
are,1993,0,19.4,61.5,thousand tons
arg,1993,2000,485,1540,thousand tons
aus,1993,5420,238,753,thousand tons
aut,1993,4640,274,215,thousand tons
bel,1993,8010,1370,1080,thousand tons
bgr,1993,1280,303,238,thousand tons
bih,1993,48.1,6.76,14.4,thousand tons
blr,1993,0,432,919,thousand tons
bra,1993,19900,1240,3930,thousand tons
can,1993,8640,4710,1570,thousand tons
che,1993,0,504,396,thousand tons
chl,1993,1020,46.7,148,thousand tons
chn,1993,97400,17300,908,thousand tons
col,1993,251,82.1,260,thousand tons
cub,1993,0,72.5,230,thousand tons
cze,1993,5120,263,207,thousand tons
deu,1993,29700,6710,5270,thousand tons
dnk,1993,0,403,317,thousand tons
dom,1993,0.0899,8.4,26.6,thousand tons
dza,1993,676,19.4,61.5,thousand tons
ecu,1993,0,12.5,39.6,thousand tons
egy,1993,1060,358,1130,thousand tons
esp,1993,3790,5870,4610,thousand tons
est,1993,0.899,0,0,thousand tons
fin,1993,2820,486,382,thousand tons
fra,1993,11300,4250,3340,thousand tons
gbr,1993,10400,1750,1370,thousand tons
gha,1993,0,5.4,17.1,thousand tons
grc,1993,0,548,431,thousand tons
gtm,1993,0.45,35.9,114,thousand tons
hrv,1993,0,20.4,43.4,thousand tons
hun,1993,1470,117,92.2,thousand tons
idn,1993,0,615,1950,thousand tons
ind,1993,15500,2090,6620,thousand tons
irl,1993,0,181,142,thousand tons
irn,1993,1980,950,3010,thousand tons
isr,1993,0,60.4,191,thousand tons
ita,1993,9600,8100,6370,thousand tons
jor,1993,0,6.48,20.5,thousand tons
jpn,1993,68200,9650,17900,thousand tons
kaz,1993,4290,0,0,thousand tons
ken,1993,0,4.32,13.7,thousand tons
kor,1993,22200,8290,8290,thousand tons
lby,1993,0,228,721,thousand tons
lka,1993,0,6.48,20.5,thousand tons
lux,1993,0,1300,1020,thousand tons
lva,1993,446,1.01,0.792,thousand tons
mar,1993,4.5,0,0,thousand tons
mda,1993,0,261,555,thousand tons
mex,1993,4710,2240,7110,thousand tons
mkd,1993,0.0899,46.3,98.4,thousand tons
mmr,1993,0,5.4,17.1,thousand tons
mys,1993,0,788,2500,thousand tons
nld,1993,4950,80.1,62.9,thousand tons
nor,1993,0,342,269,thousand tons
nzl,1993,497,32.3,102,thousand tons
pak,1993,765,21.6,68.4,thousand tons
per,1993,258,100,317,thousand tons
phl,1993,0,92,291,thousand tons
pol,1993,6480,1660,1300,thousand tons
prk,1993,1350,0,0,thousand tons
prt,1993,369,342,268,thousand tons
pry,1993,69.3,0,0,thousand tons
qat,1993,0,157,498,thousand tons
rom,1993,3010,668,525,thousand tons
rus,1993,45400,2480,5270,thousand tons
sau,1993,0,644,2040,thousand tons
sgp,1993,0,130,412,thousand tons
slv,1993,0.45,8.74,27.7,thousand tons
svk,1993,3100,144,113,thousand tons
svn,1993,0,261,205,thousand tons
swe,1993,2910,1000,788,thousand tons
syr,1993,0,15.1,47.9,thousand tons
tha,1993,0,453,1440,thousand tons
tto,1993,0,160,507,thousand tons
tun,1993,153,12.7,40.3,thousand tons
tur,1993,4700,2620,5560,thousand tons
twn,1993,8970,1490,4730,thousand tons
ukr,1993,27700,284,602,thousand tons
ury,1993,0,8.2,26,thousand tons
usa,1993,48500,32300,10800,thousand tons
uzb,1993,103,63.2,200,thousand tons
ven,1993,0.36,828,2620,thousand tons
vnm,1993,0,66.1,209,thousand tons
zaf,1993,4200,822,2600,thousand tons
alb,1994,0,1.43,3.04,thousand tons
are,1994,0,19.3,61.2,thousand tons
arg,1994,1990,483,1530,thousand tons
aus,1994,5390,237,750,thousand tons
aut,1994,4620,272,214,thousand tons
bel,1994,7970,1370,1070,thousand tons
bgr,1994,1270,302,237,thousand tons
bih,1994,47.9,6.73,14.3,thousand tons
blr,1994,0,430,914,thousand tons
bra,1994,19800,1230,3910,thousand tons
can,1994,8600,4690,1560,thousand tons
che,1994,0,501,394,thousand tons
chl,1994,1020,46.5,147,thousand tons
chn,1994,96900,17200,904,thousand tons
col,1994,250,81.7,259,thousand tons
cub,1994,0,72.2,229,thousand tons
cze,1994,5100,262,206,thousand tons
deu,1994,29600,6680,5250,thousand tons
dnk,1994,0,401,315,thousand tons
dom,1994,0.0895,8.36,26.5,thousand tons
dza,1994,673,19.3,61.2,thousand tons
ecu,1994,0,12.5,39.5,thousand tons
egy,1994,1050,357,1130,thousand tons
esp,1994,3770,5840,4590,thousand tons
est,1994,0.895,0,0,thousand tons
fin,1994,2800,484,380,thousand tons
fra,1994,11200,4230,3320,thousand tons
gbr,1994,10300,1740,1370,thousand tons
gha,1994,0,5.37,17,thousand tons
grc,1994,0,545,428,thousand tons
gtm,1994,0.447,35.8,113,thousand tons
hrv,1994,0,20.3,43.2,thousand tons
hun,1994,1470,117,91.8,thousand tons
idn,1994,0,612,1940,thousand tons
ind,1994,15400,2080,6590,thousand tons
irl,1994,0,180,142,thousand tons
irn,1994,1970,945,2990,thousand tons
isr,1994,0,60.1,190,thousand tons
ita,1994,9550,8060,6330,thousand tons
jor,1994,0,6.44,20.4,thousand tons
jpn,1994,67800,9600,17800,thousand tons
kaz,1994,4270,0,0,thousand tons
ken,1994,0,4.3,13.6,thousand tons
kor,1994,22100,8250,8250,thousand tons
lby,1994,0,227,718,thousand tons
lka,1994,0,6.44,20.4,thousand tons
lux,1994,0,1290,1010,thousand tons
lva,1994,444,1,0.788,thousand tons
mar,1994,4.47,0,0,thousand tons
mda,1994,0,260,553,thousand tons
mex,1994,4690,2230,7070,thousand tons
mkd,1994,0.0895,46.1,97.9,thousand tons
mmr,1994,0,5.37,17,thousand tons
mys,1994,0,784,2480,thousand tons
nld,1994,4930,79.7,62.6,thousand tons
nor,1994,0,340,267,thousand tons
nzl,1994,494,32.1,102,thousand tons
