# File: WSA_steel_trade_1970_2018.csv
# Title: Steel imports and exports by country
# Units: thousand tons
# Description: Imports and exports of semi-finished and finished steel products (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2009 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nicaragua,Imports,,,,,,,,,,,,,,,,,,,,107,110,116,121,127,134,140,148,155,150,140,170,175,180,200,220,230,130,100,95,77,52,72,95,73,112,171,223,160,130,108.08,102.12,215.68
Nigeria,Imports,469,392,419,515,650,1030,988,1330,1024,3346,3814,3869,3342,1527,1227,2153,2160,2423,171,265,328,473,851,428,330,291,307,521,456,830,908,1440,1296,1600,1251,1627,1180,1180,1641,1783,1341,1762,1753,2193,1955,1677,1209,1022,1497,1508.74,1484.93,1310.82
North Korea,Imports,37,9,27,112,179,35,22,13,25,,,,,,,,,,,82,100,100,98,334,61,62,50,50,50,50,50,50,50,50,50,50,60,53,59,93,95,114,124,133,175,234,254,179,3,0.15,0.00,0.01
Norway,Imports,1223,1107,1158,1326,1705,1397,1260,1414,1079,1059,1340,1135,1251,1037,1140,1163,1184,1103,1055,1090,1280,1170,1242,1483,1525,1630,1521,1969,2102,1305,1264,1235,1209,1167,1563,2031,1554,1421,1357,960,853,1031,1004,954,1419,1000,1001,1139,1101,1073.68,1058.59,945.28
Oman,Imports,,,,,,,,,,81,100,194,261,256,387,452,246,250,250,148,203,249,256,303,261,220,103,323,190,131,170,377,227,234,416,516,508,508,802,426,496,689,862,688,968,1182,1768,1538,1734,1380.20,897.99,854.68
Other Africa,Imports,1292,718,682,857,874,593,766,1063,797,845,900,950,500,750,1000,1000,800,600,600,440,378,728,519,788,735,848,807,1099,1233,994,1027,1162,1709,1540,2327,1864,2095,1432,2321,3293,2975,3541,4203,4701,4973,5219,4496,3867,4173,,,
Other Asia,Imports,519,265,100,155,100,297,478,545,645,1075,1020,910,850,800,950,980,1000,1250,1300,771,476,132,310,270,361,400,400,182,120,362,339,374,759,752,779,900,523,673,676,1584,1815,4367,3071,2265,2769,2576,3478,4478,4965,,,
Other C.I.S.,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,Imports,,,,,,,,,,194,146,132,160,149,165,167,225,197,200,63,87,77,77,68,67,94,97,114,124,136,227,250,173,179,200,200,149,140,178,195,3020,242,121,127,123,205,120,151,132,,,
Other Middle East,Imports,313,151,519,484,594,712,1419,1059,744,1200,1500,1700,1500,2500,2500,2500,1500,1000,1000,97,24,25,250,1481,533,918,103,108,127,395,367,578,688,646,855,1081,500,500,500,0,1,0,0,0,0,3,0,0,0,,,
Other North America,Imports,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,200,200,200,200,200,,,,,,,,,,,993,653,188,163,195,179,258,277,312,279,,,
Other Oceania,Imports,,,,,,,,,,,,,,,,,,,,109,143,89,91,150,94,85,68,99,1764,74,80,68,167,122,107,93,103,111,165,118,141,132,135,126,130,176,207,190,178,,,
Other South America,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,23,72,78,86,86,110,82,90,110,,,
Pakistan,Imports,522,507,280,277,335,405,368,531,451,600,654,551,1110,1115,768,775,700,600,600,494,429,414,554,544,518,709,589,523,611,653,667,744,882,1167,1287,2063,1826,1826,1230,1739,1695,1591,1953,2062,2477,3411,4358,3917,3474,2689.51,2393.43,3397.54
Panama,Imports,,,,,,,,,,,,,,,,,,,,38,57,91,130,134,88,107,329,346,180,231,183,169,214,261,259,239,403,403,347,354,439,542,442,585,725,590,580,566,526,450.00,1667.64,336.68
Paraguay,Imports,,,,,,,,,,,,,,,,,,,,43,45,30,34,41,65,62,74,44,50,54,85,71,75,75,80,80,110,141,168,110,196,272,264,339,390,303,328,371,474,337.38,214.20,279.63
Peru,Imports,174,206,237,184,214,290,118,121,90,55,144,330,158,49,118,135,59,162,188,81,138,131,146,204,283,580,310,530,630,278,370,400,687,491,395,548,928,1049,1366,996,1779,1862,1573,1880,2015,2209,2247,1859,2176,2511.83,1680.77,2731.77
Philippines,Imports,869,457,883,626,874,596,815,1012,992,1180,904,784,1193,1218,520,346,549,1070,1000,1280,1444,1446,2070,2349,2584,3669,3961,2788,2086,3131,2759,2800,3336,3242,2864,3042,3066,3559,3003,3211,4050,3927,4384,4972,6805,7282,7248,7308,9104,7214.47,6660.61,7193.97
Poland,Imports,1487,1351,1875,2783,3709,3806,3715,2414,2124,1974,1720,1396,1330,1240,1295,1363,1324,1219,1271,1056,641,198,397,662,899,1001,1197,1473,1939,2270,1987,2503,3137,3499,4166,4943,6447,8039,8041,5359,6386,7551,7845,7993,9125,9214,10105,10652,12061,10959.51,11183.16,13697.51
Portugal,Imports,439,394,467,570,779,497,589,768,761,421,591,624,979,652,642,695,672,841,944,2357,1956,1991,2257,1256,1248,1879,1689,2030,2195,2641,2883,3034,3177,3005,3328,2755,3367,3460,2966,2226,2351,2026,1900,2472,2521,2740,2803,3066,3140,3201.52,2833.77,3550.37
Qatar,Imports,,,,,,,,,,70,58,101,108,70,39,104,98,100,100,115,58,59,67,69,78,80,100,100,100,20,40,50,50,50,50,50,586,586,992,287,136,239,319,215,272,300,443,473,732,649.92,840.63,790.18
Romania,Imports,1365,1456,1396,1493,1511,1853,1985,1563,2133,1677,1277,977,915,978,683,840,1335,1199,1271,619,568,232,212,270,422,466,583,578,630,533,712,1026,1339,1393,1519,1645,2436,3550,3685,2095,2770,3374,2930,2784,3216,3454,3511,3833,4102,4210.23,4235.69,4674.79
Russia,Imports,1620,1767,2121,2706,4032,3773,4295,4280,4280,5196,5006,4927,5569,5137,5254,5917,5578,5523,5799,5633.2,3899.1,2546,988,2236,3951,3992,3746,3400,900,2786,2910,3089,2119,3319,4125,4562,5824,7293,5725,3586,5229,7199,6897,6571,6442,4364,4448,6505,6375,6815.31,5029.49,4962.72
Saudi Arabia,Imports,172,305,403,585,728,1005,1504,1618,1907,3298,2708,3198,5307,4645,3311,2681,1484,1283,1384,1035,1176,1620,1870,2963,1630,1793,1777,2605,2869,2331,1669,2473,2467,2707,2817,3313,4402,4927,6290,3419,5179,6210,8092,6664,6641,6491,7355,4610,3739,7944.91,7038.55,3879.42
Senegal,Imports,,,,,,,,,,,,,,,,,,,,72,79,47,67,69,57,64,65,48,83,88,74,96,127,130,171,192,206,206,195,267,338,403,368,313,386,419,517,476,593,580.85,610.95,720.74
Serbia,Imports,188,247,212,227,276,359,247,307,312,317,309,320,243,242,243,261,250,239,194,216.2364044,215.4529391,84.45755214,252.4716714,14.85127479,,201.9773371,325.7379603,300.9858357,260.3923513,279.203966,303.9560907,397.0240793,257.4220963,186.1359773,271.2832861,578.2096317,692.0694051,1131,941,774,562,471,618,622,672,665,647,743,884,1151.68,1034.21,1009.90
Singapore,Imports,619,733,763,982,1334,1209,1012,1020,1241,1318,1597,1974,2258,2400,2040,1697,1625,1687,2096,2399,2837,2880,2812,3563,3691,4398,4287,4806,3336,3217,3035,2963,3097,2971,3299,3765,4004,4969,5728,3860,4236,5438,5399,6167,5673,5180,4285,3648,4057,4239.67,3242.36,3366.74
Slovak Republic,Imports,250,325,297,242,238,249,390,228,287,273,155,155,160,231,328,365,401,302,224,135,113,61,,701,613,751,759,728,859,719,740,892,1057,1052,1295,1423,1818,2289,2336,1578,2127,2343,2127,2446,2552,2677,2940,3004,2994,3000.92,3684.42,5514.31
Slovenia,Imports,526,689,592,633,771,1002,691,858,870,885,862,893,679,677,677,728,699,667,541,603.8169123,601.6291699,235.8386346,406,402,497,564,759,613,730,782,837,850,900,873,1096,973,1194,1514,1518,1070,1124,1275,1136,1125,1223,1407,1483,1553,1745,1648.03,1600.90,1867.70
South Africa,Imports,383,908,252,554,1131,1007,261,121,138,94,124,161,168,179,243,125,91,114,191,257,201,188,235,229,333,295,361,418,449,321,343,258,256,327,432,476,848,757,760,635,843,1259,1108,1759,1418,1699,1392,1186,1024,1110.04,1118.81,1711.89
South Korea,Imports,600,791,1136,2115,2192,1677,1700,2515,3530,2795,2137,2115,1345,2144,2934,2632,2909,3761,3379,3832,5630,8583,6142,5354,8440,10771,11126,9474,3578,8878,11449,10835,14196,15647,17720,18842,22421,26180,28560,20340,24779,22828,20402,19033,22408,21674,23285,19323,14928,16352.47,11977.87,14067.28
Spain,Imports,1765,891,1175,1080,1197,1342,2704,1096,764,1058,1762,1138,1500,1081,1133,1452,2588,2432,2695,3169,3453,3378,3567,2823,3663,5348,5557,6693,7791,9205,9390,10006,10422,12130,11761,11302,14214,15020,11444,7040,8630,8449,7329,7401,8127,8885,9391,9948,10779,10341.78,8884.23,10065.82
Sri Lanka,Imports,,,,,,,,,,,,,,,,,,,,40,40,119,113,89,331,128,61,97,234,135,167,142,301,353,394,453,460,460,375,378,466,529,613,586,673,951,1068,1050,996,904.65,808.19,922.53
Sudan,Imports,,,,,,,,,,,,,,,,,,,,20,21,19,38,42,35,42,62,55,398,103,111,221,289,417,622,608,519,519,441,496,422,400,426,387,310,507,576,611,440,462.40,508.84,198.81
Sweden,Imports,1764,1605,1904,2128,2280,2242,2282,1730,1787,2012,1981,1724,1915,1820,1959,1754,1841,1938,2069,2136,2068,1744,1843,1866,2470,2609,2506,2881,3045,3024,3271,2945,3088,3342,3578,3606,3743,4186,4017,2788,3843,4578,3727,3154,3144,3077,3433,3751,4403,3896.03,3194.78,3901.98
Switzerland,Imports,2013,1824,2114,2061,1779,1062,1334,1534,1533,1733,1950,1795,1572,1821,2026,2035,2087,2160,2200,2495,2414,2138,1999,1847,2111,2285,1825,2148,2228,2184,2457,2298,2074,2043,2256,2178,2460,2576,2523,1856,2280,2485,2426,2438,2454,2330,2498,2544,2590,2371.89,2196.32,2578.83
Syria,Imports,206,160,231,174,423,356,690,479,306,839,918,434,768,404,737,980,181,91,100,376,470,654,609,878,937,266,389,400,392,733,1067,1297,1687,1730,1666,2221,2324,2324,2056,2317,1795,1977,638,267,350,325,277,292,288,183.97,349.63,219.00
"Taiwan, China",Imports,645,796,880,1133,1695,938,1352,1653,1906,2957,2455,2266,1665,1341,1507,1441,2371,3533,5318,5942,5683,8651,10841,14775,12820,13539,10596,12180,11168,13188,13008,8329,11015,11100,13745,11078,10608,9246,9250,6535,8499,7552,7521,7764,8859,7510,7862,7425,7694,7317.73,7418.71,9565.53
Tajikistan,Imports,9,10,12,16,23,22,25,25,25,30,29,29,32,30,31,34,32,32,34,32.8,22.7,14.8,,,23,,,,,25,25,25,25,30,30,30,89,107,80,137,105,111,174,245,277,379,309,280,357,351.97,404.36,344.55
Tanzania,Imports,61,55,55,73,89,52,80,71,100,43,68,32,66,70,58,56,42,51,50,56,55,40,58,65,55,56,35,63,60,93,69,120,134,164,169,202,209,209,253,321,332,443,411,726,602,667,551,535,732,945.88,751.05,884.61
Thailand,Imports,543,475,604,690,675,573,891,1059,1212,1842,1344,1369,1847,2457,1733,2145,1769,1808,2462,4011,5500,5945,7098,6673,9443,9727,9961,8076,3661,7181,6475,7214,9783,9816,11138,12537,10763,9803,11835,9027,12281,12498,15183,15866,15081,14628,17605,14486,15468,16745.41,13407.96,15710.83
Togo,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Imports,,,,,,,,,,,,,,,,,,,,80,30,62,54,56,36,66,46,47,260,70,115,142,215,131,284,168,204,204,200,311,145,140,178,193,256,231,222,230,215,212.00,171.39,199.62
Tunisia,Imports,54,85,149,97,111,121,144,221,185,329,367,295,398,428,322,291,283,269,340,353,461,419,667,594,444,517,357,345,465,465,596,553,550,833,940,905,952,952,1278,925,1108,997,810,886,955,1098,1010,1169,1300,1035.03,1047.56,894.02
Turkey,Imports,247,711,505,832,1484,1661,1479,2129,1099,543,706,868,905,1408,2203,3070,2155,1897,1589,2815,2160,2331,2725,5542,3320,3436,3607,4906,5600,4747,7273,5962,6646,8217,8166,9860,12290,13529,13271,10236,10746,10304,11499,14462,13394,18614,17009,15814,14043,12336.97,12928.97,16151.24
Turkmenistan,Imports,14,15,18,23,34,32,36,36,36,43,42,41,47,43,44,49,47,46,48,47.1,32.6,21.3,,,33,,,,,50,80,100,150,200,200,200,177,298,578,758,482,575,1172,1014,1004,798,550,233,234,364.02,492.00,189.81
Uganda,Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Imports,225,245,294,375,559,523,596,594,594,721,694,683,772,713,729,821,774,766,804,781.3,540.8,353.1,1700,1454,548,581,906,608,300,400,450,550,700,831,829,1039,1512,2169,2399,1008,1793,1981,1876,1767,1202,804,1138,1401,1582,1535.35,1315.41,1263.91
United Arab Emirates,Imports,,,,,,,,,,,,,,,,,,,,305,946,414,484,772,1090,1014,870,1023,1353,1837,1736,2222,2875,3696,4581,5422,6745,6745,13628,6030,6818,6115,6242,5590,6647,6608,7422,6501,5747,5440.86,5026.60,4887.31
United Kingdom,Imports,2267,2055,2684,2812,3850,3774,4135,3768,3742,3859,4707,3399,3925,3429,3646,3865,4233,4391,5224,5500,5405,5571,5459,4917,6036,6866,6255,6640,7500,6980,7728,8109,8882,8053,8705,7750,8862,9350,8049,4374,6297,7462,7140,6349,7403,7182,7652,7847,7889,7326.63,5009.29,6492.58
United States,Imports,11845,16305,15662,13403,14154,10767,12642,17163,18755,15561,13767,17744,14853,15111,23284,21613,18384,18681,19280,15938,15800,14589,15674,17904,27526,22432,26649,28471,37948,33276,35224,27955,30289,21631,32752,30187,42192,27683,24637,15342,22510,26590,30886,29812,41369,36485,30913,35366,31726,27116.46,20140.23,29691.52
Uruguay,Imports,,,,,,,,,,,,,,,,,,,,81,68,80,106,126,135,138,105,54,60,111,114,110,80,80,80,80,151,125,147,102,131,195,141,189,212,215,156,177,172,655.27,211.34,243.59
Uzbekistan,Imports,39,43,52,66,98,92,104,104,104,126,122,120,135,125,128,144,136,134,141,136.9,94.7,61.9,,15,96,82,,,,80,100,150,200,250,250,250,437,828,777,871,633,622,819,1160,1252,1160,1127,1727,2000,2239.16,2435.73,2207.83
Venezuela,Imports,543,575,645,838,1174,1311,1579,2514,1671,1242,919,855,932,258,210,151,238,527,389,315,612,971,592,172,392,627,559,323,447,443,647,849,445,1422,123,436,530,668,596,417,471,644,1011,980,897,725,318,128,44,55.90,46.16,48.42
Viet Nam,Imports,,,,,,,,,,,,,,,,,,,,96,100,100,266,558,223,428,1311,1327,1732,2125,2516,3577,4680,4475,4950,4647,4232,8483,7600,9433,9211,7869,7779,9951,12359,16343,19499,16222,14155,15432.27,13927.92,12960.25
Yemen,Imports,,,,,,,,,,,,,,,,,,,,63,52,62,91,47,212,221,193,233,172,200,200,11,200,200,5,2,595,595,626,820,517,355,653,859,899,402,802,893,1018,1336.02,1223.87,1066.78
Zambia,Imports,45,125,77,98,172,49,32,42,24,38,23,12,9,8,11,23,24,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Imports,,,,,,,,,,56,20,50,126,102,62,109,113,80,100,130,191,96,127,68,125,148,150,150,120,,,,,,,,,,,,,,,,,,,,,,,
