# File: Andrew_cement_production.csv
# Title: Andrew historical cement production
# Units: kt cement
# Description: Historical cement production 1880 - 2024 by country, energy use, energy intensity, process-based emissions, energy-use emissions, and total emissions
# Source: 1. annual_cement_production.csv from https://zenodo.org/records/14931651 documented here https://essd.copernicus.org/articles/11/1675/2019/
# Column types: ncccc
# ----------
Year,AFG,ALB,DZA,AND,AGO,AIA,ATA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CAN,CPV,CYM,CAF,TCD,CHL,CHN,CXR,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CUW,CYP,CZE,CSK,PRK,COD,VDR,DNK,DJI,DMA,DOM,East & West Pakistan,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,DEW,FSM,Federation of Malaya-Singapore,FJI,FIN,YMD,DDR,PCZ,YEM (886),FRA,French Equatorial Africa,GUF,French Indo-China,PYF,French West Africa,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRQ,IRL,IRN,ISR,ITA,JAM,JPN,Japan (Excluding The Ruyuku Islands),JOR,KAZ,KEN,KIR,KSV,KWT,Kuwaiti Oil Fires,KGZ,LAO,LVA,LBN,Leeward Islands,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MEX,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,ANT,Netherland Antilles and Aruba,NLD,NCL,NZL,NIC,NER,NGA,NIU,NOR,PSE,OMN,Pacific Islands (Palau),PAK,PLW,PAN,PNG,PRY,Peninsular Malaysia,PER,PHL,BOL,POL,PRT,QAT,CMR,KOR,MDA,SSD,Republic of South Vietnam,SDN (729),REU,Rhodesia-Nyasaland,ROU,RUS,RWA,Rwanda-Urundi,Ryukyu Islands,Sabah,SHN,LCA,SXM,WSM,STP,Sarawak,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA (659),KNA (658),SPM,VCT,SDN (736),SUR,SWZ,SWE,CHE,SYR,TWN,TJK,Tanganyika,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,United Korea,TZA,USA,URY,SUN,UZB,VUT,VEN,VNM,WLF,YEM (887),YUG,SCG,ZMB,Zanzibar,ZWE
1946,,0,117.07803,,,,,,1139.646272,13.275265,0,735.25566,389.797414,26.796369,,0,0,,76.944144,1889.607045,,,,0,0,12.455245,,823.082273,,0,0,,,,1838.090498,,,,,580.851971,205.871585,,330.865047,,,,,,843.700034,264.692037,0,,607.181216,,147.051132,80.878123,,499.973848,,,,,36.762783,588.204528,,,,20.158736,,,,,,,,330.865047,,,,,2117.48935,,,,,,,,16.720999,2595.452478,,,102.935792,,,,29.410226,,,,,,,161.811152,0,1970.485167,0,0,301.45482,44.112656,264.692037,2021.953064,,926.422131,,,213.879277,,,,0,,36.875737,,13.275265,147.051132,,,,,,50.142701,73.525566,,51.584005,,,0,,,,,,,,735.360801,,0,,175.522734,27.572087,0,,,,,,404.390613,,227.929254,7.352557,,0,,433.800839,,,,0,,,,,,257.339481,58.820453,30.094185,1396.985753,323.51249,,,7.408258,28.490008,,,,,,316.093625,2102.961774,,,,,,,0,,,,,,188.714422,,,,344.082554,113.428695,,,1176.409055,2146.946526,,,,,,,,,1463.158762,691.14032,44.11534,0,13.275265,,,,,,0,83.188926,323.51249,36.879947,,,,550.043381,,6683.473945,,,28102,272.044594,3396.881147,197.162276,,124.993462,36.762783,,,,,,,66.173009
1947,,0,124.993462,,,,,,1360.566287,18.788692,0,897.011905,279.397151,37.925322,,0,0,0,108.900255,2610.157591,,,,0,0,26.52345,,911.717018,,0,0,,,,1896.959602,,,,,602.909641,419.050013,,345.57016,,,,,,1570.022815,279.397151,0,,928.058157,,147.051132,116.333784,,632.319867,,,14.705113,,29.503592,647.02498,,,,28.530976,,,,,,,,419.095726,,,,,3852.816528,,,,,,,,23.665493,3073.368657,,,183.813915,,,,29.410226,,,,,,36.762783,205.926106,0,1470.603266,7.352557,0,293.980027,44.11534,330.865047,2756.659752,,1235.229508,,,302.706697,,,,0,,52.19081,,18.788692,169.108802,,,,,,70.967752,88.230679,,108.711431,7.352557,,0,,,,,,,,999.947697,,0,,219.609256,34.600266,0,,,,,,522.074403,,220.576698,14.705113,,0,,470.563622,,,,0,,,,,,257.339481,132.346019,36.762783,1521.979215,426.448283,,,14.76538,41.17561,,,,,,419.095726,2969.669346,,,,,,,0,,,,,,398.17156,,,,524.896354,236.044857,,,1249.934621,2183.709309,,,,,,,,,1551.389442,955.832357,51.467896,191.166471,18.788692,,58.820453,,,,0,117.640906,352.749885,52.196768,,,,777.877489,,7073.103264,,,31995,279.397151,4801.219457,279.046863,,147.024849,36.953264,,,,,,,73.525566
1948,,0,131.744446,,,,,,1249.934621,25.872657,0,1029.357923,720.658365,52.224437,,0,3.597132,0,149.959295,3330.708138,,,,0,0,25.426857,,1110.236046,,0,323.51249,,,,2242.581598,,,,,537.053477,198.549527,,367.62783,,,,,,1595.279593,286.749707,0,,1088.565182,,0,124.993462,,771.852809,,,44.11534,,36.762783,764.665886,,,,39.288109,7.352557,,,,,,,558.794301,,,,,5381.971085,,,,,,,,32.588175,6507.012587,,,278.642023,,,,29.410226,,,,,,51.467896,301.45482,0,1580.799668,36.762783,0,397.038056,66.173009,161.756245,3146.569834,,1860.196819,,,416.83725,,,,0,,71.868491,,25.872657,205.871585,,,,,,97.724969,102.935792,,104.654317,7.352557,,0,,,,,,,,1080.955617,,0,,264.692037,36.762783,0,,,,,,588.158934,,249.820599,14.705113,,0,,529.207555,,,,314.831879,,44.11534,,,,279.557539,117.640906,37.431197,1823.434036,499.973848,,,14.705113,57.872011,,,,,,448.505952,4080.152586,,,,,,,0,,,,,,383.305865,,,,615.196849,228.538183,,,1308.755074,2330.760441,,,,,,,,,1485.216432,1022.005367,51.467896,235.092068,25.872657,,80.878123,,,,0,161.756245,345.57016,71.876697,,,,1070.328964,,8653.959112,,,35210,286.749707,6602.595822,384.256868,,213.25472,95.583236,,,,,,,73.525566
1949,0,0,125.499509,,,,,,1448.453649,31.388759,0,1073.473263,1088.328408,63.358792,,0,4.322438,0,181.930917,2926.184806,,,,0,0,27.476939,,1278.709306,,0,0,,,,2529.215572,,,,,492.621292,660,,477.916179,,,,,,1698.822919,308.807377,0,,1146.928329,,0,147.051132,,831.019238,,,51.467896,,51.467896,889.659348,,,,47.664412,7.352557,,,,,,,654.377537,,,,,6440.839577,,,,,44.11534,,,39.53604,9668.611922,,,330.865047,,,,36.762783,,,,,,58.820453,551.441745,0,2132.241413,0,7.352557,433.800839,58.820453,242.634368,4036.925329,,3279.240241,,,505.707787,,,,0,,87.190998,,31.388759,235.281811,,,,,,118.560128,117.640906,,112.937722,7.352557,,0,,,,,,,,1227.721642,,0,,264.692037,47.056362,0,,,,,,551.441745,,257.171505,14.705113,,0,,595.557084,,,,411.299355,,51.467896,,,,286.749707,198.519028,43.563898,2345.384049,522.031518,0,,22.05767,71.628294,,,,,,558.794301,4938.940081,,,,,,,0,,,,,,414.64482,,,,648.04081,246.205658,,,1360.305228,2249.651845,,,,,,,,,1698.440573,977.890027,58.820453,293.861591,31.388759,,124.993462,,,,0,169.108802,374.980386,87.200952,,,,1297.515696,,9367.157102,,,35939,286.929038,7999.581575,466.181202,,286.786296,154.403688,,,,,,,80.878123
1950,0,14.525783,323.51249,,0,,,,1573.447111,41.281671,0,1279.344848,1286.697404,83.327817,0,0,3.671726,0,239.270759,3558.637392,0,,0,0,0,27.543799,,1389.633196,,0,603.204318,,0,,2654.336024,0,,,,514.678962,1410,,566.146858,,,,0,,970.464313,315.953428,0,0,1242.908441,,0,176.461358,,874.954235,0,,73.525566,,58.820453,1022.005367,0,0,,62.686982,7.058454,0,0,,,,0,743.02401,,,0,,7205.635965,0,0,,,58.820453,,0,51.99676,12484.6411,0,0,397.038056,0,0,0,44.11534,,0,0,0,0,66.173009,801.428669,0,2654.272931,0,66.173009,440.987299,66.173009,382.332943,5006.648484,0,4463.001853,,0,665.093586,0,,,0,,114.671308,,41.281671,264.052685,0,,0,0,,155.927163,132.346019,,106.836388,7.352557,12.853399,0,,,0,,0,,0,1529.331772,0,0,,323.050329,51.259524,0,,,0,,,595.557084,0,257.339481,14.705113,,0,,580.851971,,,,412.451888,,51.467896,0,0,,330.598435,294.102264,36.492468,2514.656523,573.499414,0,0,14.680482,96.063397,0,,0,0,,646.902923,6480.992588,0,,,,,0,0,0,,,,,412.779273,,0,0,691.617623,216.519086,,0,1845.602492,2522.206567,0,,,0,0,,0,0,1948.178466,1081.212796,66.76384,331.185652,41.281671,,169.75922,,0,0,0,169.108802,397.191412,114.6844,,,0,1705.134342,,9911.318856,,0,38724,301.45482,10506.80337,613.10926,,499.973848,147.416023,,0,,,48.65483,,88.070579
1951,0,14.705113,448.505952,,0,,,,1558.741998,48.770996,0,1235.229508,1478.09661,98.445158,0,0,4.513058,0,282.679283,4396.828844,0,,0,0,0,26.247864,,1455.806206,,0,632.036316,,0,,2698.3275,0,,,,698.492877,2490,,646.734835,,,,0,,917.998742,382.332943,0,0,1379.559037,,154.403688,205.871585,,985.242584,0,0,102.935792,,80.878123,1132.293716,0,0,,74.05966,7.352557,0,0,,,,0,831.220539,,,0,,8124.575038,0,0,,,51.467896,,0,61.430017,14080.32473,0,0,433.453798,0,0,0,58.820453,,0,0,0,0,73.525566,948.479801,0,3249.830015,102.935792,73.525566,426.448283,66.173009,441.153396,5580.590456,0,6551.127926,,0,785.754928,22.05767,,,0,,135.474988,,48.770996,300.699295,0,,0,0,,184.215484,132.346019,,101.657297,7.352557,14.06172,0,,,0,,0,,0,1617.562451,0,0,,374.980386,80.878123,14.646527,,,0,,,698.492877,0,161.828814,22.05767,,0,,698.22298,,,,497.953129,,73.525566,0,0,,360.275273,308.807377,36.762783,2691.116441,640.106984,0,0,7.352557,115.682517,0,,0,0,,1139.831822,7639.605621,0,,,,,0,0,0,0,,,,393.351273,,0,0,767.154968,205.817145,,0,1955.890053,2742.806984,66.173009,,,0,0,,0,0,2036.658177,1316.499679,66.173009,389.6855,48.770996,,308.807377,,0,0,0,183.813915,396.895288,135.490455,,,0,2012.919723,,10389.23234,,0,41825,301.45482,12396.41042,724.3396,,617.614754,213.224141,,0,,,56.701193,,100.620222
1952,0,14.562345,485.268735,,0,,,,1551.389442,55.55599,0,1360.22297,1389.633196,112.140796,0,0,4.735647,0,322.005474,4110.079137,0,,0,0,0,29.376706,,1617.324854,,0,676.435207,,0,,2941.022638,0,,,,816.133782,2890,,698.492877,,,,0,,1144.496409,418.851498,0,0,1468.120918,,147.051132,242.208693,,1213.365946,0,0,139.698575,,88.230679,948.479801,0,0,,84.3628,7.352557,0,0,,,,0,779.041316,,,0,,8646.606556,0,0,,,80.878123,,0,69.976128,15102.06069,0,0,595.102807,0,0,0,58.820453,,0,0,0,0,66.173009,1058.76815,0,3595.220934,139.658351,102.935792,463.211065,51.467896,448.505952,6654.063719,73.525566,7117.074861,,0,895.068735,29.410226,,,0,,154.322196,,55.55599,286.749707,0,,0,0,,209.843444,110.331346,,115.479609,0,20.618949,0,,,0,,0,,0,1661.67779,0,0,,433.800839,80.878123,44.11534,,,0,,,816.079136,0,264.692037,22.05767,,0,,705.578573,,,,527.573883,,95.583236,0,7.352557,,367.368389,308.807377,36.762783,2668.978044,727.903103,0,0,36.762783,134.265705,0,,0,0,,1499.921545,8682.917691,0,,0,,,0,0,0,0,,,,439.652763,,0,0,814.060628,237.647223,0,0,2021.953064,2963.080308,58.709471,,,0,0,,0,0,2117.536299,1381.829798,154.403688,448.763123,55.55599,,249.272676,,0,0,0,205.871585,455.858509,154.339814,,,0,2291.183456,,11315.50614,,0,42394,301.45482,14102.20355,825.10934,,838.191452,227.929254,,0,,,83.908209,,148.548989
1953,0,14.705113,515.150711,,29.410226,,,,1654.325234,62.967955,0,1595.603136,1396.985753,127.101983,0,0,5.191492,0,364.965613,4624.758098,0,,0,0,0,29.472902,,2029.01092,,0,698.492877,,0,,3529.146661,0,,,,764.665886,3880,,874.954235,,,,0,,896.125627,404.390613,0,0,1541.730205,,301.45482,249.587584,,1257.287178,0,0,131.567513,,88.230679,1095.530933,36.762783,0,,95.618005,7.352557,0,0,,,,0,934.226879,,,0,,9308.336649,0,0,,,58.820453,,0,79.311945,18109.4533,0,0,743.165312,0,0,0,58.820453,,0,0,0,0,66.313504,1058.646059,0,3838.034543,147.092334,176.205987,470.563622,66.236393,463.211065,7830.472774,102.935792,8764.247461,,0,1014.483716,36.762783,,,0,,174.910986,,62.967955,301.45482,0,,0,0,,237.839563,147.051132,,112.269621,0,26.380161,30.657283,,,0,,0,,0,1669.030347,0,0,,610.262197,88.230679,44.11534,,,0,,,860.249122,0,279.277494,22.05767,,0,,757.596967,,,,595.185816,,80.878123,0,0,,448.505952,294.102264,36.762783,3293.945355,772.018442,0,0,44.149805,154.992805,0,,0,0,,1897.186511,9819.293808,0,,0,,,0,0,0,0,,,,439.087802,,0,0,853.776948,222.133933,0,0,2124.888856,3257.489043,66.173009,,,0,0,,0,0,2352.81811,1580.799668,220.576698,522.031518,62.967955,,286.749707,,0,0,0,227.929254,529.384075,174.930955,,,22.05767,2594.856389,,11396.46272,,0,45021,294.102264,15962.40037,935.190736,,985.242584,294.102264,,0,,,108.950749,,192.04818
1954,0,14.705113,661.730094,,43.655805,,,,1705.623112,75.017204,0,1911.664715,1624.915008,151.423616,0,0,5.750539,0,434.803705,4374.771174,0,,0,0,0,31.680737,,2499.560731,,0,779.370999,,0,,3558.637392,0,,,,772.018442,4600,,963.184914,,,,0,,1032.342221,419.095726,0,0,1698.549871,,500.356677,345.57016,,1220.524395,0,0,161.756245,,95.583236,1338.585578,51.467896,0,,113.915014,29.813106,0,0,,,,0,1036.295796,,,0,,9742.137488,0,0,,,80.878123,,0,94.488703,19182.82016,0,0,852.896565,0,0,0,58.820453,,0,0,0,0,102.935792,948.581986,0,4470.35441,147.051132,198.28071,595.797131,65.941635,566.146858,8756.401113,95.583236,10675.91218,,66.173009,1208.610516,73.525566,,,0,,208.381123,,75.017204,338.217603,0,,0,0,,283.351415,154.403688,0,121.84931,0,32.221183,90.370212,,,0,,0,,0,1749.90847,0,0,,661.730094,102.606924,58.820453,,,0,,,970.537471,0,323.51249,22.05767,,0,,772.018442,,,,677.944965,,73.525566,0,7.352557,,484.983786,308.807377,29.410226,3404.149189,779.370999,0,0,58.820453,187.995229,0,,0,0,,1602.857338,11672.06844,0,,0,,,0,0,0,0,,,,473.60787,,0,0,938.626352,243.800807,0,0,2161.544478,3808.975503,80.878123,,,0,0,,0,0,2463.106459,1815.553548,251.579198,536.433733,75.017204,,383.016902,,0,0,22.05767,287.498401,706.037971,208.404914,,,44.11534,3089.014994,,12153.77605,,0,46434,294.102264,18991.65369,1114.144406,,1213.085034,257.339481,,0,,,133.778774,,235.485442
1955,0,44.11534,676.435207,,73.525566,,,,1867.549375,88.930327,0,1992.542837,1860.196819,179.507513,0,0,5.724517,0,515.444906,4690.744367,0,,0,0,0,35.45467,,2771.61546,,0,808.781225,,0,0,3992.438231,0,,,,801.428669,4500,,1044.063036,,,,0,,1217.499649,433.800839,0,0,1918.35124,,360.275273,404.390613,,1257.287178,0,0,235.281811,,147.051132,1367.575527,58.820453,0,,135.042349,29.410226,0,0,,,,0,1044.063036,,,0,,10617.09172,0,0,,0,132.346019,,0,112.013123,21432.811,0,0,1132.293716,0,0,0,80.878123,,0,0,29.410226,0,117.412032,1176.409055,0,4558.585089,147.051132,316.442724,669.08265,132.346019,661.730094,10661.20706,110.288349,10565.62383,,88.230679,1432.766387,132.346019,,,0,,247.028687,0,88.930327,455.858509,0,,0,0,,335.903402,154.460939,0,137.473664,0,40.203865,112.500832,,,0,,0,,0,2014.600507,0,0,,727.903103,140.072101,58.820453,,,0,,,1102.817238,0,411.743169,29.410226,,0,,801.428669,,,0,687.188165,,73.525566,0,14.705113,,544.089188,396.818334,36.762783,3815.886213,778.929429,0,7.352557,58.820453,226.815284,0,,66.56955,0,,1933.914986,13805.86189,0,,0,,,0,0,0,0,,,,530.482632,,0,0,1059.623316,277.292975,0,0,2338.112997,4330.655834,73.363971,,,0,0,,0,0,2551.576207,2117.536299,264.692037,588.204528,88.930327,,382.332943,,0,0,125.161917,382.332943,823.707885,247.05689,,,51.467896,3659.10661,,12720.00373,,0,52994,264.692037,22484.11807,1320.780048,,1279.344848,301.45482,,0,,,165.806808,,292.555726
1956,0,66.173009,653.898139,,88.230679,,,,2066.068403,98.453863,0,2139.593969,1933.97355,198.730945,0,0,6.684141,0,570.643821,4661.520881,0,,0,0,0,34.96007,,3271.887685,,0,860.006182,,0,0,4558.585089,0,0,,,772.257531,6390,,1220.879302,,,,0,,1231.707186,595.557084,0,36.762783,2090.226713,,595.557084,455.858509,,1183.761612,0,0,249.986924,,154.403688,1352.870413,66.173009,0,,149.504013,29.410226,0,0,,,,0,963.184914,,,0,,11440.57806,0,0,,0,146.658996,,0,124.008591,22469.52039,0,0,1235.949339,0,0,0,80.878123,,0,0,44.11534,0,117.640906,992.485498,0,5007.091041,147.051132,492.621292,713.437238,220.576698,610.262197,11337.64227,132.346019,13021.37773,,80.878123,1586.201119,183.813915,,,0,,273.482951,0,98.453863,485.268735,0,,0,0,,371.875245,161.756245,0,136.011574,0,46.073294,104.768781,,,0,,0,,0,2279.292544,0,0,,631.66257,154.768709,36.762783,,,0,,,1257.287178,0,448.505952,44.11534,,0,,897.011905,,,0,778.535686,,73.525566,0,14.705113,,551.441745,434.055119,29.507935,4036.553571,1022.005367,0,14.705113,44.11534,255.470056,0,,66.607042,0,,2095.47863,15250.12749,0,,0,,,0,0,0,0,,,,524.697339,,0,0,1151.2208,275.328825,0,0,2477.811573,4727.693891,88.230679,,,0,0,,0,0,2492.516686,2382.228337,323.51249,588.204528,98.453863,,396.483534,,0,0,139.521068,360.275273,970.537471,273.514175,,,58.820453,4047.851671,,12969.90983,,0,56153,338.525915,24858.99385,1462.222181,,1448.372023,198.519028,,0,,,196.974603,,343.531802
1957,0,73.525566,713.19799,,132.346019,,,0,2367.523224,114.592068,0,2323.407884,2132.241413,231.306211,0,0,9.27711,0,664.181716,4705.814884,0,,0,0,0,45.196082,,3396.881147,,0,882.306791,,0,0,5485.00722,0,0,,,727.903103,6860,,1227.876951,,,,0,,1488.511131,647.02498,0,66.173009,2445.783324,,897.011905,463.211065,,1161.703942,0,0,279.397151,,154.403688,1463.158762,88.230679,0,,174.010177,22.05767,0,0,,,,0,948.479801,,,0,,12609.63456,0,0,,0,154.403688,,0,144.335636,22623.7101,0,0,1227.876951,0,0,0,95.583236,,0,0,29.410226,0,102.776449,992.59514,0,5690.878805,249.946063,602.909641,522.031518,316.106806,720.550546,11947.90447,147.051132,15175.38126,,110.288349,1846.205535,205.871585,,,0,,318.311299,0,114.592068,558.794301,0,,0,0,,432.831706,191.23112,0,174.185014,0,53.431827,110.173465,,,0,,0,,0,2558.879918,0,0,,506.718829,169.108802,36.762783,,,0,,,1323.535474,0,536.736631,44.11534,,0,,1014.65281,,,0,1085.222221,,80.878123,0,14.705113,,544.089188,507.326405,21.97746,4492.41208,977.890027,0,7.248999,95.583236,302.413042,0,,59.278953,0,,2352.81811,17710.17081,0,,0,,,0,0,0,0,,,,675.564115,,0,0,1322.722741,349.073117,0,0,2529.176115,4970.328258,51.549333,,0,0,0,,0,0,2448.401346,2507.221799,316.159934,602.909641,114.592068,,404.898004,,0,0,132.157223,404.390613,1264.639734,318.34764,,,88.230679,4707.753034,,12153.77605,,0,52574,419.095726,28895.54742,1701.904413,,1750.000609,161.550448,,0,,,229.479349,,399.804693
1958,0,80.878123,845.544008,,169.108802,,,0,2470.459016,132.261629,0,2455.753903,2154.299082,266.972547,0,0,9.108893,0,766.595431,4058.61124,0,0,0,0,0,45.114817,,3786.566646,,0,933.774688,0,0,0,5580.590456,0,0,,,727.903103,9300,,1227.876951,,,,0,0,1425.631191,713.052824,0,80.492989,2745.192224,,1220.524395,389.198393,,1066.266511,0,0,272.044594,,161.756245,1514.626659,88.230679,0,,200.841732,29.410226,0,0,,,,0,926.422131,,,0,,13411.06323,0,0,,0,,,0,166.591516,23241.54397,0,0,1338.1653,0,0,0,117.640906,0,0,0,36.762783,0,154.403688,1301.402517,29.410226,6183.281675,301.504565,669.08265,522.031518,411.743169,713.19799,12823.39475,175.985721,14984.51034,,110.288349,2130.881793,220.576698,,,0,,367.393413,0,132.261629,507.326405,0,,0,0,,499.572331,198.519028,0,172.944833,0,59.079947,110.183011,,,0,,0,,0,2536.632025,0,0,,404.844474,176.461358,36.762783,,,0,,,1367.575527,0,558.794301,36.762783,0,110.288349,,1029.357923,,,0,1079.813415,,66.435601,0,7.352557,,602.909641,639.672424,29.293054,5058.454079,1022.005367,0,7.257069,294.221915,354.876872,0,,88.565287,0,,2573.58414,20395.29221,0,,0,,,0,0,0,0,,,147.051132,673.600296,,0,0,1470.187924,344.230532,0,0,2720.44594,5323.250975,80.726381,,0,0,0,,0,0,2507.440122,2183.709309,389.6855,1014.264649,132.261629,,455.858509,,0,0,146.896341,344.697508,1514.972701,367.435357,,,102.935792,5429.513179,,11852.32123,,0,54831,433.800839,33307.08138,1964.330113,,1617.453634,301.45482,,0,,,273.916447,,465.413663
1959,36.762783,73.525566,955.832357,,154.403688,,,0,2367.523224,154.216566,0,2617.510148,2418.99112,311.288995,0,0,8.164124,0,893.847418,4440.944183,0,0,0,0,0,50.964897,,3838.034543,,0,1433.748536,0,0,0,5698.231361,7.352557,0,0,0,838.191452,12270,,1359.913336,0,0,,0,0,1578.689766,624.967311,0,80.878123,3145.472777,,1926.72505,345.57016,,1389.828754,0,0,191.166471,,154.403688,1786.671253,80.878123,0,,234.180712,22.05767,0,0,,,,0,1169.056499,,,0,,13999.26776,0,0,,0,,0,0,194.245087,27366.3483,0,0,1441.101093,0,0,0,117.640906,0,0,0,36.762783,7.352557,139.698575,1433.623197,80.878123,6933.692378,345.57016,661.730094,624.967311,580.851971,779.370999,14403.65837,198.519028,17263.80289,,110.288349,2484.600238,316.685116,,,0,,428.379351,0,154.216566,742.608216,0,,0,0,,582.499477,191.166471,0,194.662672,0,46.30351,190.94674,,0,0,,0,0,0,2705.740827,0,0,,499.973848,213.224141,36.762783,,,0,,,1602.857338,0,558.794301,36.762783,0,124.865132,,1132.293716,,,0,997.321116,,95.583236,0,14.705113,,580.851971,727.903103,29.410226,5315.898418,1029.357923,0,7.352557,360.275273,420.568614,0,,103.625735,0,,2852.791959,23727.68447,0,,0,,,0,0,0,0,,73.525566,169.108802,761.162411,,0,0,1664.828644,386.232378,0,0,2646.920374,5727.641588,95.75392,,0,0,0,,0,0,2823.381732,2683.683157,449.244842,1066.120706,154.216566,,507.326405,,0,0,176.461358,440.13925,1734.833771,428.428259,,,80.878123,6325.962124,0,12786.09592,,0,59764,419.095726,38784.73604,2290.401598,,1875.00737,382.332943,,0,,,203.090061,,351.14769
1960,36.440302,73.525566,1058.76815,,160.685012,,,0,2639.567818,181.234768,0,2793.971506,2830.734289,365.825736,0,0,9.715262,0,1050.446351,4389.653175,0,0,0,0,0,55.448158,,4470.35441,,0,1588.413477,0,0,0,5249.725409,7.352557,0,0,0,838.191452,15650,,1463.158762,0,0,,0,0,1625.898749,397.144358,0,88.230679,3382.880385,,2286.645101,198.519028,,1440.923661,0,0,169.108802,,198.519028,2044.010733,88.230679,0,,275.208352,29.410226,0,0,,,,0,1257.287178,,,0,,14175.72912,0,0,,0,,0,0,228.276145,29932.39262,0,0,1640.259598,0,0,0,110.288349,0,0,0,51.467896,36.762783,147.233804,1573.574289,73.304103,7845.177887,389.61875,617.614754,742.364738,793.998246,808.781225,16013.86826,213.224141,22535.58596,,161.756245,2919.893487,352.390405,,,0,,503.429912,0,181.234768,854.109789,0,,0,0,,684.551343,213.224141,0,209.986209,0,46.006459,286.499925,,0,0,,0,0,0,3088.07377,0,0,,580.851971,220.576698,44.11534,,,0,,,1801.376366,0,617.614754,29.410226,0,168.926964,,1154.351385,,,0,1152.620556,,110.288349,0,14.705113,,602.639278,794.076112,36.762783,6595.243266,1198.466725,0,0,433.927607,502.201718,0,,118.094373,0,,3051.310987,27822.394,0,,0,,,0,0,0,0,,88.230679,169.108802,827.542495,,0,0,1787.518505,412.819907,0,0,2705.639519,5734.994144,88.230679,,0,0,0,,0,0,2808.676619,3036.605874,485.268735,1183.761612,181.234768,,529.384075,,0,0,176.71237,405.251018,2036.658177,503.487387,,,73.525566,7428.587222,0,13499.29391,,0,56063,411.743169,45519.67788,2691.671927,,1485.216432,404.390613,,0,,,206.664654,,354.490722
1961,44.11534,117.452076,1072.824639,,155.659003,,,0,2904.259855,202.754211,0,2860.260297,3080.721213,409.263129,0,0,10.383653,0,1175.174185,4757.104117,0,0,0,0,0,53.874124,,4713.340047,,0,1749.90847,0,0,0,5632.058352,7.352557,0,0,0,882.306791,6210,,1595.504781,0,0,,0,0,1616.179407,867.340588,0,95.583236,3581.190518,,2264.587431,139.481652,,1580.799668,0,0,234.447478,,220.576698,2059.157726,73.525566,0,,307.886024,29.410226,0,0,,,,0,1345.848207,,,0,,15381.74898,0,0,,0,,0,0,255.381184,32417.27978,0,0,1838.139149,0,0,0,124.993462,0,0,0,44.11534,44.11534,183.813915,1602.737336,73.525566,8242.447726,448.505952,933.774688,595.557084,742.682745,845.544008,18028.46877,213.224141,24631.38362,,220.576698,3266.595619,330.360679,0,,0,,563.206141,0,202.754211,874.954235,0,,0,0,,765.833558,227.929254,0,204.961514,0,32.337022,330.865047,,0,0,,0,0,0,3036.605874,0,0,,631.70656,213.224141,36.762783,,,0,,,1904.312158,0,654.377537,36.762783,0,360.275273,,1271.992291,,,0,1233.422168,,110.288349,0,14.705113,,595.557084,1022.435142,44.11534,7359.909152,1242.582065,0,0,522.031518,570.703762,0,,81.518316,0,,3308.650468,31056.45628,0,,0,,,0,0,0,0,,103.041585,183.813915,805.153457,,0,0,1888.78244,404.305617,0,0,2595.452478,6625.106089,80.878123,,0,0,0,,0,0,3043.729956,3602.752732,536.736631,1507.274102,202.754211,,808.781225,,0,0,95.583236,330.865047,2029.30562,563.270441,,,66.173009,8304.32551,0,14374.24814,,0,56718,389.6855,50857.63397,3011.275502,,1514.626659,455.858509,,0,,,153.090727,,257.643319
