# File: LDS_value_milUSD.csv
# Title: Initialization of land value (million USD) by country87/use/GLU
# Units: million USD
# Description: Initialization of land value (million USD) by country87/use/GLU
# Source: many, including HYDE and SAGE
reglr_iso,glu_code,use_sector,value
chn,76,rmk,0.010141156
chn,76,v_f,0.007005794
chn,76,wht,0.000580940
chn,76,wol,0.011470060
chn,77,c_b,1.281177998
chn,77,ctl,47.133037567
chn,77,frs,410.013854980
chn,77,gro,258.340606689
chn,77,ocr,46.523826599
chn,77,osd,198.000793457
chn,77,pdr,44.844223022
chn,77,pfb,126.772834778
chn,77,rmk,15.614032745
chn,77,v_f,3797.023681641
chn,77,wht,298.341857910
chn,77,wol,17.660108566
chn,78,c_b,14.307695389
chn,78,ctl,41.113582611
chn,78,frs,455.010223389
chn,78,gro,134.212753296
chn,78,ocr,86.337287903
chn,78,osd,372.147674561
chn,78,pdr,938.449584961
chn,78,pfb,180.008895874
chn,78,rmk,13.619933128
chn,78,v_f,6083.575683594
chn,78,wht,270.169250488
chn,78,wol,15.404698372
chn,79,c_b,2.921068430
chn,79,ctl,206.626220703
chn,79,frs,334.777526855
chn,79,gro,189.421447754
chn,79,ocr,71.795394897
chn,79,osd,159.094375610
chn,79,pdr,24.683912277
chn,79,pfb,63.910892487
chn,79,rmk,68.450256348
chn,79,v_f,3108.287109375
chn,79,wht,252.362609863
chn,79,wol,77.420036316
chn,85,c_b,1.381785154
chn,85,ctl,283.035919189
chn,85,frs,3.256475449
chn,85,gro,15.798151970
chn,85,ocr,4.234905243
chn,85,osd,3.263965845
chn,85,pdr,4.689826012
chn,85,pfb,114.497352600
chn,85,rmk,93.762947083
chn,85,v_f,207.475769043
chn,85,wht,26.388397217
chn,85,wol,106.049713135
chn,89,ctl,26.991483688
chn,89,gro,0.018433688
chn,89,ocr,0.003751004
chn,89,osd,0.008722840
chn,89,pdr,0.004140071
chn,89,pfb,0.031074636
chn,89,rmk,8.941624641
chn,89,v_f,0.122559406
chn,89,wht,0.016821180
chn,89,wol,10.113342285
chn,92,ctl,58.107067108
chn,92,gro,0.004736657
chn,92,ocr,0.004608441
chn,92,osd,0.022453990
chn,92,pfb,0.000312794
chn,92,rmk,19.249464035
chn,92,v_f,0.097042464
chn,92,wht,0.015981512
chn,92,wol,21.771926880
chn,106,c_b,21.466625214
chn,106,ctl,283.418548584
chn,106,frs,2435.974853516
chn,106,gro,263.142486572
chn,106,ocr,342.906768799
chn,106,osd,768.789428711
chn,106,pdr,2616.414062500
chn,106,pfb,524.248596191
chn,106,rmk,93.889694214
chn,106,v_f,10848.512695312
chn,106,wht,580.395751953
chn,106,wol,106.193077087
chn,108,c_b,89.892227173
chn,108,ctl,41.311893463
chn,108,frs,227.328491211
chn,108,gro,36.859252930
chn,108,ocr,94.029678345
chn,108,osd,82.837661743
chn,108,pdr,447.659179688
chn,108,pfb,1.296023607
chn,108,rmk,13.685628891
chn,108,v_f,2015.977294922
chn,108,wht,8.392077446
chn,108,wol,15.479004860
chn,109,c_b,5.192185879
chn,109,ctl,7.792291641
chn,109,frs,77.472030640
chn,109,gro,7.046335697
chn,109,ocr,16.919799805
chn,109,osd,6.310293674
chn,109,pdr,26.351694107
chn,109,pfb,0.262637258
chn,109,rmk,2.581397533
chn,109,v_f,110.841598511
chn,109,wht,3.171263218
chn,109,wol,2.919665575
chn,110,c_b,0.000105502
chn,110,ctl,39.945217133
chn,110,frs,24.932477951
chn,110,gro,0.668570101
chn,110,ocr,0.676990867
chn,110,osd,2.800422430
chn,110,pdr,0.073815338
chn,110,pfb,0.024652323
chn,110,rmk,13.232883453
chn,110,v_f,15.582102776
chn,110,wht,3.296138763
chn,110,wol,14.966930389
chn,112,c_b,47.722660065
chn,112,ctl,5.404646873
chn,112,frs,32.051673889
chn,112,gro,1.807954311
chn,112,ocr,11.399407387
chn,112,osd,26.425880432
chn,112,pdr,155.758422852
chn,112,pfb,0.134141326
chn,112,rmk,1.790428519
chn,112,v_f,821.274841309
chn,112,wht,0.110257700
chn,112,wol,2.025047779
chn,124,c_b,10.557873726
chn,124,ctl,2.165432930
chn,124,frs,14.353720665
chn,124,gro,0.358732581
chn,124,ocr,3.410406828
chn,124,osd,6.329646587
chn,124,pdr,33.570430756
chn,124,pfb,0.045870036
chn,124,rmk,0.717355490
chn,124,v_f,467.709136963
chn,124,wol,0.811358333
chn,125,c_b,10.693402290
chn,125,ctl,23.005868912
chn,125,frs,278.214324951
chn,125,gro,5.450488091
chn,125,ocr,5.694299221
chn,125,osd,5.579988003
chn,125,pdr,24.268444061
chn,125,pfb,0.228896394
chn,125,rmk,7.621286869
chn,125,v_f,89.014472961
chn,125,wht,2.607915163
chn,125,wol,8.619985580
chn,127,c_b,8.415833473
chn,127,ctl,25.636209488
chn,127,frs,83.330772400
chn,127,gro,3.277427912
chn,127,ocr,3.290440083
chn,127,osd,2.052584410
chn,127,pdr,10.718704224
chn,127,pfb,0.050876375
chn,127,rmk,8.492654800
chn,127,v_f,52.320964813
chn,127,wht,1.857688665
chn,127,wol,9.605538368
chn,137,c_b,5.400438309
chn,137,ctl,1.875995636
chn,137,frs,29.339139938
chn,137,gro,0.898602843
chn,137,ocr,1.488127232
chn,137,osd,1.466001034
chn,137,pdr,9.673742294
chn,137,pfb,0.040261652
chn,137,rmk,0.621471941
chn,137,v_f,32.875408173
chn,137,wht,0.797091722
chn,137,wol,0.702910066
col,143,c_b,4.874612331
col,143,ctl,57.001857758
col,143,frs,8.123075485
col,143,gro,18.011880875
col,143,ocr,53.465385437
col,143,osd,2.045794725
col,143,pdr,3.298393250
col,143,rmk,54.508522034
col,143,v_f,62.989330292
col,143,wht,0.013870195
col,143,wol,0.181942493
col,156,c_b,4.589819908
col,156,ctl,138.044494629
col,156,frs,113.519317627
col,156,gro,15.921252251
col,156,ocr,118.453437805
col,156,osd,39.761924744
col,156,pdr,21.918277740
col,156,rmk,132.006271362
col,156,v_f,145.098785400
col,156,wht,4.478669643
col,156,wol,0.440620035
col,157,c_b,5.166467190
col,157,ctl,21.193496704
col,157,frs,5.348499298
col,157,gro,9.140114784
col,157,ocr,25.409402847
col,157,osd,1.588706493
col,157,pdr,1.450442553
col,157,rmk,20.266468048
col,157,v_f,85.121002197
col,157,wht,11.011081696
col,157,wol,0.067646876
col,166,c_b,30.709655762
col,166,ctl,116.021774292
col,166,frs,24.936119080
col,166,gro,75.851608276
col,166,ocr,344.079650879
col,166,osd,19.311592102
