"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
12,"Root_Tuber",2005,2480,33108,55,1113,2535,34221,13.35,20.2363636363636,13.4994082840237
13,"Root_Tuber",2005,13,206,31,787,43,993,15.8461538461538,25.3870967741935,23.0930232558140
14,"Root_Tuber",2005,1228,21303,558,11284,1786,32587,17.3477198697068,20.2222222222222,18.2458006718925
1,"SugarCrop",2005,329,15555,548,39894,878,55450,47.2796352583587,72.7992700729927,63.1548974943052
2,"SugarCrop",2005,7,325,7,422,14,747,46.4285714285714,60.2857142857143,53.3571428571429
3,"SugarCrop",2005,1745,98854,550,36354,2294,135207,56.6498567335244,66.0981818181818,58.9394071490846
4,"SugarCrop",2005,27,931,63,4385,90,5316,34.4814814814815,69.6031746031746,59.0666666666667
5,"SugarCrop",2005,200,12744,223,24587,423,37330,63.72,110.255605381166,88.2505910165485
6,"SugarCrop",2005,773,22065,184,5933,956,27999,28.5446313065977,32.2445652173913,29.2876569037657
7,"SugarCrop",2005,1571,76857,702,45302,2273,122159,48.9223424570337,64.5327635327635,53.7435107787066
8,"SugarCrop",2005,0,0,252,11951,252,11951,NA,47.4246031746032,47.4246031746032
9,"SugarCrop",2005,887,27433,865,70855,1751,98287,30.9278466741826,81.9132947976879,56.131924614506
10,"SugarCrop",2005,6154,402388,2693,262441,8844,664828,65.3864153396165,97.453026364649,75.1727725011307
11,"SugarCrop",2005,665,27172,2456,146182,3121,173356,40.8601503759399,59.5203583061889,55.5450176225569
12,"SugarCrop",2005,962,27771,14,613,976,28383,28.8679833679834,43.7857142857143,29.0809426229508
13,"SugarCrop",2005,0,0,0,0,0,0,NA,NA,NA
14,"SugarCrop",2005,872,47189,3382,244071,4254,291260,54.1158256880734,72.1676522767593,68.4673248707099
1,"Wheat",2005,17141,39120,2816,14280,19957,53400,2.28224724345137,5.07102272727273,2.67575286866764
2,"Wheat",2005,9167,23465,78,420,9246,23885,2.55972510090542,5.38461538461539,2.58327925589444
3,"Wheat",2005,28960,131970,2223,8096,31183,140065,4.55697513812155,3.64192532613585,4.4917102267261
4,"Wheat",2005,90,260,127,597,217,857,2.88888888888889,4.7007874015748,3.94930875576037
5,"Wheat",2005,12189,15817,225,786,12413,16602,1.29764541799984,3.49333333333333,1.33746878272779
6,"Wheat",2005,37140,62721,2894,10521,40033,73242,1.68877221324717,3.63545266067726,1.82954062898109
7,"Wheat",2005,7878,14964,22323,89208,30201,104173,1.8994668697639,3.99623706491063,3.44932287010364
8,"Wheat",2005,7445,9213,4627,15181,12072,24395,1.23747481531229,3.28095958504431,2.02079191517561
9,"Wheat",2005,7091,9456,2792,12292,9883,21748,1.33352136511070,4.4025787965616,2.20054639279571
10,"Wheat",2005,8227,19429,801,4203,9028,23632,2.36161419715571,5.24719101123596,2.61763402747009
11,"Wheat",2005,1450,1215,10580,27156,12029,28368,0.837931034482759,2.56672967863894,2.3583007731316
12,"Wheat",2005,11038,29136,8,38,11046,29174,2.63960862475086,4.75,2.64113706319030
13,"Wheat",2005,2,6,0,0,2,6,3,NA,3
14,"Wheat",2005,6338,8112,20629,62849,26967,70961,1.27989902177343,3.04663338019293,2.63140134238143
1,"Corn",2030,29025,306501,4066,54237,33091,360738,10.5598966408269,13.3391539596655,10.9013931280409
2,"Corn",2030,955,8091,253,3440,1207,11531,8.47225130890052,13.5968379446640,9.55343827671914
3,"Corn",2030,3829,32348,2068,26211,5896,58559,8.44815878819535,12.6745647969052,9.93198778833107
4,"Corn",2030,0,0,0,0,0,0,NA,NA,NA
5,"Corn",2030,77,540,20,223,97,763,7.01298701298701,11.15,7.8659793814433
6,"Corn",2030,595,1963,218,1331,812,3294,3.29915966386555,6.10550458715596,4.05665024630542
7,"Corn",2030,15211,68791,23679,140607,38889,209398,4.52245085793176,5.93804637020144,5.3845046157011
8,"Corn",2030,30,132,618,3937,647,4069,4.4,6.3705501618123,6.28902627511592
9,"Corn",2030,33189,68311,2019,17859,35207,86170,2.05824218867697,8.84546805349183,2.44752463998637
10,"Corn",2030,26625,121059,3494,25835,30118,146889,4.54681690140845,7.39410417859187,4.87711667441397
11,"Corn",2030,10464,37245,2019,9164,12484,46408,3.55934633027523,4.53888063397722,3.71739826978533
12,"Corn",2030,6200,26478,279,1603,6479,28081,4.27064516129032,5.74551971326165,4.33415650563359
13,"Corn",2030,10,44,7,51,17,95,4.4,7.28571428571429,5.58823529411765
14,"Corn",2030,6580,12000,2962,12739,9542,24739,1.82370820668693,4.30081026333558,2.59264305177112
1,"FiberCrop",2030,1765,3344,1378,4686,3143,8030,1.89461756373938,3.40058055152395,2.55488386891505
2,"FiberCrop",2030,39,59,1,3,40,62,1.51282051282051,3,1.55
3,"FiberCrop",2030,237,646,1024,4458,1261,5105,2.72573839662447,4.353515625,4.04837430610626
4,"FiberCrop",2030,0,0,0,0,0,0,NA,NA,NA
5,"FiberCrop",2030,0,0,399,2112,399,2112,NA,5.29323308270677,5.29323308270677
6,"FiberCrop",2030,21,64,2059,5342,2080,5405,3.04761904761905,2.59446333171442,2.59855769230769
7,"FiberCrop",2030,4531,10869,2914,10479,7444,21348,2.39880821010814,3.59608785175017,2.86781300376142
8,"FiberCrop",2030,7,13,395,1871,402,1884,1.85714285714286,4.73670886075949,4.68656716417910
9,"FiberCrop",2030,6010,7775,709,1674,6718,9449,1.29367720465890,2.36107193229901,1.40651979755880
10,"FiberCrop",2030,2852,8199,762,3659,3612,11857,2.87482468443198,4.80183727034121,3.28266888150609
11,"FiberCrop",2030,965,1156,3224,6937,4190,8093,1.19792746113990,2.15167493796526,1.93150357995227
12,"FiberCrop",2030,0,0,0,0,0,0,NA,NA,NA
13,"FiberCrop",2030,0,0,0,0,0,0,NA,NA,NA
14,"FiberCrop",2030,2666,3019,2648,6330,5313,9349,1.13240810202551,2.3904833836858,1.7596461509505
1,"MiscCrop",2030,927,11593,2896,88331,3824,99924,12.5059331175836,30.5010359116022,26.1307531380753
2,"MiscCrop",2030,2407,7714,32,646,2437,8360,3.20481927710843,20.1875,3.43044727123513
3,"MiscCrop",2030,9139,108123,3907,100413,13045,208536,11.8309443046285,25.7007934476581,15.9858949789191
4,"MiscCrop",2030,236,3285,391,12814,626,16100,13.9194915254237,32.772378516624,25.7188498402556
5,"MiscCrop",2030,2274,5571,460,8404,2735,13972,2.44986807387863,18.2695652173913,5.10859232175503
6,"MiscCrop",2030,1906,13914,1805,23583,3709,37499,7.30010493179433,13.0653739612188,10.1102723105958
7,"MiscCrop",2030,21574,226145,14276,454892,35851,681035,10.4822935014369,31.8641075931634,18.9962623078854
8,"MiscCrop",2030,1231,6647,4564,71551,5796,78199,5.39967506092608,15.6772567922875,13.4918909592823
9,"MiscCrop",2030,45097,172777,4444,88265,49546,261046,3.83123045878883,19.8616111611161,5.26876034392282
10,"MiscCrop",2030,19637,126219,4588,88374,24223,214592,6.4276111422315,19.2619877942459,8.85901828840358
11,"MiscCrop",2030,13100,75934,4115,50856,17218,126786,5.79648854961832,12.3586877278250,7.36357300499477
12,"MiscCrop",2030,3310,22300,463,4998,3774,27298,6.73716012084592,10.7948164146868,7.23317435082141
13,"MiscCrop",2030,373,8702,237,9152,609,17853,23.3297587131367,38.6160337552743,29.3152709359606
14,"MiscCrop",2030,25247,97177,9332,145994,34579,243172,3.84905137244029,15.6444492070296,7.03236068133838
1,"OilCrop",2030,31368,105022,1538,6257,32904,111279,3.34806171894925,4.06827048114434,3.38192924872356
2,"OilCrop",2030,11197,27827,136,707,11333,28534,2.48521925515763,5.19852941176471,2.51777993470396
