"GCAM_region_ID","commodity","system","feed","year","Prod_Mt","ID_R_C_S_F_Y"
2,"Beef","Pastoral","FodderHerb_Residue",1990,0,"2BeefPastoralFodderHerb_Residue1990"
3,"Beef","Pastoral","FodderHerb_Residue",1990,0,"3BeefPastoralFodderHerb_Residue1990"
4,"Beef","Pastoral","FodderHerb_Residue",1990,0,"4BeefPastoralFodderHerb_Residue1990"
5,"Beef","Pastoral","FodderHerb_Residue",1990,0.144635283282371,"5BeefPastoralFodderHerb_Residue1990"
6,"Beef","Pastoral","FodderHerb_Residue",1990,0,"6BeefPastoralFodderHerb_Residue1990"
7,"Beef","Pastoral","FodderHerb_Residue",1990,0,"7BeefPastoralFodderHerb_Residue1990"
8,"Beef","Pastoral","FodderHerb_Residue",1990,0,"8BeefPastoralFodderHerb_Residue1990"
9,"Beef","Pastoral","FodderHerb_Residue",1990,0.0184432091381512,"9BeefPastoralFodderHerb_Residue1990"
10,"Beef","Pastoral","FodderHerb_Residue",1990,0,"10BeefPastoralFodderHerb_Residue1990"
11,"Beef","Pastoral","FodderHerb_Residue",1990,0,"11BeefPastoralFodderHerb_Residue1990"
12,"Beef","Pastoral","FodderHerb_Residue",1990,0,"12BeefPastoralFodderHerb_Residue1990"
13,"Beef","Pastoral","FodderHerb_Residue",1990,0,"13BeefPastoralFodderHerb_Residue1990"
14,"Beef","Pastoral","FodderHerb_Residue",1990,0,"14BeefPastoralFodderHerb_Residue1990"
1,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"1DairyPastoralFodderHerb_Residue1990"
2,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"2DairyPastoralFodderHerb_Residue1990"
3,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"3DairyPastoralFodderHerb_Residue1990"
4,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"4DairyPastoralFodderHerb_Residue1990"
5,"Dairy","Pastoral","FodderHerb_Residue",1990,1.26729817263326,"5DairyPastoralFodderHerb_Residue1990"
6,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"6DairyPastoralFodderHerb_Residue1990"
7,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"7DairyPastoralFodderHerb_Residue1990"
8,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"8DairyPastoralFodderHerb_Residue1990"
9,"Dairy","Pastoral","FodderHerb_Residue",1990,0.0704967036355857,"9DairyPastoralFodderHerb_Residue1990"
10,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"10DairyPastoralFodderHerb_Residue1990"
11,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"11DairyPastoralFodderHerb_Residue1990"
12,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"12DairyPastoralFodderHerb_Residue1990"
13,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"13DairyPastoralFodderHerb_Residue1990"
14,"Dairy","Pastoral","FodderHerb_Residue",1990,0,"14DairyPastoralFodderHerb_Residue1990"
1,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"1SheepGoatPastoralFodderHerb_Residue1990"
2,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"2SheepGoatPastoralFodderHerb_Residue1990"
3,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"3SheepGoatPastoralFodderHerb_Residue1990"
4,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"4SheepGoatPastoralFodderHerb_Residue1990"
5,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"5SheepGoatPastoralFodderHerb_Residue1990"
6,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"6SheepGoatPastoralFodderHerb_Residue1990"
7,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"7SheepGoatPastoralFodderHerb_Residue1990"
8,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"8SheepGoatPastoralFodderHerb_Residue1990"
9,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"9SheepGoatPastoralFodderHerb_Residue1990"
10,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"10SheepGoatPastoralFodderHerb_Residue1990"
11,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"11SheepGoatPastoralFodderHerb_Residue1990"
12,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"12SheepGoatPastoralFodderHerb_Residue1990"
13,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"13SheepGoatPastoralFodderHerb_Residue1990"
14,"SheepGoat","Pastoral","FodderHerb_Residue",1990,0,"14SheepGoatPastoralFodderHerb_Residue1990"
1,"Beef","Mixed","Pasture_FodderGrass",1990,5.54122033830567,"1BeefMixedPasture_FodderGrass1990"
2,"Beef","Mixed","Pasture_FodderGrass",1990,0.46554432,"2BeefMixedPasture_FodderGrass1990"
3,"Beef","Mixed","Pasture_FodderGrass",1990,5.54475394840635,"3BeefMixedPasture_FodderGrass1990"
4,"Beef","Mixed","Pasture_FodderGrass",1990,0.425109,"4BeefMixedPasture_FodderGrass1990"
5,"Beef","Mixed","Pasture_FodderGrass",1990,0.428239906469213,"5BeefMixedPasture_FodderGrass1990"
6,"Beef","Mixed","Pasture_FodderGrass",1990,4.41619384563848,"6BeefMixedPasture_FodderGrass1990"
7,"Beef","Mixed","Pasture_FodderGrass",1990,0.554692842,"7BeefMixedPasture_FodderGrass1990"
8,"Beef","Mixed","Pasture_FodderGrass",1990,0.0456161006352223,"8BeefMixedPasture_FodderGrass1990"
9,"Beef","Mixed","Pasture_FodderGrass",1990,0.837805445226303,"9BeefMixedPasture_FodderGrass1990"
10,"Beef","Mixed","Pasture_FodderGrass",1990,3.08846775743558,"10BeefMixedPasture_FodderGrass1990"
11,"Beef","Mixed","Pasture_FodderGrass",1990,0.981026311186046,"11BeefMixedPasture_FodderGrass1990"
12,"Beef","Mixed","Pasture_FodderGrass",1990,1.02563735735736,"12BeefMixedPasture_FodderGrass1990"
13,"Beef","Mixed","Pasture_FodderGrass",1990,0.010303594,"13BeefMixedPasture_FodderGrass1990"
14,"Beef","Mixed","Pasture_FodderGrass",1990,0.190446498,"14BeefMixedPasture_FodderGrass1990"
1,"Dairy","Mixed","Pasture_FodderGrass",1990,31.95046464,"1DairyMixedPasture_FodderGrass1990"
2,"Dairy","Mixed","Pasture_FodderGrass",1990,3.897071552,"2DairyMixedPasture_FodderGrass1990"
3,"Dairy","Mixed","Pasture_FodderGrass",1990,73.8327824535637,"3DairyMixedPasture_FodderGrass1990"
4,"Dairy","Mixed","Pasture_FodderGrass",1990,6.3993297,"4DairyMixedPasture_FodderGrass1990"
5,"Dairy","Mixed","Pasture_FodderGrass",1990,1.50769115052206,"5DairyMixedPasture_FodderGrass1990"
6,"Dairy","Mixed","Pasture_FodderGrass",1990,52.8570969714292,"6DairyMixedPasture_FodderGrass1990"
7,"Dairy","Mixed","Pasture_FodderGrass",1990,1.69427368,"7DairyMixedPasture_FodderGrass1990"
8,"Dairy","Mixed","Pasture_FodderGrass",1990,1.72532826352,"8DairyMixedPasture_FodderGrass1990"
9,"Dairy","Mixed","Pasture_FodderGrass",1990,5.14290285520224,"9DairyMixedPasture_FodderGrass1990"
10,"Dairy","Mixed","Pasture_FodderGrass",1990,16.6978134110664,"10DairyMixedPasture_FodderGrass1990"
11,"Dairy","Mixed","Pasture_FodderGrass",1990,5.7769399314,"11DairyMixedPasture_FodderGrass1990"
12,"Dairy","Mixed","Pasture_FodderGrass",1990,15.3036467167167,"12DairyMixedPasture_FodderGrass1990"
13,"Dairy","Mixed","Pasture_FodderGrass",1990,0.124989669231538,"13DairyMixedPasture_FodderGrass1990"
14,"Dairy","Mixed","Pasture_FodderGrass",1990,5.1628944,"14DairyMixedPasture_FodderGrass1990"
1,"Pork","Mixed","Pasture_FodderGrass",1990,0,"1PorkMixedPasture_FodderGrass1990"
2,"Pork","Mixed","Pasture_FodderGrass",1990,0,"2PorkMixedPasture_FodderGrass1990"
3,"Pork","Mixed","Pasture_FodderGrass",1990,0,"3PorkMixedPasture_FodderGrass1990"
4,"Pork","Mixed","Pasture_FodderGrass",1990,0,"4PorkMixedPasture_FodderGrass1990"
5,"Pork","Mixed","Pasture_FodderGrass",1990,0,"5PorkMixedPasture_FodderGrass1990"
