BLDGID5,REGION5,CENDIV5,MSA5,CLIMATE5,SQFT5,SQFTC5,NFLOOR5,PORBLG5,NUMBLG5,YRCON5,MONCON5,YRCONC5,EXPRED5,AMTDIF5,PBA5,HT15,HT25,COOL5,WATR5,COOK5,MANU5,GENR5,HEATP5,COOLP5,WKHRS5,WKHRSC5,TOTWK5,TOTWKC5,NWKER5,NWKERC5,WLCNS5,RFCNS5,BLDSHP5,BLDLEN5,BLDWID5,ATTWLL5,GLSSPC5,LTOHRP5,ADJWT5,PAIR5,STRATUM5,ELSUPL5,NGSUPL5,FKSUPL5,STSUPL5,HWSUPL5,ELBTU5,NGBTU5,FKBTU5,STBTU5,HWBTU5,MFBTU5
2746,1,2,2,3,100000,6,6, ,2,1990,  ,9, ,         ,20,1,2,1,1,2,2,2,50,50,60,3,230,6,230,6,5,6,2,270,150,0,3,100,3.71,1,17,1,2,2,1,2,1858946,              ,              ,3127000,              ,4985946
2747,3,5,2,3,800000,9,7, ,0,1968,  ,5,3,         ,2,1,2,1,1,1,2,2,85,85,64,4,2500,10,2500,10,5,4,2,350,200,0,3,100,10.87,2,14,1,3,1,2,2,79655508,              ,29979508,              ,              ,109635016
2748,3,5,1,3,2500,2,1,1,   ,1978,  ,6,3,         ,3,1,2,2,2,2,2,2,25,   ,42,2,6,2,1,1,5,1,2,60,40,0,2,75,1880.68,1,3,1,2,1,2,2,72351,              ,206371,              ,              ,278722
2749,4,8,1,4,30000,5,3, ,1,1946,  ,4,3,         ,14,1,2,1,1,2,2,2,100,75,28,1,35,4,35,4,5,4,2,126,111,0,3,100,272.07,2,20,1,1,2,2,2,154942,719374,              ,              ,              ,874316
2750,2,3,2,2,7000,3,1,2,   ,1931,  ,3,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,4,2,42,38,0,1,991,444.28,2,21,2,2,2,2,2,              ,              ,              ,              ,              ,0
2751,3,6,2,3,2500,2,1,2,   ,1950,  ,4,3,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,0,0,0,0,5,3,2,21,20,0,1,100,1531.67,1,9,1,2,2,2,2,509347,              ,              ,              ,              ,509347
2752,3,7,2,4,30000,5,1,2,   ,1977,  ,6,3,         ,2,1,2,1,1,2,2,1,100,100,133,5,125,6,125,6,5,4,2,223,142,0,1,100,435.97,2,15,1,2,1,2,2,3460583,              ,15395,              ,              ,3475978
2753,1,2,2,3,40000,5,3, ,0,1972,  ,6,3,         ,2,1,1,1,1,2,2,2,100,100,45,2,65,5,65,5,5,4,2,210,70,0,1,100,215.79,1,17,1,1,2,2,2,2330355,1397691,              ,              ,              ,3728046
2754,3,5,2,3,250000,8,2, ,1,1908,  ,2,3,         ,5,1,1,1,1,2,1,2,70,4,168,6,350,7,100,6,5,4,2,1000,800,0,1,90,21.93,2,13,1,1,2,2,2,8655449,18366106,              ,              ,              ,27021555
2755,2,3,2,2,30000,5,2, ,0,1932,  ,3,3,         ,12,1,1,1,1,2,2,2,100,75,56,3,5,2,5,2,3,3,3,     ,     , ,1,40,444.28,1,10,1,1,2,2,2,482252,569243,              ,              ,              ,1051495
2756,4,9,2,4,7000,3,2, ,0,1971,  ,6,3,         ,12,1,1,1,1,2,2,2,33,50,47,2,2,1,2,1,5,3,2,160,80,0,1,100,148.07,1,13,1,1,2,2,2,86661,219589,              ,              ,              ,306250
2757,3,6,2,4,60000,6,1,2,   ,1983,  ,7,3,         ,5,2,2,2,2,2,2,2,   ,   ,40,2,4,1,4,1,3,5,2,150,400,0,1,0,300.02,2,7,1,2,2,2,2,10673,              ,              ,              ,              ,10673
2758,3,6,1,4,9000,3,1,2,   ,1976,  ,6,1,4100,2,1,2,1,1,2,2,2,100,100,35,1,11,3,11,3,5,5,2,125,40,0,1,90,1882.46,2,11,1,1,2,2,2,386887,248606,              ,              ,              ,635493
2759,1,2,2,3,30000,5,1,2,   ,1987,  ,8, ,         ,2,1,2,1,1,2,2,2,100,80,40,2,65,5,65,5,5,2,2,200,160,0,2,100,412.41,1,10,1,1,2,2,2,428984,903976,              ,              ,              ,1332960
2760,4,9,2,4,35000,5,3, ,0,1960,  ,5,3,         ,18,1,2,2,1,2,2,1,100,   ,168,6,3,1,3,1,5,3,2,278,38,0,2,100,1.06,0,0,1,1,2,2,2,22417,796137,              ,              ,              ,818554
2761,3,6,1,3,6000,3,2, ,0,1915,  ,2,3,         ,12,1,1,2,1,2,2,2,100,   ,4,1,12,3,12,3,6,3,2,120,34,0,3,100,1880.68,1,11,1,2,1,2,2,51518,              ,249781,              ,              ,301299
2762,4,9,2,4,1500,2,1,2,   ,1952,  ,4,3,         ,2,1,2,2,1,2,2,2,100,   ,43,2,7,2,7,2,5,4,2,50,30,0,1,95,435.97,1,20,1,1,2,2,2,23986,56286,              ,              ,              ,80272
2763,3,5,2,5,160000,7,2, ,0,1974,  ,6,3,         ,5,1,2,1,1,2,2,2,100,20,45,2,45,4,45,4,4,4,2,352,320,0,1,80,150.01,1,1,1,2,2,2,2,7886217,              ,              ,              ,              ,7886217
2764,2,4,2,3,180000,7,5, ,1,1982,  ,7,3,         ,2,1,1,1,1,2,2,2,60,60,58,3,300,7,300,7,10,11,3,     ,     , ,3,100,207.73,1,12,1,1,2,2,2,10178334,65444,              ,              ,              ,10243778
2765,3,7,1,5,2000,2,1,2,   ,1948,  ,4,1,342,3,1,2,1,1,2,2,2,100,10,45,2,12,3,12,3,3,5,2,50,31,0,1,100,1908.68,1,5,1,1,2,2,2,122576,163096,              ,              ,              ,285672
2766,3,6,1,3,12500,4,1,2,   ,1988,  ,8, ,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,0,0,0,0,6,3,2,420,30,0,1,5,1880.68,1,11,1,2,2,2,2,34738,              ,              ,              ,              ,34738
2767,2,3,1,3,4000,2,1,2,   ,1989,  ,8, ,         ,5,1,2,2,2,2,2,2,100,   ,45,2,4,1,2,1,3,5,2,100,40,0,1,100,1796.87,2,21,1,1,2,2,2,19462,41469,              ,              ,              ,60931
2768,3,5,2,4,3500,2,2, ,0,1926,  ,3,3,         ,2,1,1,1,1,2,2,2,75,100,45,2,7,2,7,2,6,3,2,30,60,0,1,100,1511.3,1,9,1,1,2,2,2,157181,62872,              ,              ,              ,220053
2769,1,2,1,2,25001,5,4, ,1,1952,  ,4,3,         ,2,1,2,1,1,2,2,2,100,90,90,5,175,6,150,6,5,6,2,207,40,0,2,100,28.38,2,8,1,2,2,1,2,2848945,              ,              ,2313000,              ,5161945
2770,4,9,2,4,900000,9,995, ,2,1986,  ,7,3,         ,2,1,1,1,1,1,2,1,90,90,54,3,1900,9,1825,9,5,4,2,200,120,4,3,85,10.29,2,20,1,1,1,1,2,36899094,1560478,49651,36610000,              ,75119223
2771,3,5,2,5,160000,7,4, ,0,1991,  ,9, ,         ,2,1,2,1,1,1,2,2,100,100,84,4,1500,9,1450,9,1,4,3,     ,     , ,5,100,2.7,1,1,1,1,2,2,2,16272101,268569,              ,              ,              ,16540670
2772,4,8,1,4,50000,5,1,2,   ,1950,  ,4,3,         ,5,2,2,2,2,2,2,2,   ,   ,45,2,1,1,1,1,3,5,2,248,200,0,1,0,308.2,2,20,2,2,2,2,2,              ,              ,              ,              ,              ,0
2773,3,7,2,5,2000,2,1,2,   ,1953,  ,4,3,         ,15,1,2,1,1,2,2,2,100,100,98,5,4,1,4,1,5,4,2,40,50,0,1,100,1410.02,2,12,1,1,2,2,2,52756,93124,              ,              ,              ,145880
2774,4,9,2,4,4000,2,2, ,0,1952,  ,4,3,         ,2,1,2,1,1,2,2,2,75,75,53,3,11,3,11,3,5,2,2,68,32,0,3,60,1379.42,1,3,1,1,2,2,2,47915,25725,              ,              ,              ,73640
2775,1,2,2,2,1500,2,1,2,   ,1982,  ,7,3,         ,2,1,2,1,1,2,2,2,100,100,56,3,7,2,7,2,6,5,2,30,50,0,1,60,460.39,1,18,1,1,2,2,2,190448,763209,              ,              ,              ,953657
2776,4,8,2,5,15000,4,1,2,   ,1968,  ,5,3,         ,5,1,1,1,1,2,2,2,25,25,54,3,5,2,5,2,5,4,3,     ,     , ,1,25,425.71,2,22,1,1,2,2,2,132778,36941,              ,              ,              ,169719
2777,2,4,1,2,3000,2,1,2,   ,1991,  ,9, ,         ,3,1,2,1,1,2,2,2,50,25,54,3,0,0,0,0,3,5,2,70,40,0,1,0,2043.89,2,16,1,1,2,2,2,2388,47849,              ,              ,              ,50237
2778,3,7,2,4,4500,2,1,2,   ,1974,  ,6,3,         ,13,1,2,1,1,2,2,2,100,100,15,1,1,1,1,1,5,3,2,80,35,0,1,75,1262.19,1,15,1,1,2,2,2,86214,1456858,              ,              ,              ,1543072
2779,3,7,2,5,7000,3,1,2,   ,1974,  ,6,3,         ,3,1,2,2,2,2,2,2,995,   ,70,4,4,1,3,1,3,5,2,66,20,0,1,70,1426.16,2,20,1,2,2,2,2,36921,              ,              ,              ,              ,36921
2780,3,7,2,5,700000,9,1,2,   ,1967,  ,5,3,         ,13,1,2,1,1,1,2,1,70,70,70,4,40,4,40,4,4,6,3,     ,     , ,1,100,10.24,2,9,1,1,1,2,2,48363595,4338573,216079,              ,              ,52918247
2781,4,9,2,4,35000,5,1,2,   ,1957,  ,4,3,         ,5,1,2,1,1,2,2,2,1,1,45,2,3,1,3,1,5,4,3,     ,     , ,1,100,444.22,2,1,1,1,2,2,2,178072,10290,              ,              ,              ,188362
2782,3,6,2,5,100000,6,2, ,0,1983,  ,7,3,         ,3,1,2,1,1,1,2,2,100,100,112,5,400,7,400,7,5,5,3,     ,     , ,2,77,225.04,2,17,1,1,2,2,2,648792,2864942,              ,              ,              ,3513734
2783,4,9,2,4,1500,2,1,2,   ,1984,  ,7,3,         ,2,1,2,1,1,2,2,2,100,100,46,2,5,2,5,2,5,2,2,30,50,0,3,100,1379.42,2,16,1,1,2,2,2,11881,39411,              ,              ,              ,51292
2784,1,1,1,1,12500,4,3, ,1,1942,  ,3,1,800,3,1,1,1,1,2,2,2,66,30,54,3,12,3,12,3,6,3,2,100,24,2,2,100,561.54,2,8,1,2,1,2,2,34990,              ,219546,              ,              ,254536
2785,3,6,2,5,10000,3,2, ,0,1948,  ,4,3,         ,12,1,1,1,1,2,2,2,100,100,12,1,6,2,6,2,5,3,3,     ,     , ,3,100,439.81,2,17,1,1,2,2,2,186500,65650,              ,              ,              ,252150
2786,3,5,2,5,45000,5,2, ,0,1976,  ,6,3,         ,5,2,2,1,1,2,2,2,   ,10,40,2,60,5,60,5,5,4,2,200,100,0,1,100,210.62,2,13,1,2,2,2,2,2164791,              ,              ,              ,              ,2164791
2787,2,3,2,2,1200000,10,995, ,2,1991,  ,9, ,         ,2,1,2,1,1,1,2,1,85,85,61,4,2200,9,2200,9,1,4,2,180,150,0,4,100,1.15,0,0,1,2,1,2,2,41231222,              ,60191,              ,              ,41291413
2788,4,9,2,3,30000,5,3, ,1,1988,  ,8, ,         ,2,1,2,2,1,2,2,2,100,   ,95,5,50,5,45,4,5,5,2,130,80,1,2,100,217.98,1,4,1,2,2,1,2,2094620,              ,              ,3267000,              ,5361620
2789,4,8,2,2,140000,7,994, ,1,1912,  ,2,3,         ,2,1,2,1,1,2,2,2,100,95,55,3,150,6,150,6,5,4,2,155,85,2,2,95,241.5,2,7,1,1,2,2,2,4356998,7064805,              ,              ,              ,11421803
2790,3,7,1,4,3000,2,1,2,   ,1960,  ,5,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,3,5,3,     ,     , ,1,991,1914.28,1,19,2,2,2,2,2,              ,              ,              ,              ,              ,0
2791,4,9,2,4,25000,4,1,2,   ,1969,  ,5,3,         ,2,1,2,1,1,2,2,2,100,100,43,2,7,2,6,2,4,4,3,     ,     , ,1,100,310.58,2,22,1,1,2,2,2,803785,956764,              ,              ,              ,1760549
2792,4,8,2,2,40000,5,2, ,0,1987,  ,8, ,         ,13,1,2,1,1,2,2,2,66,66,75,4,15,3,15,3,5,4,2,170,240,0,1,66,20.76,2,20,1,1,2,2,2,1765980,679243,              ,              ,              ,2445223
2793,3,6,2,4,3500,2,1,2,   ,1988,  ,8, ,         ,3,1,2,1,1,2,2,2,100,98,63,4,3,1,3,1,5,2,2,55,65,0,1,100,2993.14,2,7,1,2,2,2,2,109440,              ,              ,              ,              ,109440
2794,4,9,2,3,20000,4,2, ,0,1976,  ,6,3,         ,14,1,2,1,1,2,2,2,100,100,76,4,10,3,8,2,6,4,2,120,80,0,3,60,1.69,1,14,1,2,2,2,2,760190,              ,              ,              ,              ,760190
2795,2,3,2,2,450000,8,9, ,2,1991,  ,9, ,         ,20,1,2,1,2,2,2,2,1,1,168,6,10,3,6,2,4,5,2,500,120,0,1,100,1.04,0,0,1,2,2,2,2,11798304,              ,              ,              ,              ,11798304
2796,1,2,2,3,7000,3,4, ,1,1787,  ,1,3,         ,13,1,2,1,1,2,2,2,100,10,45,2,3,1,2,1,6,5,2,180,45,0,2,80,10.15,1,14,1,2,2,1,1,77527,              ,              ,432000,48000,557527
2797,4,9,2,4,10000,3,1,2,   ,1920,  ,3,3,         ,6,1,2,1,1,1,2,1,7,2,83,4,28,4,26,4,5,3,2,100,30,0,1,100,1349.78,2,22,1,1,2,2,2,1805033,3037711,              ,              ,              ,4842744
2798,3,5,2,5,17500,4,2, ,0,1956,  ,4,3,         ,1,1,2,1,1,2,2,2,100,100,40,2,11,3,10,3,5,4,1,45,45,0,3,100,464.11,1,6,1,2,2,2,2,39409,              ,              ,              ,              ,39409
2799,4,9,2,4,6000,3,1,2,   ,1986,  ,7,3,         ,3,1,2,1,1,1,2,2,80,80,70,4,10,3,10,3,5,4,2,100,60,1,3,100,525.38,1,4,1,1,2,2,2,556238,359738,              ,              ,              ,915976
2800,2,3,2,2,70000,6,3, ,1,1926,  ,3,3,         ,14,1,2,1,1,2,2,2,100,100,70,4,85,5,85,5,5,4,3,     ,     , ,2,100,308.15,2,4,1,1,2,2,2,2466726,4607347,              ,              ,              ,7074073
2801,1,2,2,3,400000,8,995, ,1,1990,  ,9, ,         ,18,1,1,1,1,1,2,1,100,100,168,6,250,7,150,6,5,6,3,     ,     , ,1,100,10.69,1,15,1,1,1,1,2,18976319,5827844,98010,49197000,              ,74099173
2802,4,8,2,5,4500,2,1,2,   ,1952,  ,4,3,         ,14,1,2,2,1,2,2,2,100,   ,38,1,9,2,7,2,5,3,2,200,23,0,2,100,1.02,0,0,1,1,2,2,2,71079,106090,              ,              ,              ,177169
2803,3,7,2,5,1500,2,1,2,   ,1955,  ,4,3,         ,14,1,2,1,2,2,2,2,100,100,40,2,2,1,2,1,5,3,2,50,25,0,3,100,3.94,1,16,1,1,2,2,2,190519,381142,              ,              ,              ,571661
2804,4,9,2,4,8000,3,1,2,   ,1946,  ,4,3,         ,3,1,2,2,1,2,2,1,66,   ,54,3,6,2,6,2,5,3,2,150,50,0,1,60,1349.78,1,22,1,2,2,2,2,62054,              ,              ,              ,              ,62054
2805,3,6,2,4,4000,2,1,2,   ,1965,  ,5,3,         ,5,1,2,1,1,2,2,2,100,25,43,2,6,2,6,2,3,4,2,45,100,2,1,100,468.66,2,9,1,1,2,2,2,67220,48157,              ,              ,              ,115377
2806,1,1,2,2,7000,3,2, ,1,1930,  ,3,3,         ,3,1,2,1,1,2,2,2,50,50,47,2,4,1,4,1,5,4,2,125,30,0,1,75,306.89,1,22,1,2,2,2,2,106280,              ,              ,              ,              ,106280
2807,4,9,2,3,8000,3,1,2,   ,1992,3,9, ,         ,15,1,2,1,1,1,2,2,100,100,107,5,125,6,25,4,6,3,2,100,75,0,4,100,14.96,2,14,1,1,2,2,2,2480340,4401239,              ,              ,              ,6881579
2808,2,3,2,2,12500,4,4, ,1,1949,  ,4,3,         ,7,1,2,1,1,2,2,1,100,100,54,3,100,6,100,6,5,6,3,     ,     , ,3,100,210.62,2,20,1,1,2,2,2,2912244,2639488,              ,              ,              ,5551732
2809,2,3,2,2,7000,3,1,2,   ,1980,  ,7,3,         ,2,1,2,1,1,2,2,2,100,100,50,3,25,4,25,4,6,3,3,     ,     , ,3,100,21.56,2,20,1,1,2,2,2,238533,257764,              ,              ,              ,496297
2810,3,7,1,5,9000,3,1,2,   ,1920,  ,3,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,3,4,2,100,90,0,1,991,548.97,1,5,2,2,2,2,2,              ,              ,              ,              ,              ,0
2811,1,1,2,2,7000,3,4, ,1,1981,  ,7,3,         ,12,1,2,1,1,1,2,2,82,65,16,1,12,3,10,3,6,3,2,95,35,0,2,83,1580.41,2,14,1,2,1,2,2,33342,              ,151311,              ,              ,184653
2812,4,8,1,4,1500,2,1,2,   ,1981,  ,7,3,         ,2,1,2,1,1,2,2,2,100,100,42,2,8,2,8,2,3,5,2,30,50,0,1,100,2115.72,2,20,1,1,2,2,2,109651,24902,              ,              ,              ,134553
2813,3,5,1,4,2500,2,1,2,   ,1954,  ,4,3,         ,3,1,2,1,2,2,2,2,100,25,50,3,2,1,2,1,5,3,1,50,50,0,2,75,1882.46,2,3,1,2,1,2,2,29664,              ,188190,              ,              ,217854
2814,3,7,2,4,500000,8,6, ,1,1982,  ,7,1,200,16,1,2,1,1,1,2,1,100,100,168,6,925,9,700,8,5,4,3,     ,     , ,3,100,21.71,2,15,1,1,1,1,1,51483067,74264988,727429,3431000,1640000,131546484
2815,3,5,2,4,300000,8,2, ,0,1990,  ,9, ,         ,21,1,1,1,1,2,1,1,100,80,45,2,315,7,315,7,5,4,2,800,600,0,1,100,21.37,1,1,1,1,1,2,2,72987358,40243778,364893,              ,              ,113596029
2816,3,5,2,5,3000,2,1,2,   ,1942,  ,3,3,         ,12,1,2,1,1,2,2,2,100,100,8,1,1,1,1,1,5,2,3,     ,     , ,1,100,1511.3,1,6,1,1,2,2,2,17729,64415,              ,              ,              ,82144
2817,3,5,2,5,10001,4,1,2,   ,1933,  ,3,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,4,1,100,100,1,1,991,1543.02,1,6,2,2,2,2,2,              ,              ,              ,              ,              ,0
2818,2,4,2,3,10001,4,2, ,0,1971,  ,6,3,         ,2,1,2,1,1,2,2,2,100,100,49,3,50,5,50,5,5,4,2,200,45,0,1,100,291.24,1,8,1,2,2,2,2,894978,              ,              ,              ,              ,894978
2819,1,2,2,3,2000,2,2, ,1,1922,  ,3,3,         ,1,1,2,1,1,2,2,2,100,100,53,3,3,1,2,1,5,4,2,60,40,1,3,100,1409.09,1,9,1,1,2,2,2,55878,76455,              ,              ,              ,132333
2820,1,1,2,2,90000,6,6, ,1,1969,  ,5,3,         ,2,1,2,1,1,2,2,2,100,90,98,5,150,6,150,6,5,4,3,295,190,0,4,100,12.03,1,21,1,1,2,2,2,6940885,6613383,              ,              ,              ,13554268
2821,3,5,2,5,160000,7,1,1,   ,1991,  ,9, ,         ,3,1,2,1,1,1,2,2,100,100,66,4,350,7,150,6,5,4,3,     ,     , ,3,100,12.08,2,6,1,2,2,2,2,25498033,              ,              ,              ,              ,25498033
2822,3,5,2,5,1500,2,1,2,   ,1960,  ,5,3,         ,2,1,2,1,1,2,2,2,95,95,38,1,7,2,7,2,5,4,2,45,30,0,1,95,1262.19,2,1,1,1,2,2,2,61351,7512,              ,              ,              ,68863
2823,3,5,2,5,15000,4,3, ,0,1985,  ,7,3,         ,18,1,1,1,1,2,2,2,100,100,168,6,32,4,32,4,5,7,2,320,100,0,2,100,446.75,1,12,1,1,2,2,2,1073367,1781611,              ,              ,              ,2854978
2824,3,6,2,4,2000,2,1,2,   ,1988,  ,8, ,         ,3,1,2,2,2,2,2,2,100,   ,90,5,15,3,15,3,6,5,2,40,60,0,1,100,290.6,1,7,1,1,2,2,2,68823,1945736,              ,              ,              ,2014559
2825,2,3,1,1,7000,3,1,2,   ,1946,  ,4,3,         ,1,2,2,2,2,2,2,2,   ,   ,45,2,1,1,1,1,6,3,2,120,60,0,1,1,555.86,1,16,1,2,2,2,2,9148,              ,              ,              ,              ,9148
2826,2,3,2,2,2000,2,1,2,   ,1973,  ,6,3,         ,5,2,2,2,2,2,2,2,   ,   ,40,2,1,1,1,1,3,5,2,45,30,0,1,100,1605.92,1,21,1,2,2,2,2,36952,              ,              ,              ,              ,36952
2827,4,9,2,4,40000,5,2, ,0,1976,  ,6,3,         ,13,1,2,1,1,1,2,2,100,25,75,4,32,4,30,4,5,4,2,116,100,0,1,95,1.03,0,0,1,1,2,2,2,2937787,5298835,              ,              ,              ,8236622
2828,4,9,2,4,300000,8,994, ,1,1928,  ,3,3,         ,1,1,1,1,2,2,2,2,14,1,55,3,0,0,0,0,5,2,3,     ,     , ,4,1,21.23,2,10,1,1,1,2,2,5565047,28285049,5417647,              ,              ,39267743
2829,4,9,2,4,350000,8,8, ,1,1973,  ,6,3,         ,16,1,1,1,1,1,2,1,95,95,168,6,1245,9,450,7,11,4,2,636,480,0,3,100,10.41,2,18,1,1,1,2,2,49557403,38698323,1133652,              ,              ,89389378
2830,3,7,2,5,3500,2,1,2,   ,1983,  ,7,3,         ,2,1,1,1,1,2,2,2,100,100,45,2,7,2,7,2,3,3,3,     ,     , ,2,100,1426.16,1,16,1,1,2,2,2,892876,17220829,              ,              ,              ,18113705
2831,3,6,1,4,6000,3,2, ,1,1978,  ,6,3,         ,3,1,2,1,1,2,2,2,100,100,45,2,4,1,4,1,3,5,2,100,30,0,1,100,2416.46,2,11,1,2,2,2,2,33171,              ,              ,              ,              ,33171
2832,4,9,2,1,140000,7,8, ,0,1962,  ,5,3,         ,2,1,2,2,1,2,2,2,100,   ,55,3,500,8,386,7,5,6,2,250,90,0,3,100,21.23,2,5,1,1,2,2,2,14957485,19521879,              ,              ,              ,34479364
2833,4,9,2,4,3000,2,1,2,   ,1968,  ,5,3,         ,3,2,2,2,2,2,2,2,   ,   ,54,3,5,2,5,2,5,4,2,85,65,0,1,100,1813.56,2,4,1,2,2,2,2,14491,              ,              ,              ,              ,14491
2834,1,1,2,2,2000,2,1,2,   ,1957,  ,4,1,1000,6,1,2,1,1,1,2,2,95,100,75,4,2,1,2,1,6,2,2,350,39,0,2,100,318.31,2,11,1,1,2,2,2,38910,44762,              ,              ,              ,83672
2835,3,6,2,3,3000,2,3, ,1,1905,  ,2,3,         ,3,1,2,1,1,1,2,2,70,70,36,1,2,1,2,1,6,3,2,60,80,0,2,70,1423.83,1,9,1,1,2,2,2,47256,346567,              ,              ,              ,393823
2836,2,3,1,2,4000,2,3, ,1,1890,  ,1,3,         ,3,1,1,1,1,2,2,2,60,70,54,3,4,1,4,1,5,6,3,     ,     , ,2,10,728.99,1,21,1,1,1,2,2,129346,317549,64907,              ,              ,511802
2837,4,8,2,5,400000,8,2, ,0,1989,  ,8, ,         ,2,1,2,1,1,1,1,2,100,100,50,3,1000,9,900,8,4,4,3,     ,     , ,2,100,20.87,1,17,1,1,2,2,2,25172706,2927814,              ,              ,              ,28100520
2838,3,7,2,5,15000,4,2, ,0,1924,  ,3,3,         ,14,1,2,1,1,2,2,2,100,100,45,2,8,2,8,2,5,4,3,     ,     , ,2,50,1.09,0,0,1,1,2,2,2,725678,1714726,              ,              ,              ,2440404
2839,3,5,2,4,60000,6,8, ,0,1964,  ,5,3,         ,18,1,2,1,1,1,2,2,100,100,168,6,150,6,125,6,5,6,2,160,60,0,3,10,22.2,2,9,1,2,2,2,2,7335326,              ,              ,              ,              ,7335326
2840,2,3,2,2,2000,2,2, ,1,1977,  ,6,3,         ,2,1,1,1,1,2,2,2,66,66,64,4,14,3,14,3,6,3,2,60,20,0,2,66,1701.16,2,21,1,1,2,2,2,70953,56286,              ,              ,              ,127239
2841,4,8,2,5,160000,7,6, ,0,1988,  ,8, ,         ,2,1,1,1,1,2,2,2,80,80,49,3,501,8,501,8,4,4,3,     ,     , ,3,80,1.04,0,0,1,1,2,2,2,9711729,0,              ,              ,              ,9711729
2842,4,8,1,4,1500,2,1,2,   ,1989,  ,8, ,         ,5,2,2,2,2,2,2,2,   ,   ,63,4,6,2,6,2,3,5,2,50,25,0,1,100,1976.56,2,20,1,2,2,2,2,16838,              ,              ,              ,              ,16838
2843,4,8,2,5,12500,4,2, ,0,1983,  ,7,3,         ,5,1,2,1,1,2,2,2,25,25,45,2,13,3,13,3,5,4,2,200,100,0,1,25,212.86,2,8,1,2,2,2,2,223015,              ,              ,              ,              ,223015
2844,3,6,1,5,15000,4,1,2,   ,1980,  ,7,3,         ,13,1,2,1,1,2,2,2,50,100,45,2,6,2,5,2,5,6,2,150,120,0,2,50,184.51,1,5,1,1,2,2,2,2011094,768354,              ,              ,              ,2779448
2845,4,8,2,5,100000,6,3, ,0,1982,  ,7,3,         ,13,1,2,1,1,2,2,2,100,67,126,5,80,5,50,5,5,4,1,180,180,0,3,100,1.02,0,0,1,2,2,2,2,4656104,              ,              ,              ,              ,4656104
2846,3,5,2,3,10001,4,2, ,0,1942,  ,3,3,         ,2,1,2,1,1,2,2,2,100,80,168,6,13,3,10,3,5,4,2,95,65,0,3,100,419.05,2,13,1,1,2,2,2,266532,1135193,              ,              ,              ,1401725
2847,3,5,2,3,400000,8,11, ,1,1992,1,9, ,         ,3,1,2,1,1,1,2,1,100,100,120,5,700,7,400,7,4,4,3,     ,     , ,2,95,1.07,0,0,1,1,1,2,2,31215944,2363201,356988,              ,              ,33936133
2848,4,8,1,2,12500,4,1,2,   ,1981,  ,7,3,         ,13,1,2,1,1,1,2,2,100,100,70,4,14,3,8,2,5,4,2,100,120,0,1,100,2054.93,1,20,1,2,2,2,2,973474,              ,              ,              ,              ,973474
2849,1,2,2,3,2000,2,3, ,1,1960,  ,5,3,         ,3,1,2,1,1,2,2,2,100,99,80,4,17,3,12,3,5,3,2,60,38,0,3,100,1879.71,1,9,1,1,2,2,2,264065,283901,              ,              ,              ,547966
2850,3,5,1,3,25000,4,1,1,   ,1946,  ,4,3,         ,14,1,2,1,1,2,2,2,100,15,45,2,0,0,0,0,5,4,2,280,80,0,2,100,369.01,1,3,1,2,1,2,2,365947,              ,970691,              ,              ,1336638
2851,2,3,2,2,350000,8,3, ,1,1962,  ,5,3,         ,2,1,2,1,1,2,2,2,77,15,45,2,24,4,21,4,5,4,3,     ,     , ,1,100,21.23,2,21,1,1,2,2,2,19768978,891114,              ,              ,              ,20660092
2852,1,1,2,2,25000,4,2, ,1,1960,  ,5,3,         ,17,1,2,1,1,1,2,2,100,12,168,6,100,6,40,4,5,3,3,     ,     , ,2,100,460.39,1,8,1,1,2,2,2,917855,5483232,              ,              ,              ,6401087
2853,4,9,2,4,4500,2,1,2,   ,1930,  ,3,3,         ,1,2,2,2,2,2,2,2,   ,   ,   , ,     ,  ,     ,  ,5,4,1,50,50,0,1,991,1826.41,2,18,1,2,2,2,2,4388,              ,              ,              ,              ,4388
2854,3,7,2,5,1001,2,1,2,   ,1978,  ,6,3,         ,15,1,2,1,1,1,2,2,60,60,60,3,5,2,3,1,6,5,2,24,50,0,1,100,1262.19,2,16,1,1,2,2,2,223974,100430,              ,              ,              ,324404
2855,1,2,2,3,17500,4,1,2,   ,1979,  ,6,3,         ,5,2,2,2,2,2,2,2,   ,   ,52,3,0,0,0,0,3,5,2,300,60,0,1,30,239.1,1,17,1,2,2,2,2,203277,              ,              ,              ,              ,203277
2856,2,4,1,1,2500,2,2, ,1,1915,  ,2,3,         ,12,1,1,2,1,2,2,2,50,   ,2,1,1,1,1,1,6,3,2,54,24,0,1,40,560.24,1,8,1,1,2,2,2,2013,113704,              ,              ,              ,115717
2857,1,2,1,2,1500,2,1,2,   ,1940,  ,3,3,         ,5,2,2,2,2,2,2,2,   ,   ,168,6,0,0,0,0,5,3,2,80,40,0,1,0,654.34,1,8,1,2,2,2,2,8537,              ,              ,              ,              ,8537
