"","UCD_region","UCD_sector","mode","size.class","variable","Year","Subsector","unit","UCD_technology","UCD_fuel","median","Value"
"144","Western Europe","Freight","Truck","Truck (0-3.5t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","1.75",38460.1663382966
"145","Western Europe","Freight","Truck","Truck (16-32t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","24",345349.752412024
"146","Western Europe","Freight","Truck","Truck (3.5-16t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",150671.587858075
"147","Western Europe","Freight","Truck","Truck (>32t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","32",345349.752412024
"148","Brazil","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2035","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",38460.1663382966
"149","Brazil","Freight","Truck","Truck (6-15t)","CAPEX and non-fuel OPEX","X2035","Medium Duty Trucks","2005$/veh","BEV","Electricity","10.5",162590.659157296
"150","Brazil","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2035","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",345349.752412024
"151","Africa","Freight","Truck","Truck (0-2t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","1",35748.229116236
"152","Africa","Freight","Truck","Truck (2-5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52994.8735803643
"153","Africa","Freight","Truck","Truck (5-9t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","7",101285.478079924
"154","Africa","Freight","Truck","Truck (9-16t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","12.5",181407.271271951
"155","Australia_NZ","Freight","Truck","Truck (0-1t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","0.5",35748.229116236
"156","Australia_NZ","Freight","Truck","Truck (1-6t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3.5",52994.8735803643
"157","Australia_NZ","Freight","Truck","Truck (6-30t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","18",262775.110802174
"158","Canada","Freight","Truck","Truck (0-4.5t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","2.25",35748.229116236
"159","Canada","Freight","Truck","Truck (4.5-15t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","9.75",140723.35150684
"160","Canada","Freight","Truck","Truck (>15t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23.5",321951.721369609
"161","China","Freight","Truck","Truck (0-6t)","CAPEX and non-fuel OPEX","X2050","Light Duty Trucks","2005$/veh","BEV","Electricity","3",46096.215794713
"162","China","Freight","Truck","Truck (6-14t)","CAPEX and non-fuel OPEX","X2050","Medium Duty Trucks","2005$/veh","BEV","Electricity","10",144421.889667305
"163","China","Freight","Truck","Truck (>14t)","CAPEX and non-fuel OPEX","X2050","Heavy Duty Trucks","2005$/veh","BEV","Electricity","23",321951.721369609
