# File: IMAGE_an_meat.csv
# Title: IMAGE animal production meat
# Units: Gg dm
# Author: XZ
# Source: IMAGE model (Jonathan Doelman)
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
2033,pork,1159,5854,951,380,1812,1544,1,592,257,166,10747,2043,0,613,138,1795,13,294,758,38655,5482,305,657,299,20,378
2033,mutton & goat meat,9,44,61,19,95,148,554,718,968,139,491,105,290,12,451,170,948,522,9,2997,120,68,0,809,676,153
2033,poultry & eggs,1050,14748,3880,1631,8850,6549,2863,1886,737,1494,8726,2751,2152,1479,755,3766,4989,6379,979,34001,7813,2666,2481,1144,2382,571
2033,total,4024,39791,7866,3442,22090,16694,6500,5798,8951,3052,42553,9712,5847,4703,5673,11312,9805,34368,2195,85691,15319,3618,4286,9181,13244,2672
2034,beef,670,6212,1235,529,6374,4152,978,1130,2146,742,3873,539,617,358,1228,975,913,1997,179,4715,1035,353,235,2037,1825,616
2034,milk,1151,13032,1766,900,5067,4409,2133,1519,5074,532,18782,4280,2815,2243,3145,4630,3028,25411,273,5345,906,230,910,4955,8489,986
2034,pork,1166,5871,966,385,1816,1567,1,624,268,168,10770,2045,0,615,140,1804,14,301,761,38937,5568,310,656,302,21,388
2034,mutton & goat meat,9,45,62,20,98,153,566,727,1002,142,498,106,295,12,455,172,976,529,9,3019,122,68,0,819,687,155
2034,poultry & eggs,1058,14820,3931,1654,8867,6632,2908,1976,770,1510,8746,2753,2183,1481,771,3787,5109,6512,981,34259,7943,2692,2478,1159,2434,585
2034,total,4053,39980,7960,3488,22221,16913,6586,5976,9262,3095,42669,9722,5910,4709,5738,11368,10040,34750,2203,86276,15574,3653,4279,9273,13456,2730
2035,beef,676,6245,1250,537,6459,4220,992,1144,2224,760,3903,541,623,358,1242,976,940,2053,181,4749,1051,355,234,2054,1857,625
2035,milk,1159,13098,1777,909,5089,4449,2149,1553,5230,536,18818,4282,2838,2244,3173,4652,3086,25590,275,5334,926,232,907,5001,8605,1010
2035,pork,1172,5888,980,391,1819,1589,1,656,279,170,10794,2047,0,616,143,1814,14,308,763,39220,5655,314,656,305,21,398
2035,mutton & goat meat,9,45,63,20,101,157,579,735,1037,146,505,106,299,13,459,174,1004,535,9,3041,124,69,0,829,698,157
2035,poultry & eggs,1065,14892,3983,1677,8884,6716,2952,2066,803,1525,8766,2755,2214,1483,787,3808,5230,6646,984,34517,8073,2718,2475,1174,2485,598
2035,total,4081,40169,8053,3534,22353,17131,6673,6154,9573,3137,42785,9733,5974,4714,5804,11424,10274,35132,2211,86860,15830,3688,4272,9364,13668,2789
2036,beef,682,6278,1265,544,6545,4288,1006,1158,2301,778,3932,544,628,358,1256,978,966,2108,183,4783,1068,358,233,2072,1890,635
2036,milk,1167,13164,1789,919,5112,4489,2164,1587,5385,540,18854,4284,2860,2246,3202,4674,3145,25769,276,5322,946,233,905,5048,8722,1033
2036,pork,1178,5906,995,397,1822,1612,1,688,291,172,10817,2049,0,618,146,1823,14,315,765,39502,5742,318,655,308,22,409
2036,mutton & goat meat,9,46,63,21,104,162,591,744,1072,149,512,107,304,13,463,176,1032,542,9,3063,126,69,0,839,709,160
2036,poultry & eggs,1073,14963,4035,1701,8901,6799,2997,2156,836,1541,8785,2758,2245,1485,803,3828,5351,6779,986,34775,8204,2745,2473,1189,2537,612
2036,total,4110,40357,8147,3581,22484,17350,6760,6333,9883,3180,42901,9743,6037,4720,5869,11479,10509,35513,2219,87445,16086,3723,4265,9456,13880,2848
2037,beef,689,6311,1280,552,6630,4356,1020,1172,2378,796,3961,547,634,359,1270,979,993,2164,184,4816,1084,360,232,2089,1923,644
2037,milk,1176,13230,1801,928,5135,4529,2180,1621,5540,544,18890,4286,2883,2247,3231,4697,3204,25948,277,5311,966,235,902,5094,8838,1057
2037,pork,1184,5923,1009,402,1825,1634,1,720,302,174,10841,2051,0,619,148,1833,15,322,767,39785,5829,323,654,311,22,419
2037,mutton & goat meat,9,47,64,21,108,167,604,753,1106,152,520,108,308,13,467,178,1059,549,9,3085,129,70,0,849,720,162
2037,poultry & eggs,1081,15035,4086,1724,8918,6882,3041,2246,868,1556,8805,2760,2275,1488,819,3849,5472,6912,988,35033,8334,2771,2470,1204,2588,625
2037,total,4138,40546,8241,3627,22615,17568,6846,6511,10194,3223,43017,9753,6101,4726,5935,11535,10743,35895,2227,88029,16342,3758,4258,9547,14092,2906
2038,beef,695,6344,1295,559,6715,4424,1035,1186,2455,814,3990,549,639,359,1284,981,1020,2220,186,4850,1101,362,231,2106,1955,653
2038,milk,1184,13296,1813,938,5157,4569,2195,1654,5695,548,18926,4288,2906,2248,3260,4719,3262,26127,279,5299,986,237,900,5141,8954,1081
2038,pork,1190,5940,1024,408,1828,1657,1,752,313,177,10864,2053,0,621,151,1842,15,328,769,40067,5916,327,653,314,23,429
2038,mutton & goat meat,9,47,65,21,111,171,616,761,1141,156,527,109,313,14,470,180,1087,556,9,3107,131,70,0,859,731,164
2038,poultry & eggs,1088,15107,4138,1747,8935,6966,3086,2336,901,1572,8825,2763,2306,1490,835,3870,5593,7045,991,35290,8464,2797,2467,1219,2640,638
2038,total,4167,40734,8334,3673,22747,17787,6933,6690,10504,3266,43132,9763,6164,4731,6000,11591,10978,36277,2235,88614,16597,3793,4251,9639,14304,2965
2039,beef,701,6378,1310,567,6801,4493,1049,1200,2532,832,4020,552,644,359,1298,983,1047,2275,188,4883,1117,365,230,2123,1988,662
2039,milk,1192,13362,1825,947,5180,4608,2211,1688,5850,552,18962,4290,2928,2250,3288,4741,3321,26307,280,5288,1006,239,897,5187,9070,1105
2039,pork,1196,5957,1038,414,1831,1679,1,784,324,179,10888,2055,0,622,154,1852,15,335,772,40350,6003,331,653,317,24,439
2039,mutton & goat meat,9,48,65,22,114,176,629,770,1175,159,534,110,318,14,474,181,1115,563,10,3129,133,71,0,869,742,166
2039,poultry & eggs,1096,15178,4190,1770,8952,7049,3130,2425,934,1587,8845,2765,2337,1492,851,3890,5714,7179,993,35548,8594,2823,2464,1234,2691,652
2039,total,4195,40923,8428,3720,22878,18005,7020,6868,10815,3309,43248,9773,6227,4737,6066,11647,11212,36658,2242,89198,16853,3828,4244,9730,14516,3024
2040,beef,707,6411,1325,574,6886,4561,1063,1214,2609,849,4049,555,650,359,1312,984,1074,2331,189,4917,1133,367,229,2140,2021,671
2040,milk,1200,13428,1836,957,5203,4648,2226,1722,6005,556,18998,4292,2951,2251,3317,4763,3380,26486,282,5276,1026,240,894,5234,9187,1129
2040,pork,1203,5975,1052,419,1834,1702,1,816,335,181,10911,2057,0,623,157,1861,16,342,774,40632,6090,336,652,319,24,449
2040,mutton & goat meat,10,49,66,22,117,181,641,779,1210,163,542,111,322,14,478,183,1142,569,10,3151,135,71,0,879,753,168
2040,poultry & eggs,1104,15250,4242,1793,8970,7132,3174,2515,966,1603,8864,2768,2368,1494,867,3911,5835,7312,996,35806,8725,2849,2462,1249,2743,665
2040,total,4224,41112,8522,3766,23009,18224,7106,7046,11125,3351,43364,9783,6291,4742,6131,11703,11447,37040,2250,89783,17109,3863,4237,9822,14728,3082
2041,beef,715,6445,1339,582,6967,4635,1079,1224,2672,884,4097,559,655,361,1321,985,1108,2414,190,4930,1149,369,228,2157,2048,677
2041,milk,1209,13486,1845,965,5211,4682,2241,1746,6172,559,19025,4292,2969,2254,3336,4781,3432,26657,281,5256,1048,242,892,5270,9268,1153
2041,pork,1208,5985,1065,424,1837,1721,1,860,351,183,10923,2055,0,625,158,1867,16,349,774,40724,6167,339,651,321,25,461
2041,mutton & goat meat,10,50,67,23,120,185,654,785,1240,167,553,113,327,15,481,185,1173,576,10,3162,137,71,0,889,762,169
2041,poultry & eggs,1112,15310,4286,1813,8983,7201,3211,2621,1009,1616,8876,2767,2394,1497,878,3925,5945,7431,995,35894,8844,2861,2456,1263,2785,678
2041,total,4254,41275,8601,3807,23118,18425,7186,7236,11445,3408,43474,9786,6345,4752,6174,11744,11673,37428,2250,89966,17345,3882,4227,9901,14887,3138
2042,beef,723,6479,1353,590,7048,4709,1094,1234,2736,919,4145,563,659,362,1330,987,1142,2498,190,4944,1165,371,227,2174,2075,682
2042,milk,1217,13544,1853,973,5220,4717,2256,1769,6340,562,19052,4293,2987,2258,3354,4799,3484,26829,281,5236,1069,243,890,5306,9350,1177
2042,pork,1214,5996,1078,429,1839,1741,1,904,367,184,10935,2054,0,627,160,1872,16,355,774,40815,6245,341,649,323,25,473
2042,mutton & goat meat,10,51,68,23,124,190,666,791,1270,172,564,114,332,15,484,187,1203,583,10,3172,139,72,0,899,770,171
2042,poultry & eggs,1120,15370,4330,1832,8996,7269,3248,2727,1053,1628,8888,2766,2420,1500,890,3939,6054,7550,994,35982,8963,2873,2451,1278,2826,690
2042,total,4284,41439,8681,3847,23226,18626,7265,7425,11764,3465,43583,9789,6399,4762,6218,11785,11900,37816,2249,90150,17581,3900,4217,9980,15046,3193
2043,beef,731,6514,1367,597,7128,4783,1110,1244,2799,954,4193,567,664,364,1339,988,1176,2581,191,4957,1180,373,227,2191,2101,688
2043,milk,1225,13601,1861,981,5228,4751,2271,1792,6507,565,19079,4293,3006,2261,3373,4817,3536,27001,280,5216,1091,244,888,5343,9431,1201
2043,pork,1220,6006,1091,434,1841,1760,1,948,382,186,10946,2053,0,629,162,1878,16,362,773,40907,6323,344,648,325,26,485
2043,mutton & goat meat,10,52,69,24,127,195,678,798,1300,177,575,115,337,16,486,189,1234,590,10,3183,141,72,0,909,779,172
2043,poultry & eggs,1129,15430,4374,1851,9010,7337,3285,2833,1096,1641,8900,2765,2446,1503,901,3953,6164,7670,994,36070,9083,2886,2445,1292,2868,703
2043,total,4314,41603,8761,3888,23335,18827,7344,7615,12083,3522,43693,9793,6453,4772,6261,11825,12126,38204,2248,90333,17818,3919,4207,10060,15205,3248
2044,beef,739,6548,1381,605,7209,4858,1125,1254,2862,988,4241,571,669,365,1348,989,1210,2665,192,4971,1196,374,226,2208,2128,693
2044,milk,1233,13659,1869,989,5237,4785,2286,1816,6674,568,19106,4293,3024,2265,3392,4835,3589,27172,280,5196,1112,246,885,5379,9513,1224
2044,pork,1226,6017,1104,439,1843,1780,1,992,398,188,10958,2052,0,630,164,1884,17,368,773,40998,6400,347,646,327,26,497
2044,mutton & goat meat,10,53,70,24,131,199,690,804,1329,182,586,116,342,16,489,192,1264,597,10,3194,143,73,0,919,787,173
2044,poultry & eggs,1137,15490,4418,1871,9023,7405,3321,2939,1139,1654,8911,2765,2472,1506,912,3967,6274,7789,993,36159,9202,2898,2440,1306,2909,715
2044,total,4345,41767,8841,3929,23443,19027,7424,7805,12403,3579,43802,9796,6507,4783,6305,11866,12353,38591,2248,90517,18054,3938,4197,10139,15364,3304
2045,beef,747,6582,1394,613,7290,4932,1141,1264,2925,1023,4290,575,674,367,1357,991,1244,2749,192,4984,1212,376,225,2225,2155,699
2045,milk,1241,13717,1877,997,5246,4819,2301,1839,6841,571,19133,4293,3042,2268,3410,4853,3641,27344,280,5175,1134,247,883,5416,9594,1248
2045,pork,1231,6027,1117,444,1846,1800,1,1036,414,189,10970,2050,0,632,166,1889,17,374,773,41090,6478,350,645,329,27,510
2045,mutton & goat meat,10,54,70,25,134,204,702,810,1359,187,597,118,347,17,492,194,1294,604,10,3204,146,73,0,928,796,175
2045,poultry & eggs,1145,15551,4462,1890,9037,7474,3358,3045,1182,1666,8923,2764,2498,1509,923,3981,6383,7908,992,36247,9321,2910,2434,1321,2951,728
2045,total,4375,41931,8921,3969,23552,19228,7503,7994,12722,3636,43912,9800,6561,4793,6348,11907,12579,38979,2247,90700,18290,3957,4187,10218,15522,3359
2046,beef,755,6617,1408,620,7371,5006,1157,1274,2989,1058,4338,579,678,368,1366,992,1277,2832,193,4998,1227,378,224,2241,2182,704
2046,milk,1249,13775,1885,1005,5254,4853,2316,1863,7009,574,19159,4293,3060,2272,3429,4871,3693,27516,279,5155,1155,249,881,5452,9675,1272
2046,pork,1237,6038,1130,449,1848,1819,1,1080,430,191,10982,2049,0,634,168,1895,17,381,773,41182,6556,353,643,331,27,522
2046,mutton & goat meat,10,55,71,26,138,209,714,817,1389,191,608,119,352,17,494,196,1325,611,10,3215,148,73,0,938,805,176
2046,poultry & eggs,1154,15611,4506,1910,9050,7542,3395,3151,1225,1679,8935,2763,2524,1512,934,3995,6493,8027,991,36335,9440,2922,2429,1335,2992,741
2046,total,4405,42094,9001,4010,23660,19429,7583,8184,13041,3693,44021,9803,6615,4803,6391,11948,12805,39367,2246,90884,18526,3975,4177,10297,15681,3414
2047,beef,762,6651,1422,628,7451,5080,1172,1283,3052,1093,4386,583,683,370,1375,993,1311,2916,193,5011,1243,380,223,2258,2209,710
2047,milk,1257,13833,1893,1013,5263,4887,2331,1886,7176,577,19186,4293,3079,2275,3448,4889,3745,27687,279,5135,1177,250,878,5489,9757,1296
2047,pork,1243,6048,1143,454,1850,1839,1,1124,445,193,10993,2048,0,636,169,1901,18,387,773,41273,6633,356,642,333,28,534
2047,mutton & goat meat,10,55,72,26,141,213,726,823,1419,196,619,120,357,18,497,198,1355,618,10,3226,150,74,0,948,813,177
2047,poultry & eggs,1162,15671,4550,1929,9063,7610,3431,3256,1268,1692,8947,2762,2550,1515,945,4009,6603,8146,991,36423,9560,2935,2423,1349,3034,753
2047,total,4435,42258,9081,4051,23769,19630,7662,8374,13361,3750,44131,9806,6669,4813,6435,11989,13032,39755,2245,91068,18763,3994,4167,10377,15840,3470
2048,beef,770,6685,1436,636,7532,5155,1188,1293,3115,1127,4434,587,688,371,1384,994,1345,3000,194,5025,1259,382,222,2275,2236,715
2048,milk,1266,13891,1902,1022,5272,4921,2346,1910,7343,580,19213,4293,3097,2279,3466,4907,3797,27859,279,5115,1198,251,876,5525,9838,1320
2048,pork,1249,6059,1156,459,1852,1859,1,1168,461,194,11005,2047,0,637,171,1906,18,394,772,41365,6711,359,641,334,28,546
2048,mutton & goat meat,11,56,73,27,145,218,738,829,1449,201,630,121,362,18,500,200,1385,625,10,3236,152,74,0,958,822,178
2048,poultry & eggs,1171,15731,4595,1949,9077,7679,3468,3362,1311,1704,8959,2761,2576,1517,957,4022,6712,8266,990,36511,9679,2947,2418,1364,3076,766
2048,total,4466,42422,9161,4091,23878,19831,7741,8563,13680,3807,44241,9810,6723,4823,6478,12030,13258,40143,2245,91251,18999,4013,4157,10456,15999,3525
2049,beef,778,6719,1450,643,7613,5229,1203,1303,3179,1162,4482,591,693,372,1393,996,1379,3083,194,5038,1275,383,221,2292,2262,721
2049,milk,1274,13948,1910,1030,5280,4955,2361,1933,7510,583,19240,4294,3115,2282,3485,4925,3850,28031,278,5095,1220,253,874,5561,9920,1344
2049,pork,1254,6069,1168,464,1854,1878,1,1212,477,196,11017,2045,0,639,173,1912,18,400,772,41456,6789,362,639,336,29,558
2049,mutton & goat meat,11,57,74,27,148,223,750,836,1479,206,641,123,367,19,502,202,1416,632,10,3247,154,75,0,968,830,180
2049,poultry & eggs,1179,15791,4639,1968,9090,7747,3505,3468,1354,1717,8970,2761,2602,1520,968,4036,6822,8385,989,36599,9798,2959,2412,1378,3117,778
2049,total,4496,42586,9241,4132,23986,20032,7821,8753,13999,3864,44350,9813,6777,4833,6522,12071,13484,40531,2244,91435,19235,4031,4147,10535,16158,3580
2015,mutton & goat meat,8,36,49,13,60,93,348,488,459,97,415,91,204,9,304,146,555,369,9,2309,82,55,0,615,452,106
2050,mutton & goat meat,11,58,75,28,152,227,762,842,1509,211,652,124,372,19,505,204,1446,639,10,3258,156,75,0,978,839,181
2100,mutton & goat meat,17,103,105,44,293,306,1043,995,1895,413,969,152,627,47,561,306,2319,925,15,2739,226,78,0,1206,1021,215
2015,pork,999,5475,667,270,1685,1103,1,240,119,118,10026,1943,0,603,78,1597,8,168,665,28058,3741,203,636,219,12,227
2050,pork,1260,6080,1181,469,1857,1898,1,1256,493,198,11029,2044,0,641,175,1918,18,407,772,41548,6866,364,638,338,29,570
2100,pork,1306,5887,1605,580,1732,2561,1,2376,1484,253,10512,1700,0,683,236,2141,26,609,566,33977,9858,373,423,352,47,1869
2051,beef,796,6790,1476,659,7765,5374,1235,1319,3275,1238,4597,600,702,377,1407,999,1446,3218,197,5045,1306,386,219,2324,2307,729
2051,milk,1289,14061,1922,1044,5285,5016,2391,1973,7814,589,19288,4291,3147,2292,3513,4960,3946,28206,278,5044,1263,254,868,5627,10049,1383
2051,pork,1266,6088,1191,472,1857,1914,1,1300,514,200,11027,2040,0,642,176,1923,19,411,769,41470,6935,366,635,339,30,586
2051,mutton & goat meat,11,60,76,28,155,231,771,846,1524,216,665,125,378,20,506,207,1473,644,10,3255,158,75,0,986,844,182
2051,poultry & eggs,1197,15908,4716,2002,9108,7865,3568,3674,1446,1743,8984,2756,2641,1526,986,4063,7028,8596,984,36625,10026,2973,2396,1405,3185,801
2051,total,4559,42906,9381,4206,24169,20399,7965,9113,14572,3986,44560,9813,6868,4858,6588,12152,13913,41075,2238,91439,19687,4054,4119,10681,16415,3680
2052,beef,805,6826,1489,667,7836,5445,1250,1326,3308,1279,4663,606,707,380,1412,1001,1479,3270,200,5038,1321,386,218,2338,2326,731
2052,milk,1297,14115,1926,1051,5280,5042,2405,1989,7949,592,19309,4289,3161,2298,3521,4977,3991,28209,278,5014,1286,255,865,5657,10096,1399
2052,pork,1272,6097,1202,476,1856,1930,1,1343,534,202,11025,2036,0,644,177,1929,19,416,765,41393,7003,368,632,340,30,601
2052,mutton & goat meat,11,61,77,29,159,234,780,850,1539,221,678,127,384,21,507,210,1501,648,10,3253,160,75,0,994,849,182
2052,poultry & eggs,1206,15964,4748,2016,9113,7915,3594,3775,1495,1756,8986,2751,2654,1529,993,4075,7125,8688,980,36562,10135,2974,2386,1417,3212,811
2052,total,4591,43063,9442,4239,24244,20566,8031,9283,14826,4050,44661,9809,6906,4873,6611,12192,14116,41231,2233,91260,19904,4058,4101,10747,16513,3725
2053,beef,815,6863,1501,675,7907,5516,1265,1332,3340,1319,4730,611,712,383,1417,1003,1512,3321,203,5031,1336,386,217,2353,2344,734
2053,milk,1304,14170,1931,1058,5276,5068,2420,2005,8085,595,19330,4287,3175,2305,3530,4995,4036,28213,278,4984,1308,255,862,5687,10143,1415
2053,pork,1278,6105,1212,480,1856,1946,1,1387,555,204,11023,2032,0,646,178,1934,19,420,762,41315,7071,369,629,341,31,616
2053,mutton & goat meat,11,62,78,29,162,237,789,854,1555,227,691,128,389,21,508,213,1528,653,10,3251,161,75,0,1002,855,183
2053,poultry & eggs,1215,16020,4781,2030,9117,7965,3620,3875,1544,1769,8988,2747,2667,1532,1000,4088,7222,8780,975,36500,10243,2975,2375,1430,3239,821
2053,total,4624,43220,9503,4272,24318,20732,8096,9453,15079,4114,44761,9805,6943,4887,6634,12232,14318,41387,2229,91080,20120,4061,4084,10813,16611,3770
2054,beef,824,6899,1514,683,7978,5587,1281,1339,3373,1360,4796,616,717,387,1421,1004,1546,3373,205,5024,1351,387,216,2368,2362,737
2054,milk,1312,14224,1935,1064,5271,5095,2434,2021,8221,598,19350,4284,3189,2311,3539,5012,4081,28216,279,4953,1330,256,859,5716,10190,1431
2054,pork,1284,6113,1222,483,1856,1962,1,1430,576,206,11021,2029,0,647,179,1940,19,425,758,41238,7139,371,627,343,31,632
2054,mutton & goat meat,11,63,78,30,166,240,798,858,1570,232,704,129,395,22,510,215,1556,657,11,3249,163,75,0,1010,860,184
2054,poultry & eggs,1225,16077,4814,2045,9121,8014,3647,3975,1593,1783,8990,2743,2680,1535,1007,4101,7319,8872,971,36437,10352,2977,2364,1443,3266,832
2054,total,4656,43377,9563,4304,24393,20898,8161,9623,15333,4179,44862,9802,6980,4902,6657,12272,14520,41543,2224,90901,20336,4065,4066,10879,16709,3815
2055,beef,834,6935,1526,690,8049,5658,1296,1345,3406,1401,4863,622,721,390,1426,1006,1579,3424,208,5017,1366,387,215,2382,2380,739
2055,milk,1319,14279,1939,1071,5267,5121,2449,2036,8357,601,19371,4282,3203,2317,3548,5029,4126,28219,279,4923,1353,256,856,5746,10237,1447
2055,pork,1289,6121,1232,487,1856,1978,1,1473,597,208,11019,2025,0,649,181,1945,19,430,755,41161,7208,372,624,344,32,647
2055,mutton & goat meat,12,65,79,30,170,244,807,863,1585,237,717,131,401,23,511,218,1583,662,11,3246,165,75,0,1018,865,184
2055,poultry & eggs,1234,16133,4847,2059,9126,8064,3673,4076,1641,1796,8992,2739,2693,1538,1015,4113,7416,8964,966,36375,10460,2978,2354,1456,3292,842
2055,total,4689,43533,9624,4337,24467,21065,8226,9793,15586,4243,44963,9798,7017,4917,6680,12312,14723,41699,2219,90721,20552,4069,4048,10945,16807,3859
2056,beef,844,6971,1538,698,8120,5729,1312,1351,3439,1442,4929,627,726,393,1431,1008,1612,3476,211,5010,1381,387,214,2397,2398,742
2056,milk,1327,14333,1943,1077,5262,5148,2463,2052,8493,604,19392,4279,3216,2324,3557,5047,4170,28223,279,4893,1375,256,852,5775,10284,1463
2056,pork,1295,6130,1243,491,1856,1994,1,1517,618,210,11017,2021,0,650,182,1950,20,434,752,41083,7276,374,621,345,32,662
2056,mutton & goat meat,12,66,80,31,173,247,815,867,1601,243,731,132,406,23,512,221,1610,667,11,3244,167,76,0,1026,871,185
2056,poultry & eggs,1244,16190,4880,2073,9130,8114,3699,4176,1690,1809,8994,2735,2706,1541,1022,4126,7513,9056,962,36312,10569,2980,2343,1468,3319,852
2056,total,4721,43690,9684,4370,24542,21231,8291,9963,15840,4307,45063,9794,7055,4931,6703,12352,14925,41855,2214,90542,20768,4073,4031,11011,16905,3904
2057,beef,853,7008,1551,706,8191,5800,1327,1358,3471,1483,4996,632,731,396,1435,1010,1645,3527,213,5003,1397,388,212,2412,2417,745
2057,milk,1335,14388,1948,1084,5258,5174,2478,2068,8628,607,19413,4277,3230,2330,3566,5064,4215,28226,279,4862,1397,257,849,5805,10332,1479
2057,pork,1301,6138,1253,494,1856,2010,1,1560,639,212,11015,2017,0,652,183,1956,20,439,748,41006,7344,375,618,346,33,678
2057,mutton & goat meat,12,67,81,31,177,250,824,871,1616,248,744,134,412,24,513,224,1638,671,11,3242,169,76,0,1034,876,186
2057,poultry & eggs,1253,16246,4913,2088,9135,8164,3726,4277,1739,1822,8996,2730,2719,1544,1029,4138,7610,9148,957,36250,10678,2981,2333,1481,3346,862
2057,total,4754,43847,9745,4403,24616,21398,8357,10133,16093,4372,45164,9790,7092,4946,6726,12392,15128,42011,2209,90363,20984,4076,4013,11077,17003,3949
2058,beef,863,7044,1563,714,8263,5871,1343,1364,3504,1523,5062,637,736,399,1440,1012,1678,3578,216,4996,1412,388,211,2426,2435,747
2058,milk,1342,14442,1952,1091,5253,5200,2492,2084,8764,610,19434,4275,3244,2336,3574,5081,4260,28229,279,4832,1420,257,846,5834,10379,1495
2058,pork,1307,6146,1263,498,1856,2026,1,1603,659,214,11013,2013,0,654,184,1961,20,444,745,40928,7412,377,616,347,33,693
2058,mutton & goat meat,12,68,82,32,180,254,833,875,1631,253,757,135,418,24,515,227,1665,676,11,3240,171,76,0,1042,881,186
2058,poultry & eggs,1262,16303,4945,2102,9139,8214,3752,4377,1788,1835,8998,2726,2732,1547,1036,4151,7707,9240,953,36187,10786,2982,2322,1494,3372,872
2058,total,4786,44004,9806,4436,24691,21564,8422,10303,16347,4436,45264,9787,7129,4961,6749,12432,15330,42167,2204,90183,21201,4080,3995,11143,17101,3994
2059,beef,872,7080,1576,722,8334,5942,1358,1370,3537,1564,5129,643,740,402,1445,1014,1711,3630,219,4990,1427,388,210,2441,2453,750
2059,milk,1350,14497,1956,1097,5249,5227,2507,2100,8900,613,19455,4272,3258,2343,3583,5099,4305,28233,279,4802,1442,258,843,5864,10426,1511
2059,pork,1313,6155,1273,502,1855,2042,1,1647,680,216,11011,2009,0,655,185,1967,20,448,742,40851,7481,379,613,348,34,708
2059,mutton & goat meat,12,70,83,32,184,257,842,879,1646,259,770,136,423,25,516,230,1692,680,12,3237,172,76,0,1050,887,187
2059,poultry & eggs,1272,16359,4978,2116,9143,8264,3779,4477,1837,1849,9001,2722,2745,1550,1043,4163,7804,9332,948,36125,10895,2984,2312,1506,3399,882
2059,total,4818,44160,9866,4469,24765,21731,8487,10474,16600,4500,45365,9783,7167,4975,6772,12472,15533,42323,2200,90004,21417,4084,3978,11209,17198,4038
2060,beef,882,7116,1588,730,8405,6013,1374,1377,3570,1605,5195,648,745,406,1449,1015,1744,3681,221,4983,1442,389,209,2456,2471,752
2060,milk,1357,14551,1960,1104,5245,5253,2521,2116,9036,616,19475,4270,3272,2349,3592,5116,4350,28236,280,4771,1464,258,840,5894,10473,1526
2060,pork,1318,6163,1283,505,1855,2058,1,1690,701,218,11009,2006,0,657,186,1972,21,453,738,40774,7549,380,610,349,34,724
2060,mutton & goat meat,12,71,84,33,187,260,851,883,1662,264,783,138,429,26,517,233,1720,685,12,3235,174,76,0,1058,892,188
2060,poultry & eggs,1281,16415,5011,2130,9148,8313,3805,4578,1885,1862,9003,2718,2758,1553,1050,4176,7901,9424,944,36062,11003,2985,2301,1519,3426,893
2060,total,4851,44317,9927,4502,24840,21897,8552,10644,16854,4565,45465,9779,7204,4990,6795,12512,15735,42479,2195,89825,21633,4088,3960,11275,17296,4083
2061,beef,890,7144,1601,737,8456,6068,1393,1382,3589,1635,5249,652,750,410,1455,1017,1768,3730,223,4966,1457,389,207,2466,2486,755
2061,milk,1363,14597,1963,1110,5232,5274,2560,2129,9137,620,19495,4268,3292,2362,3602,5140,4393,28259,279,4739,1487,258,835,5915,10510,1536
2061,pork,1322,6166,1292,508,1853,2071,1,1721,725,220,11000,1999,0,658,188,1979,21,457,734,40636,7611,381,605,350,35,748
2061,mutton & goat meat,13,72,85,33,191,262,858,886,1671,269,794,139,435,26,519,236,1741,690,12,3227,176,76,0,1063,896,188
2061,poultry & eggs,1288,16460,5038,2140,9144,8350,3826,4659,1933,1874,8998,2710,2763,1556,1059,4191,7985,9496,938,35946,11104,2980,2282,1530,3446,903
2061,total,4876,44440,9978,4529,24876,22025,8638,10777,17054,4617,45536,9767,7240,5012,6823,12563,15909,42632,2186,89514,21835,4084,3929,11324,17373,4131
2062,beef,898,7172,1613,745,8507,6122,1412,1388,3608,1665,5302,656,755,415,1461,1019,1792,3778,225,4950,1472,389,206,2476,2501,757
2062,milk,1369,14643,1965,1117,5219,5295,2598,2142,9239,623,19515,4266,3312,2374,3612,5163,4437,28282,279,4707,1510,259,830,5936,10547,1546
2062,pork,1326,6169,1301,510,1851,2085,1,1751,748,222,10991,1992,0,660,189,1986,21,460,730,40498,7673,381,600,350,35,772
2062,mutton & goat meat,13,73,86,34,194,264,865,890,1680,274,804,140,441,27,520,239,1763,695,12,3219,178,76,0,1069,900,189
2062,poultry & eggs,1295,16505,5064,2151,9140,8386,3847,4740,1980,1886,8994,2702,2768,1558,1069,4206,8069,9569,933,35830,11205,2974,2262,1540,3467,914
2062,total,4900,44563,10029,4556,24911,22152,8723,10911,17255,4670,45606,9756,7276,5034,6850,12613,16083,42784,2178,89203,22038,4080,3898,11372,17450,4178
2063,beef,905,7200,1626,752,8558,6177,1432,1393,3626,1694,5356,661,760,420,1467,1022,1816,3826,227,4934,1487,390,204,2487,2515,759
2063,milk,1374,14689,1967,1123,5206,5316,2636,2155,9341,627,19534,4263,3331,2386,3622,5187,4481,28305,278,4674,1534,259,825,5958,10583,1556
